Z	Symbole	Nom francais	Nom anglais	ligne	colonne	Masse atomique	couleur bloc	Type
1	H	Hydrogène	Hydrogen	1	1	1.007	light blue	Nonmetal
2	He	Hélium	Helium	1	18	4.002	light blue	Noble Gas
3	Li	Lithium	Lithium	2	1	6.941	light blue	Alkali Metal
4	Be	Béryllium	Beryllium	2	2	9.012	light blue	Alkaline Earth Metal
5	B	Bore	Boron	2	13	10.811	DarkSeaGreen1	Metalloid
6	C	Carbone	Carbon	2	14	12.011	DarkSeaGreen1	Nonmetal
7	N	Azote	Nitrogen	2	15	14.007	DarkSeaGreen1	Nonmetal
8	O	Oxygène	Oxygen	2	16	15.999	DarkSeaGreen1	Nonmetal
9	F	Fluor	Fluorine	2	17	18.998	DarkSeaGreen1	Halogen
10	Ne	Néon	Neon	2	18	20.18	DarkSeaGreen1	Noble Gas
11	Na	Sodium	Sodium	3	1	22.99	light blue	Alkali Metal
12	Mg	Magnésium	Magnesium	3	2	24.305	light blue	Alkaline Earth Metal
13	Al	Aluminium	Aluminum	3	13	26.982	DarkSeaGreen1	Metal
14	Si	Silicium	Silicon	3	14	28.086	DarkSeaGreen1	Metalloid
15	P	Phosphore	Phosphorus	3	15	30.974	DarkSeaGreen1	Nonmetal
16	S	Soufre	Sulfur	3	16	32.065	DarkSeaGreen1	Nonmetal
17	Cl	Chlore	Chlorine	3	17	35.453	DarkSeaGreen1	Halogen
18	Ar	Argon	Argon	3	18	39.948	DarkSeaGreen1	Noble Gas
19	K	Potassium	Potassium	4	1	39.098	light blue	Alkali Metal
20	Ca	Calcium	Calcium	4	2	40.078	light blue	Alkaline Earth Metal
21	Sc	Scandium	Scandium	4	3	44.956	light yellow	Transition Metal
22	Ti	Titane	Titanium	4	4	47.867	light yellow	Transition Metal
23	V	Vanadium	Vanadium	4	5	50.942	light yellow	Transition Metal
24	Cr	Chrome	Chromium	4	6	51.996	light yellow	Transition Metal
25	Mn	Manganèse	Manganese	4	7	54.938	light yellow	Transition Metal
26	Fe	Fer	Iron	4	8	55.845	light yellow	Transition Metal
27	Co	Cobalt	Cobalt	4	9	58.933	light yellow	Transition Metal
28	Ni	Nickel	Nickel	4	10	58.693	light yellow	Transition Metal
29	Cu	Cuivre	Copper	4	11	63.546	light yellow	Transition Metal
30	Zn	Zinc	Zinc	4	12	65.38	light yellow	Transition Metal
31	Ga	Gallium	Gallium	4	13	69.723	DarkSeaGreen1	Metal
32	Ge	Germanium	Germanium	4	14	72.64	DarkSeaGreen1	Metalloid
33	As	Arsenic	Arsenic	4	15	74.922	DarkSeaGreen1	Metalloid
34	Se	Sélénium	Selenium	4	16	78.96	DarkSeaGreen1	Nonmetal
35	Br	Brome	Bromine	4	17	79.904	DarkSeaGreen1	Halogen
36	Kr	Krypton	Krypton	4	18	83.798	DarkSeaGreen1	Noble Gas
37	Rb	Rubidium	Rubidium	5	1	85.468	light blue	Alkali Metal
38	Sr	Strontium	Strontium	5	2	87.62	light blue	Alkaline Earth Metal
39	Y	Yttrium	Yttrium	5	3	88.906	light yellow	Transition Metal
40	Zr	Zirconium	Zirconium	5	4	91.224	light yellow	Transition Metal
41	Nb	Niobium	Niobium	5	5	92.906	light yellow	Transition Metal
42	Mo	Molybdène	Molybdenum	5	6	95.96	light yellow	Transition Metal
