	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	296.881417	3065727.17163668	71.0	2.5415541154984456
1	303.69294	2194103.18434215	77.0	1.8189589829077912
2	307.643849	2853095.42533513	73.0	2.365277800078695
3	311.156829	5969737.56527885	51.0	4.949041525237919
4	314.370884	26173480.4183041	16.0	21.698381215881465
5	328.88969	9232337.89824095	43.0	7.6538077484630564
6	330.327787	3188612.91066714	68.0	2.643429050312751
7	338.095878	3961818.66935286	62.0	3.284433343289569
8	341.62759	11053410.2669689	39.0	9.163516119182201
9	344.62496	28568961.4009785	15.0	23.684286747998364
10	370.12988	6554335.54458089	49.0	5.433685890840084
11	379.58699	4013774.60390772	61.0	3.3275059364786026
12	383.53206	32369821.0140545	11.0	26.83528155321711
13	384.304	81500928.7924296	7.0	67.56603226332146
14	388.55592	93741036.5016281	6.0	77.71334622206808
15	392.95221	1708326.97461883	79.0	1.4162400011092846
16	400.4639	4231291.60718315	60.0	3.5078322355635994
17	403.19509	13186238.4350677	34.0	10.93167678867472
18	406.31064	108068767.247528	2.0	89.59134481890833
19	408.10373	1820653.75876936	78.0	1.5093613340118712
20	408.77617	7421879.66978957	47.0	6.15289872954272
21	417.99772	100574589.726483	3.0	83.37850960737859
22	418.31199	120624115.494603	1.0	100.0
23	418.41705	2870725.0844407	72.0	2.379893168683291
24	418.60633	3682162.39718675	66.0	3.052592246656929
25	419.43971	40435102.3486737	10.0	33.521574175176326
26	419.87222	4817162.57641126	57.0	3.9935319373403337
27	420.19199	17743596.9876131	21.0	14.70982557248844
28	420.89072	17001968.4272906	24.0	14.094999459748419
29	421.80204	4739236.57966722	59.0	3.9289296010458745
30	422.599	16912303.7397521	25.0	14.020665494959667
31	426.24253	15165640.9652872	27.0	12.572644286843078
32	429.46214	5313944.17901784	54.0	4.405374627808648
33	438.45195	25307000.187768	17.0	20.98005036886699
34	439.67158	99756141.9669953	4.0	82.69999871746924
35	440.21056	14906198.3903952	28.0	12.357560782331406
36	441.72644	13233952.5166465	33.0	10.97123279402502
37	446.27307	99545965.6035861	5.0	82.52575796756
38	447.18106	14516215.9119843	29.0	12.03425687513853
39	448.66324	2484102.20511971	75.0	2.059374441780553
40	448.75969	3941617.79533655	63.0	3.267686381926595
41	455.21743	19518239.6096031	20.0	16.181042679211515
42	461.01055	17649874.2799731	22.0	14.632127421288986
43	461.15973	9203117.19198925	44.0	7.629583151141133
44	461.39285	13255935.5316607	32.0	10.989457188810476
45	462.16811	6450447.4168497	50.0	5.347560386578178
46	469.05284	13839340.2300216	31.0	11.473112298710124
47	470.57811	56767530.6116934	8.0	47.06151036127872
48	471.65807	48044606.5468213	9.0	39.83001769573261
49	472.02737	12962042.0414491	35.0	10.74581313056679
50	478.6964	10780499.6589799	40.0	8.937267324013867
51	480.88163	17430740.6802327	23.0	14.450460928778865
52	485.56881	16495030.9624577	26.0	13.674737339894298
53	486.01672	31842301.1047793	12.0	26.397956141866175
54	486.88523	10352547.6665602	41.0	8.582485868692979
55	496.34749	13956705.4464102	30.0	11.57041060088408
56	510.58468	30289525.9520111	14.0	25.11067196456775
57	522.8309	4759413.1652595	58.0	3.945656426780139
58	525.82479	30319409.6797773	13.0	25.135446221061713
59	526.145	2337006.37315606	76.0	1.9374288164298483
60	526.4481	8684138.5572922	46.0	7.199338641103444
61	527.15603	11354958.1310676	38.0	9.413505818888801
62	534.47384	24729187.6993586	18.0	20.501031321937482
63	536.9627	5492436.70528394	53.0	4.553348791626733
64	543.0943	12717623.4867189	37.0	10.543184863633604
65	556.92641	5931265.82171898	52.0	4.917147617952365
66	561.0884	1551652.20281037	80.0	1.286353227501838
67	561.87641	22636697.5928093	19.0	18.76631177769931
68	563.66011	5177044.12243269	56.0	4.291881520709947
69	566.01903	9757623.8723117	42.0	8.089281179225127
70	581.244	1341442.26294571	81.0	1.1120846419849846
71	583.05565	6716706.89939604	48.0	5.568295254937277
72	615.4332	3630229.22221473	67.0	3.0095385216542
73	617.0196	673500.766185741	83.0	0.5583466982735099
74	625.7117	3128969.91561674	69.0	2.5939837177556235
75	627.56624	507834.476986258	84.0	0.4210057623253451
76	634.0104	3738071.45658257	65.0	3.0989420658175275
77	635.98574	12733571.9654084	36.0	10.556406497321117
78	644.78199	905142.142970353	82.0	0.7503824084089149
79	646.9683	2723887.87331408	74.0	2.258161945598642
80	669.12731	8788893.13413156	45.0	7.28618245041125
81	729.0394	3921991.46549402	64.0	3.2514157301070523
82	786.6101	3069197.59557474	70.0	2.5444311719840655
83	814.3345	493600.098458355	85.0	0.40920515473577906
84	870.7295	234556.099854646	86.0	0.1944520785855135
85	995.2315	5250463.1887295	55.0	4.352747514210306
