	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	211.8316	32160742.0144251	27.0	2.2071471332747543
1	212.33586	63234252.6490556	21.0	4.339679084410872
2	212.96627	48702352.3883539	24.0	3.342374918137091
3	213.47331	86778534.8488956	18.0	5.955490527414284
4	213.47596	9589359.17454646	35.0	0.6581044244112577
5	214.55548	68401340.0247722	20.0	4.694289126790423
6	215.06989	122222157.302033	15.0	8.387937193452856
7	215.0728	13547991.7441867	33.0	0.9297798889838905
8	216.88265	103447890.86582	17.0	7.0994853186348585
9	217.40707	184586245.505806	11.0	12.667898098475279
10	217.41127	20499823.6858886	29.0	1.4068744763616656
11	219.91827	3263304.81196258	43.0	0.22395608464177633
12	220.46181	6491918.76785455	38.0	0.4455313839306292
13	220.46676	164868674.071869	12.0	11.31470850956485
14	221.00603	293503623.026625	9.0	20.142746702747356
15	221.01301	32628806.3582357	26.0	2.239269740214803
16	225.8007	7929710.41442539	37.0	0.5442050311229683
17	226.34644	290446146.078951	10.0	19.93291629904941
18	226.37374	15735356.6904081	31.0	1.0798957124407254
19	226.90963	482163511.232111	6.0	33.09021325155725
20	226.92225	53445623.4570068	23.0	3.6678990349882072
21	236.70518	393244155.644131	7.0	26.987801165087962
22	237.20695	15016219.9162125	32.0	1.030542352717671
23	237.3122	700884362.979991	4.0	48.10072204846927
24	237.33497	77821697.4892175	19.0	5.3407951981599195
25	237.83941	29640578.1933267	28.0	2.034191784463922
26	256.79823	137759289.739993	14.0	9.454229050287882
27	257.5094	386159895.959447	8.0	26.50161824532165
28	257.53962	42854313.195003	25.0	2.9410320966594825
29	265.24758	57515963.2055485	22.0	3.94724080836578
30	266.03863	114689904.773411	16.0	7.871009145953429
31	308.2151	785003147.826456	3.0	53.87367762098547
32	309.27084	1457118174.38777	1.0	100.00000000000001
33	309.28369	154592438.474527	13.0	10.609464708617839
34	394.4006	627863261.840411	5.0	43.08938512171239
35	396.15201	1233890182.47796	2.0	84.68017242296752
36	555.7059	441495.977657362	56.0	0.030299256808245027
37	669.6018	2328070.1638084	45.0	0.1597722274507058
38	669.8667	1164426.89153387	48.0	0.07991300307698937
39	690.5638	1606516.30352924	47.0	0.11025298646104952
40	690.6279	2280644.88912641	46.0	0.15651749660487607
41	708.3969	2336322.20562474	44.0	0.16033855363902663
42	708.4643	3504149.80801184	42.0	0.24048494278675517
43	732.7472	355861.517862376	59.0	0.02442228256550959
44	733.5645	636582.274082914	53.0	0.04368775884292182
45	736.1568	3617939.94410412	41.0	0.24829420205566044
46	736.2296	5435729.04814585	40.0	0.37304654788413116
47	760.6162	434502.564197621	57.0	0.0298193085389374
48	761.482	776351.824831884	51.0	0.053279949319009756
49	783.5309	6018301.34553861	39.0	0.41302767691215503
50	783.6134	9015688.39505498	36.0	0.6187341942147593
51	806.5969	455807.64481312	54.0	0.03128144668188182
52	807.5353	815647.67310956	49.0	0.0559767689022386
53	877.2871	11100480.6567459	34.0	0.7618105965502717
54	877.3902	15896803.1532747	30.0	1.090975559340201
55	877.3905	792552.962685972	50.0	0.05439181094690381
56	882.8903	361508.909667019	58.0	0.024809855234899692
57	884.1265	719858.083241667	52.0	0.04940286216278417
58	891.2918	246234.365012154	60.0	0.016898723064490844
59	892.3565	441588.108820426	55.0	0.030305579642225373
