	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	193.76	2026495224.66248	1.0	100.0
1	197.263	1028457395.03904	3.0	50.75054619042258
2	228.811	1513003198.32459	2.0	74.66107888690367
3	234.402	85277636.8773569	10.0	4.2081341144813305
4	234.984	978567074.494014	4.0	48.288644482594215
5	236.966	144608658.32063	7.0	7.1358992886210775
6	237.077	152140858.32558	6.0	7.507585336201303
7	245.652	52534654.4684457	11.0	2.5923897490158425
8	249.293	48330332.8975597	12.0	2.384922121176441
9	274.499	117110695.843656	9.0	5.778977143317039
10	278.022	346881011.58238	5.0	17.117287391592754
11	286.043	142627552.305519	8.0	7.038139077247227
12	289.87	25334027.4281531	13.0	1.2501400013105173
