	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	212.66513	94970152.6843496	8.0	1.0631227531752274
1	235.262	152384488.424025	7.0	1.7058350681292
2	242.7944	8933131418.80393	1.0	100.0
3	264.14823	88534513.0739571	9.0	0.9910803829393469
4	267.59366	5387318557.13779	2.0	60.307167829163156
5	274.82513	478063190.845954	4.0	5.35157458715594
6	312.27831	666491933.14625	3.0	7.460899228945717
7	330.826	4199270.12755173	17.0	0.04700781764737517
8	332.016	37991543.1327166	14.0	0.4252880804232403
9	379.599	52895373.0832395	12.0	0.59212576870745
10	406.511	174253736.976638	6.0	1.9506456225399298
11	479.273	229781152.281857	5.0	2.572235216401
12	481.167	27191977.3837364	15.0	0.30439468657651486
13	506.4593	11247261.2314276	16.0	0.12590502371601192
14	583.7374	53142749.2359778	11.0	0.5948949673360248
15	627.8172	47605737.9458278	13.0	0.5329120967102239
16	751.0729	59364126.4940475	10.0	0.6645388241920194
