	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	206.6379	62122342.5268442	7.0	1.5177364554179131
1	206.665	144032960.500932	6.0	3.518928392624119
2	206.6728	55298234.6410736	9.0	1.3510138739334274
3	206.6926	18030303.2797051	11.0	0.4405057420045705
4	206.7003	11427888.1436891	12.0	0.27919942710821316
5	206.7197	60093145.0186599	8.0	1.468160297981743
6	206.7202	54126908.3219141	10.0	1.3223967197266195
7	208.88886	797932679.570595	4.0	19.49462089634297
8	208.955615	158209778.921458	5.0	3.865288063935206
9	208.956995	1435203891.99929	3.0	35.064055527264266
10	213.4352	124330.732622425	29.0	0.0030375751743155904
11	238.8662	954233.228617549	24.0	0.02331326378135473
12	238.8869	604003.503552628	26.0	0.01475665757687479
13	249.676894	2047327434.07165	2.0	50.01909709900322
14	249.772263	4093091544.65415	1.0	100.0
15	261.351	392569.901233103	28.0	0.009591036431760862
16	576.1901	1062906.96845175	23.0	0.025968316536676958
17	594.2619	1621431.31681372	20.0	0.039613854201023604
18	594.2731	1143666.6780664	21.0	0.027941390159233182
19	624.4557	2844610.57872227	17.0	0.06949784894104118
20	624.4681	1828642.13425329	19.0	0.044676306755015494
21	681.95167	4838880.32608195	15.0	0.1182206719124533
22	681.96637	3299165.46887586	16.0	0.0806032660858707
23	720.859	898557.810652369	25.0	0.021953034786772494
24	821.1786	8451810.17779533	13.0	0.2064896444555206
25	821.2002	5965830.14754573	14.0	0.1457536456847026
26	866.7227	1068011.79268712	22.0	0.026093034593423995
27	866.8566	2129890.01537242	18.0	0.05203621741991572
28	957.634	601385.334723452	27.0	0.01469269201928555
