	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	192.965	10739688.0426435	45.0	0.039147338877067665
1	192.966	4770387.8703217	57.0	0.017388586129599534
2	192.967	19993804.7855239	38.0	0.07287960770117341
3	192.968	3587188.4132148	61.0	0.01307569455187311
4	192.974	3586726.38304737	62.0	0.013074010401321995
5	194.3592	7105532.35884376	50.0	0.025900443481145917
6	194.3616	21333806.3980232	36.0	0.0777640603046417
7	194.3704	5321216.3959634	54.0	0.019396416419532558
8	194.3707	29860124.6985771	33.0	0.10884342411485613
9	195.658	1613664.79189281	73.0	0.005881984857604084
10	195.667	2698358.17522629	66.0	0.009835811010325074
11	196.4532	11293524.8947282	44.0	0.041166134846287596
12	196.4555	8480434.02463472	48.0	0.030912110600306977
13	196.4556	25404403.3048251	34.0	0.09260183174733007
14	196.4646	8475443.93231759	49.0	0.030893921167411822
15	196.465	47527595.1092559	27.0	0.1732432882935151
16	198.508	2722740.06877728	65.0	0.009924685682058116
17	198.517	4566965.19340362	58.0	0.01664708819809796
18	199.7955	19685221.9521084	39.0	0.07175478948453658
19	199.7979	59287075.8346103	26.0	0.21610788316311444
20	199.8072	97890164.8910712	21.0	0.3568203696892057
21	203.2602	1756657.42303931	70.0	0.006403208655370719
22	203.26274	5253334.33801655	55.0	0.019148978885447168
23	203.27239	8782760.28445528	47.0	0.03201412292111538
24	205.5878	40026764.5353222	30.0	0.1459019395344709
25	205.5904	120137292.788169	19.0	0.4379135868637693
26	205.6003	32136499.1818561	32.0	0.1171410583621632
27	205.6004	169167711.909195	18.0	0.6166348332346289
28	212.5546	4179294.52662635	59.0	0.015233986168991624
29	212.5574	12413583.7935738	42.0	0.04524887217546157
30	212.568	20895161.9347847	37.0	0.07616515320596583
31	217.4966	104107991.392006	20.0	0.37948502811730955
32	217.4994	234681800.394111	15.0	0.8554408593461582
33	217.4995	78022240.0445717	24.0	0.2843996081492286
34	217.5103	437330982.405996	13.0	1.5941193172194217
35	217.5105	78095057.7875749	23.0	0.2846650367957862
36	217.5106	5216606.64380265	56.0	0.019015102418471975
37	234.860414	27434018124.1151	1.0	100.0
38	235.0663	15368746.6960286	40.0	0.056020764535834204
39	235.0697	46105573.34565	28.0	0.16805986325831795
40	235.0826	76838403.154437	25.0	0.280084393058319
41	249.4542	446884664.023673	12.0	1.6289435328135606
42	249.458	1002342395.24324	4.0	3.6536477839611807
43	249.4581	335784818.792186	14.0	1.223972431865618
44	249.4726	2228759433.55212	3.0	8.124072177356302
45	265.0461	930119188.236515	5.0	3.3903862862105494
46	265.0558	742496519.430561	9.0	2.7064811143282372
47	265.0601	558179771.056762	10.0	2.0346263844088877
48	265.0625	2781410656.79447	2.0	10.13854639962328
49	265.0699	742585013.299613	8.0	2.706803684170729
50	265.0765	926731676.358699	6.0	3.3780384344941496
51	319.3812	6384413.65472323	52.0	0.023271886844425427
52	322.9619	9289976.32846657	46.0	0.033862980940077746
53	328.29	14399644.354329	41.0	0.05248828038671957
54	332.1013	183644781.596602	17.0	0.669405337438245
55	332.1081	550923089.142431	11.0	2.0081749842475958
56	332.1338	919214081.367667	7.0	3.3506359775991315
57	334.543	600825.631595053	83.0	0.0021900752156568497
58	336.765	23882751.4588368	35.0	0.08705524415267242
59	347.6564	984652.241411307	78.0	0.003589165236228288
60	351.5545	44624058.5787032	29.0	0.16265957971164888
61	373.6298	1917478.4643426	68.0	0.00698941896031298
62	381.3453	96302570.8646044	22.0	0.3510334156262452
63	440.7936	5356946.69070009	53.0	0.019526657256201257
64	457.266603	215566201.364024	16.0	0.7857624077842852
65	585.7012	373868.514976351	91.0	0.0013627916745003255
66	622.9108	2289486.1037235	67.0	0.008345427539507936
67	647.3536	455232.645898313	89.0	0.001659372840824048
68	656.4519	3713921.12293498	60.0	0.013537649155631205
69	671.15	550226.632263832	86.0	0.002005636322665293
70	671.21	294801.694424097	96.0	0.0010745844560223568
71	688.423	422279.734719062	90.0	0.0015392558713368672
72	688.444	786802.764153974	79.0	0.002867982227737749
73	715.44	281113.922754123	97.0	0.0010246910295179025
74	715.441	633362.885112665	82.0	0.0023086770674541662
75	715.465	1180476.75870338	75.0	0.004302967043918787
76	720.9132	6539213.21590025	51.0	0.023836148194974538
77	743.46	298528.481609364	95.0	0.0010881690033839808
78	749.842	249243.536185876	99.0	0.000908519980770828
79	761.8676	999099.545298552	77.0	0.0036418272408310533
80	761.868	778504.030880654	80.0	0.0028377324362716372
81	761.8883	1871108.04062521	69.0	0.0068203936884493966
82	761.8889	334126.595452747	93.0	0.001217928026223189
83	779.202	344552.505427066	92.0	0.0012559316096835149
84	815.8995	327821.661937007	94.0	0.0011949458531881794
85	815.924	544976.867631978	87.0	0.0019865003557496793
86	825.4075	35491772.4720277	31.0	0.12937139689657656
87	828.7	475807.77087688	88.0	0.0017343714242815732
88	854.737	1287952.65505919	74.0	0.004694728454404029
89	854.7373	1653928.27289021	71.0	0.006028749654562526
90	854.7641	551761.310386063	85.0	0.0020112303924631906
91	854.7663	3093808.06225834	64.0	0.011277269149059924
92	880.1367	12299465.5599574	43.0	0.0448328987183467
93	897.919	261108.079231349	98.0	0.0009517675393012491
94	919.045	1644007.97226204	72.0	0.005992589072531526
95	924.3912	587176.627895	84.0	0.002140323102647727
96	989.562	706633.60481242	81.0	0.002575756863670195
97	989.598	1177679.89168091	76.0	0.004292772157373855
98	993.978	3403656.24938281	63.0	0.012406699718518164
