	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	195.47096	315381568.553823	8.0	13.022303724870763
1	196.00506	56064688.1510749	18.0	2.3149463067587703
2	202.11469	24790076.5584252	24.0	1.0235978842610098
3	206.16272	683189024.45818	3.0	28.209305378206558
4	211.02172	240109913.485508	10.0	9.914289649514222
5	217.72135	8019139.88334267	32.0	0.3311153395931295
6	222.82124	604218426.552064	4.0	24.94855962193519
7	223.06108	2421856955.70507	1.0	100.0
8	227.65592	178484565.701083	11.0	7.369740202064129
9	240.0881	121984132.346	13.0	5.036801701217198
10	251.56336	8904764.7736892	31.0	0.3676833494526837
11	252.449	24301337.5778879	25.0	1.0034175437423019
12	262.78988	150163337.776159	12.0	6.200338852483641
13	269.67385	33661913.3062146	21.0	1.3899216147724414
14	273.04941	21468417.114707	26.0	0.8864444724588181
15	278.04773	62289864.161512	17.0	2.5719877474504966
16	279.86493	6576313.57783237	33.0	0.2715401321428508
17	280.96146	34022491.8841917	20.0	1.4048101315003885
18	286.3787	13393319.2619741	29.0	0.5530185930438213
19	289.79666	354537596.568684	6.0	14.639080798455673
20	293.82936	353424192.016116	7.0	14.593107622792049
21	298.9019	276402082.852635	9.0	11.412816194677637
22	299.3336	111834880.420023	14.0	4.617732692947786
23	302.46211	417277188.111424	5.0	17.22963807290357
24	306.77019	1908118275.04298	2.0	78.78740610786708
25	307.66604	18523541.7718413	27.0	0.7648487136371181
26	339.71983	80613985.3131777	15.0	3.32860225800201
27	340.2776	10177115.0493754	30.0	0.42021949419438603
28	340.52291	13407414.1756203	28.0	0.5536005809111475
29	351.0864	31876960.1572068	22.0	1.3162197743395017
30	359.60967	46445029.6314075	19.0	1.9177445439954177
31	388.80477	5910655.19688601	34.0	0.24405467808338221
32	412.17037	26719976.5488313	23.0	1.1032846711234592
33	430.836	5681836.8248265	35.0	0.23460662329548523
34	449.2827	5480198.58944164	36.0	0.22628085348030813
35	472.2527	69768614.2953533	16.0	2.880790053723124
36	613.4738	2454540.85063036	37.0	0.10134953861945885
