	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	436.515	217779.294607649	34.0	0.6926806307318297
1	442.513	85578.2186133831	39.0	0.2721947215083991
2	444.173	344631.563572873	32.0	1.0961538343478952
3	447.26	426431.319387794	30.0	1.3563305722405847
4	447.772	978922.681927061	23.0	3.1136145517256852
5	449.041	122216.266101251	37.0	0.38872768157882676
6	451.344	134721.517505814	36.0	0.4285025621338332
7	452.559	534293.103620182	26.0	1.6994016105987324
8	497.975	92268.7983468254	38.0	0.2934751421198801
9	635.073	817922.075173835	25.0	2.6015272936833176
10	655.978	268123.355027694	33.0	0.8528076785679619
11	663.16	406054.291638336	31.0	1.2915182930964002
12	700.522	1449304.94349971	21.0	4.609737873358315
13	726.045	193798.706689919	35.0	0.6164066727593812
14	734.853	2460378.89306244	18.0	7.825614489918152
15	793.868	3096280.15389179	17.0	9.848196513741867
16	797.849	1783655.62985625	19.0	5.673191792282589
17	798.993	859139.100354009	24.0	2.732624398438518
18	813.151	1451817.79090116	20.0	4.617730372030447
19	827.241	31440072.8049175	1.0	100.0
20	833.469	4220949.15216177	14.0	13.425379700461688
21	834.366	4706620.71685025	12.0	14.970133008451855
22	844.656	10585691.423779	5.0	33.669424016484164
23	847.744	6816947.84565821	8.0	21.68235387989299
24	856.628	433720.797351742	29.0	1.379515881031625
25	863.867	10082832.9996374	6.0	32.07000525157931
26	869.851	6932553.53897073	7.0	22.05005561528604
27	881.994	5922595.80946563	10.0	18.837729308754287
28	882.524	13076745.8938288	4.0	41.59260690955997
29	889.762	20877616.8360712	2.0	66.40447993112078
30	893.24	469713.210215412	28.0	1.4939953006150317
31	894.937	491435.03500668	27.0	1.563084914134853
32	896.398	4608989.56250478	13.0	14.659602066137372
33	916.607	6059218.91798634	9.0	19.2722801743596
34	917.363	3426122.8942662	16.0	10.897312215289542
35	917.818	4128960.65896326	15.0	13.13279611209251
36	926.542	14125465.1337021	3.0	44.928220177317
37	932.086	4988941.66144109	11.0	15.868098310067449
38	979.344	1446537.40572459	22.0	4.600935292676354
