	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	193.090544	1585569226.21358	1.0	100.00000000000001
1	247.85614	101993785.463255	2.0	6.432628974946831
2	290.49677	29890.2980117876	56.0	0.0018851461997132194
3	426.90179	405888.571968674	19.0	0.02559891837317987
4	437.13814	153949.742067366	30.0	0.009709430501183844
5	477.173374	228726.300700543	24.0	0.01442550075512963
6	493.202524	296605.533559876	22.0	0.018706564724908614
7	503.905608	166293.193640917	28.0	0.010487917581374457
8	504.149039	104214.538248536	41.0	0.0065726892604623536
9	504.179678	90839.3407433049	44.0	0.005729131168888404
10	505.214927	665995.803326093	14.0	0.04200357778868633
11	526.8951	90369.8682630071	45.0	0.005699522087648923
12	530.6315	62864.6473295395	51.0	0.003964799914770261
13	538.033014	311760.316961546	20.0	0.019662359221365916
14	555.1018	111018.550555956	40.0	0.00700181037324204
15	555.1578	60206.0076255353	53.0	0.0037971226125087148
16	566.894	183062.551354544	27.0	0.011545541394727162
17	601.3166	219011.961145879	25.0	0.013812828700572773
18	601.32518	96366.7208255634	42.0	0.006077736577651173
19	601.4833	117325.063095285	39.0	0.00739955475646202
20	601.64487	66747.6431679759	50.0	0.00420969592903696
21	639.7965	57177.7258080484	54.0	0.003606132413694212
22	658.76211	454103.166024114	17.0	0.02863975653138372
23	660.24208	141630.638580552	32.0	0.008932479026398184
24	667.1849	73472.9542333244	49.0	0.00463385344636018
25	682.814076	151453.144695266	31.0	0.009551973019616673
26	708.782188	136299.711221931	34.0	0.008596263661563465
27	709.325178	74824.2689891333	48.0	0.004719079290395756
28	710.011312	127678.9082122	37.0	0.008052559680229398
29	710.89263	95672.7538430136	43.0	0.006033968890244232
30	711.145795	309025.039493842	21.0	0.019489848464819763
31	711.31656	628989.103767206	15.0	0.03966960845155049
32	711.5171	125367.490005324	38.0	0.007906781232422626
33	711.517889	435645.865625169	18.0	0.027475676143482772
34	711.697758	467046.656573926	16.0	0.029456087369282336
35	711.965594	264409.439402943	23.0	0.01667599465425841
36	724.1316	54243.432029223	55.0	0.0034210699307503007
37	747.61741	82303.5295003404	47.0	0.005190787519059349
38	748.344451	130785.655812435	36.0	0.008248498624355734
39	766.242013	157745.6517847	29.0	0.009948834095462652
40	768.51859	90079.2855915775	46.0	0.005681195377807087
41	786.088573	188608.102393193	26.0	0.011895292824495512
42	801.50251	62470.8478454406	52.0	0.0039399634410554355
43	805.860891	136241.256842598	35.0	0.008592577012102403
44	833.514471	2864639.45504665	10.0	0.18066946606220122
45	887.338	138138.916318482	33.0	0.008712260179794531
46	906.143478	3777984.51272978	7.0	0.23827307255147728
47	906.24724	2957092.27368725	9.0	0.18650035739839232
48	907.828181	2206188.71096705	12.0	0.13914174635159518
49	908.85095	3108583.8749942	8.0	0.19605475583161117
50	909.483	11756405.2915343	4.0	0.741462756540072
51	911.180155	4179434.19268874	5.0	0.2635920351878575
52	940.5728	12463972.1802252	3.0	0.7860881741499107
53	960.30299	983507.479820726	13.0	0.062028668541290494
54	962.07834	2723405.24694831	11.0	0.17176198944349724
55	965.84373	3943005.75070978	6.0	0.24868076937428196
