	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	215.0795	4324639.74951278	84.0	0.3244158972597248
1	220.0727	12081568.9405348	56.0	0.9063074048168732
2	227.5466	27658391.8513739	32.0	2.0748137484134754
3	239.8559	19252718.2293601	36.0	1.444256220363832
4	272.1644	506591.158147408	115.0	0.03800229259159679
5	299.4957	14477727.0516722	48.0	1.0860568934739074
6	299.7316	15782061.402834	46.0	1.183902453651841
7	299.9645	10989029.1959337	58.0	0.8243497662467222
8	300.0863	20770317.7917368	35.0	1.5581000205936362
9	300.6861	48958386.4475268	19.0	3.672647847616011
10	300.9206	16882690.2031181	43.0	1.266466898432308
11	310.2363	272488.021307919	123.0	0.020440880869925585
12	310.7393	438785.38453097	117.0	0.03291579471864801
13	311.7654	743480.234801187	111.0	0.05577269355096491
14	313.6019	1860692.88990666	100.0	0.13958118788319102
15	314.0786	3698898.55796706	85.0	0.2774754809786821
16	314.1159	1359254.82980951	104.0	0.10196545857188365
17	315.0749	9054106.29444022	69.0	0.6792001617537428
18	315.1269	1354259.18211633	105.0	0.10159070654104478
19	316.4605	247019.098992091	124.0	0.018530311721071408
20	316.9839	930608.382486431	108.0	0.0698102433701604
21	318.0517	1344852.01363575	106.0	0.10088502117068657
22	320.9957	3545111.46255086	86.0	0.265939033682226
23	321.5169	8886968.5013211	70.0	0.6666622024643342
24	321.5342	2472573.54144911	96.0	0.18548184599196704
25	322.5904	18031489.2004353	41.0	1.3526448644762357
26	322.6155	3220620.56785835	89.0	0.2415971206324416
27	322.6329	202930.285810053	127.0	0.015222958342289131
28	326.9085	480660.85917019	116.0	0.03605711294747618
29	327.4671	1531407.41587942	103.0	0.11487960608711749
30	328.6068	2696103.21024684	93.0	0.20225008156010993
31	334.4508	8220812.62259134	72.0	0.6166900499544511
32	335.0203	16121117.1612434	45.0	1.2093369602134232
33	335.0355	6032568.29573257	75.0	0.45253736028790276
34	336.1912	28170049.1798831	30.0	2.113196083343576
35	336.2133	5866036.73092753	76.0	0.4400448776425264
36	336.2286	319512.239960972	122.0	0.023968435757933625
37	346.8474	779110.411379835	110.0	0.05844551634634036
