	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	228.80227	18674694489.1158	1.0	100.0
1	283.689991	54251051.568355	13.0	0.2905056979645596
2	288.076727	133471239.119763	11.0	0.7147171226686158
3	288.122468	45785565.328592	16.0	0.24517437409901016
4	298.06204	253437706.861398	7.0	1.3571183561214857
5	298.13623	46059981.2398176	15.0	0.24664382738182308
6	326.10546	50531544.7943739	14.0	0.2705883345177362
7	340.36521	257387693.608655	6.0	1.3782699029355938
8	346.61996	655491937.403518	3.0	3.5100544096480903
9	346.76544	219827213.934038	8.0	1.1771395460426957
10	361.0508	952286215.022247	2.0	5.099340262713639
11	361.28724	183423769.221565	9.0	0.9822049261821668
12	414.03021	7641980.86102487	18.0	0.040921584369044736
13	466.2352	11103930.2623536	17.0	0.059459769308811555
14	467.815	85266019.4974801	12.0	0.4565858871060826
15	479.99121	262094261.646667	5.0	1.4034728214666314
16	508.58214	337857995.584493	4.0	1.8091754902946728
17	643.84695	179593119.587408	10.0	0.9616924105081373
