	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	450.6413	547539.250614821	35.0	9.751388528403842
1	463.2321	1365733.9760422	30.0	24.323009924630934
2	465.0506	427809.706865654	41.0	7.619067789542367
3	482.2548	1405071.33614493	29.0	25.023587794825122
4	500.9103	2971040.88046013	10.0	52.912688773646686
5	504.0846	2544471.68810216	15.0	45.31571390059563
6	511.2704	2262828.13936892	17.0	40.29978916619098
7	521.192	3346723.36315409	6.0	59.603397883451265
8	522.3461	3500652.07782234	5.0	62.34478802255538
9	522.9742	1903695.177227	23.0	33.903818387347215
10	524.5913	3250987.22166708	7.0	57.89838712705015
11	529.6565	1966357.73811651	22.0	35.01980592017202
12	532.8085	2124270.35169354	21.0	37.83214722135953
13	539.7636	2227574.54212125	18.0	39.67194098288744
14	542.0382	1760392.08432777	26.0	31.351665031011166
15	544.9239	2854073.07289826	13.0	50.82955311611965
16	555.6258	1900583.87113432	24.0	33.848407648287974
17	556.4962	2932588.46535608	11.0	52.227871312407125
18	556.5968	2224990.37447801	19.0	39.62591830472607
19	559.5876	1872733.68967485	25.0	33.35241043951638
20	560.1277	5614987.5376204	1.0	100.0
21	565.514	2373473.9262381	16.0	42.270332931922496
22	566.9958	3633906.87746185	4.0	64.71798651581477
23	567.7752	2146950.91791156	20.0	38.236076278477825
24	569.2945	1552309.06557974	28.0	27.645814976066713
25	569.6993	5452497.86433784	2.0	97.10614365225426
26	571.9036	5086508.41076059	3.0	90.58806233639876
27	577.3123	2672506.72807248	14.0	47.59595119609247
28	578.8145	3139881.54073263	9.0	55.91965288783693
29	581.2915	3197427.51305767	8.0	56.94451664647366
30	594.0856	2855926.79821238	12.0	50.86256699730283
31	600.586	592390.385023249	34.0	10.550163843717106
32	600.6819	602989.446122147	33.0	10.73892759480087
33	601.342	708445.997471862	32.0	12.617053781959013
34	602.4195	1643614.390711	27.0	29.271915203707724
35	604.7397	517188.743821542	37.0	9.210861829280635
36	605.7997	411540.410311817	42.0	7.329320101861268
37	607.2004	330503.152854646	45.0	5.886088805011156
38	607.6612	291114.231438689	49.0	5.184592654716052
39	609.3193	313737.420800363	47.0	5.587499859943112
40	609.3244	158671.341183491	59.0	2.825853844205236
41	609.9799	118772.398862471	61.0	2.1152744875513307
42	611.891	297678.100109539	48.0	5.301491732886255
43	613.5457	203493.022698538	57.0	3.6241046188461747
44	614.2928	287791.858187187	50.0	5.125422919623284
45	614.643	497433.437228741	38.0	8.859030120653669
46	614.7844	341958.91882101	44.0	6.090110023038987
47	619.5539	285716.44054516	51.0	5.0884608136858835
48	620.8985	1117758.75036392	31.0	19.906700466829882
49	623.746	260593.456636907	52.0	4.641033571150989
50	623.8713	206776.609580273	55.0	3.682583588919304
51	625.3653	139448.124456002	60.0	2.4834983786108156
52	630.0204	316712.635449432	46.0	5.640486881359189
53	643.6399	232863.209787212	54.0	4.147172335237241
54	645.8033	429203.313323379	40.0	7.643887193831119
55	655.1702	237826.845781917	53.0	4.235572103917914
56	655.5649	487729.959183503	39.0	8.686216236736302
57	662.2996	82163.0848647449	65.0	1.4632816958942914
58	666.141	205688.082999781	56.0	3.663197498154207
59	666.5589	114083.954788211	62.0	2.0317757434695776
60	670.4272	361422.417209165	43.0	6.4367447797103
61	680.8824	64384.8677834504	66.0	1.1466609204752811
62	692.4814	531530.554679331	36.0	9.466282001840215
63	706.45	158680.884723478	58.0	2.826023809675739
64	724.173	8559.13822374185	67.0	0.1524337884348923
65	753.3723	90309.1329462439	64.0	1.6083585643097686
66	791.352	112002.629786213	63.0	1.9947084305316034
