	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	410.478	17648.7177126215	77.0	0.1562635266817405
1	414.7257	16026.8376076959	81.0	0.14190323664948637
2	420.9665	38034.9602519187	58.0	0.336765374286323
3	422.6426	51417.0477097389	55.0	0.45525172635863226
4	426.458	24253.6309291132	70.0	0.21474409447379708
5	428.0463	15325.8912488792	84.0	0.135696986890894
6	432.3335	100529.06602098	47.0	0.8900944899371093
7	433.7861	11955.1505262612	85.0	0.10585210855906144
8	436.3268	94820.30914107	48.0	0.8395485807357049
9	436.9498	62562.4050919341	53.0	0.5539338447441894
10	437.1544	22415.3536977358	73.0	0.19846780245806914
11	437.9896	131057.226596142	46.0	1.16039390274769
12	438.7558	32418.8480333798	65.0	0.2870397502608625
13	438.9751	281075.734983377	38.0	2.488672906913456
14	439.0403	35612.7616928526	62.0	0.3153189839407845
15	440.252	26277.5053413096	69.0	0.23266368264787568
16	440.302	74693.314918481	50.0	0.6613421438751084
17	443.8488	215057.420712875	39.0	1.904140093738342
18	444.5823	21211.5537520244	74.0	0.18780923632316948
19	444.6139	21161.5549917032	75.0	0.1873665422563978
20	446.9368	62618.0561821154	52.0	0.5544265851096377
21	447.5304	62767.5626618429	51.0	0.5557503305604069
22	449.1032	37893.14834823	60.0	0.3355097573878783
23	452.6182	408142.70606485	31.0	3.6137366848760735
24	454.5489	7649.8191533699	86.0	0.06773227034665665
25	457.8178	16502.7838922551	80.0	0.14611731305703773
26	458.0484	18238.0837667178	76.0	0.16148183316832035
27	460.0977	159670.692528993	43.0	1.413740416078657
28	462.3938	34503.7497280411	63.0	0.3054996801491126
29	465.4041	41116.2227094781	57.0	0.3640471828624747
30	466.1208	93251.7173722559	49.0	0.8256601110060572
31	467.4536	16904.7946587695	79.0	0.14967675693066512
32	467.7765	22847.5023355685	71.0	0.20229409008406213
33	469.1523	46766.7055278804	56.0	0.4140771276457533
34	472.1255	27062.4255568196	67.0	0.23961344540325524
35	474.0729	36324.6462129934	61.0	0.32162208128296627
36	479.6924	15468.1482436135	83.0	0.1369565446703484
37	481.8433	17307.614849506	78.0	0.15324336752799372
38	481.8699	15579.1006576149	82.0	0.1379389285346057
39	485.2706	30962.3385017471	66.0	0.2741436679638621
40	497.6619	32640.1600991749	64.0	0.288999269613004
41	509.9789	37942.6926973108	59.0	0.33594842805169545
42	514.0342	22571.828613153	72.0	0.19985324714127306
43	725.6618	2779234.21414778	7.0	24.607620046339267
44	741.4118	883822.568129842	21.0	7.825454160792261
45	754.7073	2137819.07809143	13.0	18.928465738401407
46	770.2829	26736.6364262388	68.0	0.23672887558191769
47	771.7582	541959.518248048	26.0	4.798564236744068
48	774.497	1093677.03746244	19.0	9.683526798238622
49	776.9163	447917.834523768	30.0	3.9659096839809798
50	777.1094	58181.6036568356	54.0	0.5151457869890722
51	782.1361	979327.49574017	20.0	8.671064422505571
52	783.0745	472423.997797038	28.0	4.182889725300418
53	787.8217	527271.054199922	27.0	4.668511094579713
54	789.931	374457.363001048	33.0	3.3154832598768396
55	791.5082	145188.121101273	45.0	1.2855102679417598
56	792.4645	369459.103360928	35.0	3.2712281648974697
57	793.5012	338083.687356071	36.0	2.99342706705797
58	797.6972	196023.936244162	40.0	1.7356157025302372
59	798.0597	314737.376654445	37.0	2.786716477390895
60	799.7857	387271.744455412	32.0	3.4289430857355745
61	808.4509	184188.993616149	42.0	1.6308279268264652
62	808.5561	1666255.01316078	17.0	14.753189945433036
63	808.6673	2631646.68328704	8.0	23.300865162382106
64	808.7725	184191.292150012	41.0	1.630848278277119
65	819.4422	467021.741847433	29.0	4.135057606249696
66	821.2038	2366689.17131165	10.0	20.954904627669467
67	833.3307	3014160.6667282	5.0	26.687682552228495
68	837.5943	11294201.5884272	1.0	100.0
69	842.8251	2179512.11629735	12.0	19.297620103847134
70	855.0441	146035.396552642	44.0	1.2930121302445998
71	857.5246	2196840.49340513	11.0	19.451047302503977
72	858.5981	5444134.20433403	3.0	48.20291334194403
73	868.6281	603669.517579384	25.0	5.344950794910058
74	894.8062	2490263.00976956	9.0	22.049039857064805
75	907.3168	1496093.03728394	18.0	13.246558648439015
76	912.1143	5329660.6921272	4.0	47.18935331903699
77	919.1731	2060552.41575975	14.0	18.244338916981352
78	928.8857	698651.843998756	22.0	6.185933892968952
79	939.386	612788.585406561	24.0	5.4256919412034
80	948.6964	370765.285209686	34.0	3.2827932307282084
81	958.48	1969068.6643311	15.0	17.434332554757482
82	959.2222	5774065.40284678	2.0	51.124157450521125
83	963.251	615605.73668811	23.0	5.450635282788835
84	970.2438	1741620.77218875	16.0	15.420485977276446
85	987.5969	2837555.57779365	6.0	25.12400328236748
