	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	228.7808	57634713.620561	44.0	7.663112999209279
1	229.5229	24996145.1086982	73.0	3.3234880938881313
2	230.9008	81647637.6920662	34.0	10.855871998808619
3	232.314	54126210.8438175	47.0	7.196622380148868
4	232.5537	11116200.3999127	108.0	1.4780102898957932
5	233.6001	39410635.9356687	54.0	5.240039163445876
6	233.8663	37922606.4175068	56.0	5.042190720597613
7	235.3367	21457714.2730274	81.0	2.8530182393461883
8	235.5484	13879591.5025038	104.0	1.8454308416760763
9	235.8182	10716856.3797158	110.0	1.4249134987418655
10	236.5059	21014975.9189116	83.0	2.7941517364429282
11	237.1846	8026272.33868435	121.0	1.0671733757313882
12	238.4859	32148542.7066888	61.0	4.274471061713998
13	239.2027	34180536.1586272	58.0	4.544644963129935
14	240.2062	47718373.1431848	49.0	6.3446361153463995
15	240.7251	752105751.624804	1.0	100.00000000000001
16	241.2765	54771170.9123074	46.0	7.282376287374888
17	241.4457	402704956.566383	5.0	53.54366133969903
18	241.529	304662212.576621	9.0	40.50789558761478
19	242.4932	574209141.118488	2.0	76.34686211054776
20	242.9226	4606664.46117287	136.0	0.6125022247497656
21	243.2209	341496206.202057	7.0	45.40534432349562
22	243.5823	2778068.14505134	153.0	0.3693720117217251
23	243.6657	239816513.34931	12.0	31.886009757434355
24	243.9038	158576295.372667	19.0	21.0843082944238
25	246.08	10959869.8743573	109.0	1.457224579213795
26	246.7685	9061964.62745535	118.0	1.2048790489739545
27	247.0266	22612553.2338891	77.0	3.006565657161682
28	247.6636	22339613.2550245	78.0	2.9702755505809315
29	250.4519	19109957.3127326	88.0	2.540860413771414
30	251.1018	123345105.263033	28.0	16.399968355057204
31	252.1363	503604662.716978	3.0	66.95928885386407
32	252.8967	322374694.740952	8.0	42.86294766986067
33	253.0133	5065635.40019272	133.0	0.6735270125576391
34	253.5962	137000433.8723	24.0	18.215581196704385
35	253.65	30843669.7410763	64.0	4.1009751187839605
36	254.4253	104204564.00015	31.0	13.855041498490435
37	256.2123	27834023.1888561	69.0	3.7008124361135586
38	256.7343	34023886.679777	59.0	4.523816844409691
39	257.4348	27950279.1945307	68.0	3.716269837605762
40	268.5336	6543051.3121322	130.0	0.869964270050719
41	269.5846	7263400.62503923	126.0	0.9657419331454143
42	276.4185	6584268.20533335	129.0	0.8754444692264476
43	281.5557	4810523.49000022	134.0	0.6396073264441675
44	286.26	1104539.7891671	179.0	0.14685963865864857
45	288.6443	3948576.11229996	143.0	0.5250027810277602
46	292.8809	715889.417651634	203.0	0.09518467530730479
47	298.7158	14942907.8096653	99.0	1.9868094051113878
48	298.9584	14522523.6283337	102.0	1.9309151135940807
49	300.0543	1956570.8818626	161.0	0.2601457145668335
50	301.3589	4388798.83947935	137.0	0.5835348061091213
51	301.7542	14721793.9924245	101.0	1.95741010630758
52	303.4425	1882938.43192107	163.0	0.25035554213663214
53	304.2478	4158258.08879082	140.0	0.552882101992648
54	304.3997	76800507.6277506	37.0	10.211397461305861
55	304.8882	10235675.0918524	112.0	1.3609356223828715
56	306.1815	47603477.6167635	50.0	6.329359603210562
57	306.2194	892901.904415252	188.0	0.11872026008128252
58	306.4364	2050652.31831831	159.0	0.2726547847677277
59	307.1956	1461377.44078726	170.0	0.1943047819578813
60	307.2337	31433141.1141636	63.0	4.179351247647998
61	308.2613	13609212.2308333	105.0	1.809481206789441
62	308.6774	25612081.1407576	72.0	3.4053829644869493
63	308.959	7338587.90047791	124.0	0.975738835213541
64	309.819	4728247.81064164	135.0	0.628667950009293
65	311.8244	671917.110697369	204.0	0.08933811624838657
66	312.1412	7674913.3131094	123.0	1.0204566706914526
67	312.1559	3941700.19487931	144.0	0.5240885588713952
68	312.7247	1138918.88737918	177.0	0.15143068443749141
69	313.6725	814089.393344204	193.0	0.10824134659062165
70	313.7325	9975258.39819333	114.0	1.3263106121238113
71	313.9942	6016174.22142347	131.0	0.7999106785749863
72	314.7057	13508599.7037627	106.0	1.7961037626131078
73	314.9305	4211500.86843998	139.0	0.5599612633385274
74	315.877	8979947.64023405	119.0	1.1939740682522784
75	319.3159	736171.04926898	201.0	0.09788132156662815
76	321.9148	1655470.30401863	168.0	0.22011137402449743
77	323.7021	3109398.95320975	149.0	0.4134257644609673
78	324.9998	2169890.14470909	158.0	0.2885086492187288
79	333.7169	1164050.03853717	176.0	0.15477212293915135
80	335.4376	21112890.0350781	82.0	2.8071703998363375
81	336.7109	16834395.4515028	91.0	2.2383016504174824
82	337.0321	2542928.59647029	155.0	0.33810785131967147
83	338.5218	21636804.4224137	79.0	2.8768300701956933
84	338.8165	29474345.9925408	67.0	3.9189097981056777
85	339.5371	71632493.8008303	38.0	9.524258210508266
86	340.5114	361347287.345356	6.0	48.04474458076182
87	340.9173	112227567.985362	30.0	14.921780313860426
88	341.2333	204244202.71472	13.0	27.156314424332365
89	341.2629	53734657.3615094	48.0	7.1445614191121765
90	341.4719	10517537.9889686	111.0	1.3984121204029012
91	341.7155	60290972.5624253	43.0	8.016289256155309
92	341.7794	1138492.22745191	178.0	0.1513739557226334
93	343.1578	33876181.4976609	60.0	4.504177959612306
94	343.3037	121204625.454846	29.0	16.115370104935753
95	344.292	23094689.4658537	75.0	3.0706705029128316
96	344.3642	189293096.938969	14.0	25.168415017440246
97	344.9167	146719082.434534	23.0	19.507772958466404
98	344.944	67281295.4414911	39.0	8.945722765201653
