	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	199.99536	25119898.083601	46.0	3.9259494242878232
1	209.4928	762525.096381342	383.0	0.11917384987710912
2	209.5403	544259.081531871	425.0	0.08506139717176599
3	209.583	389147.172672489	457.0	0.060819200517145657
4	235.430952	3221349.37743034	212.0	0.5034596355312769
5	236.4731	5859715.88182085	137.0	0.9158057933261712
6	236.59188	4739621.2723809	156.0	0.740747965764783
7	236.68156	4254019.20133297	173.0	0.6648539806491276
8	237.505779	2388221.7422909	246.0	0.37325142574282855
9	238.330662	20443277.7369079	55.0	3.1950477742648653
10	238.5729	6964945.65935347	126.0	1.0885404196518498
11	238.921819	5601885.70149356	141.0	0.8755099193281487
12	240.862412	22217579.4091908	50.0	3.4723505963395875
13	240.875087	7053797.36272995	124.0	1.1024269128436994
14	247.913369	3831280.96142466	192.0	0.5987848849836502
15	249.256975	13026878.4065905	84.0	2.0359503693213226
16	249.507847	4708442.34738613	157.0	0.7358750605393817
17	249.630633	22503187.3001773	49.0	3.5169878051156265
18	249.984166	4618306.31851208	160.0	0.7217878421323658
19	250.252921	11242720.9725886	94.0	1.7571072057245984
20	250.430631	23061060.7863136	48.0	3.6041769762035485
21	250.810991	6141100.73653335	135.0	0.9597829903946191
22	250.898025	6676603.08057614	128.0	1.0434758108154174
23	251.362067	5720206.75443386	139.0	0.8940021308859397
24	252.711718	27413811.8088381	43.0	4.284461598142531
25	253.894988	3517065.01756341	200.0	0.5496765685486621
26	254.471024	4967332.8902163	154.0	0.7763366569278319
27	254.954402	9108832.8179931	109.0	1.4236051770082516
28	256.069175	13631800.9145605	79.0	2.130492758147891
29	257.174239	20202016.0104453	57.0	3.1573413579029745
30	257.765266	11590928.554595	91.0	1.8115280219062977
31	257.915492	5018027.92217333	152.0	0.7842597038631172
32	258.46575	4205462.93707434	177.0	0.6572651983587973
33	258.820323	5122835.93303651	150.0	0.8006399832949701
34	259.18474	28818631.6036939	41.0	4.504018677812484
35	260.356971	4393767.16797809	167.0	0.6866949709019493
36	261.826874	3276245.59861675	211.0	0.5120392797338568
37	262.04776	3943886.14914394	189.0	0.6163837729419948
38	262.286699	7748938.64273443	117.0	1.2110694518758907
39	262.532219	4346553.43408015	169.0	0.6793160105734397
40	262.659903	4334467.65310025	170.0	0.6774271428430773
41	262.982298	3433528.56738997	206.0	0.5366207879330726
42	266.936765	2725583.66764292	234.0	0.4259771912775639
43	267.198136	4525048.30624649	161.0	0.7072126938437134
44	267.36537	4081821.92576396	183.0	0.6379415388615782
45	267.816246	6296735.56264807	132.0	0.9841069129659097
46	268.03394	3759115.62708253	193.0	0.587506278204629
47	269.025252	4440144.63153454	164.0	0.6939432318520301
48	269.654121	2883150.27493253	223.0	0.4506030288950927
49	270.059442	3972238.27137458	188.0	0.6208148816024789
50	270.199133	17055226.5494972	64.0	2.6655345746330483
51	270.348033	4194561.08481814	179.0	0.6555613649894715
52	271.617943	5792522.94107161	138.0	0.9053043141333516
53	272.65124	43738763.5785487	30.0	6.835862674234565
54	273.190853	32719951.933351	40.0	5.113749905670396
55	273.647395	18988585.4111073	59.0	2.96769619505121
56	275.160071	3987278.83017153	187.0	0.6231655469178131
57	275.287419	21895541.6910776	52.0	3.4220198270897377
58	275.709669	28264501.892215	42.0	4.417414615386706
59	276.174675	17058778.8882043	63.0	2.6660897640711423
60	276.436442	21282344.3015977	53.0	3.3261841700265022
61	276.991155	45510468.8797598	29.0	7.112759713551706
62	278.069629	80054849.6745819	13.0	12.511646740977485
63	287.163215	10100577.9168356	102.0	1.5786034611128674
64	287.927187	14160930.9342055	74.0	2.2131896579953803
65	288.69922	13311481.1912997	81.0	2.0804304916156573
66	288.926001	55214255.1986968	22.0	8.629349238933312
67	289.325039	34895755.5108395	37.0	5.453802830008529
68	289.416998	9915303.58511293	104.0	1.549647226754704
69	289.67518	14740705.4038224	71.0	2.3038016993991306
70	289.920894	4499123.23676284	163.0	0.7031609054457181
71	290.548841	13089762.143109	83.0	2.045778369751907
72	290.905144	20327020.4499591	56.0	3.1768781054530373
73	291.0901	16624932.1592642	67.0	2.598284540099176
74	291.114546	17340629.0051996	62.0	2.7101396762511416
75	296.764225	36525019.0105163	35.0	5.708437863848299
76	297.110761	53000589.3579175	23.0	8.283378880922715
77	297.5481	48371562.907954	26.0	7.559915606280236
78	298.078995	16850077.273971	66.0	2.6334721165185813
79	298.864712	41219442.3131029	33.0	6.4421219098908615
80	299.188747	33180546.7857862	39.0	5.185735551859319
81	299.406767	14235886.3643376	73.0	2.224904324463971
82	299.510196	24512285.191474	47.0	3.8309865595462202
83	299.657788	65730603.2954892	18.0	10.272932768564173
84	299.878437	13974436.0723488	76.0	2.1840426688992367
85	300.08842	86224006.3502182	11.0	13.475814550036674
86	300.505869	67900943.8762617	17.0	10.612131889724413
87	301.371163	46955085.2210319	27.0	7.338536532966289
88	301.51968	55826669.7512451	21.0	8.725062547641839
89	302.06664	51281215.6976186	25.0	8.014660671584405
90	302.15582	343304057.068221	4.0	53.65445196939455
91	302.43483	71594261.6080851	16.0	11.189354718205154
92	302.916096	12916550.5890836	85.0	2.0187074079771876
93	303.02444	85542164.6152443	12.0	13.369250576012284
94	303.13523	10560759.7455755	100.0	1.6505245564770465
95	303.418749	27327462.9905939	44.0	4.270966276937584
96	303.704458	52953339.0157831	24.0	8.275994199150418
97	304.084074	41549449.6533333	32.0	6.493698238866259
98	305.387423	61827398.316137	19.0	9.662906991764986
99	314.84487	10777031.1286147	97.0	1.6843252713090455
100	315.515386	12848929.7914433	87.0	2.0081390597027524
101	316.06112	517607.398277894	431.0	0.08089604744864909
102	316.375954	15452070.2400764	70.0	2.4149797925607905
103	316.957504	493667.296905143	438.0	0.07715448659959845
104	323.77226	22187205.4425151	51.0	3.4676034967858027
105	323.8077	4110499.8637944	182.0	0.642423568761766
106	357.868618	639842630.885593	1.0	100.0
107	359.348538	509519292.924262	2.0	79.6319701641397
108	360.532884	396230732.766999	3.0	61.926279000601156
109	363.97965	77847759.1300327	14.0	12.166704025689132
110	373.202825	594797.258743411	415.0	0.09295992952519659
111	374.388144	41569966.1170249	31.0	6.496904724758456
112	374.44912	2736289.29303699	233.0	0.42765035665875345
113	375.716951	1827222.59548789	277.0	0.2855737500577085
114	375.766107	12249094.3970397	89.0	1.9143917278668943
115	375.804616	3440071.07899764	205.0	0.5376433067981589
116	376.823828	10878869.0058076	96.0	1.7002413532137395
117	376.873275	2538069.73380516	238.0	0.3966709330218072
118	380.479845	16980223.1787905	65.0	2.6538124156073377
119	384.953333	1471316.44047973	311.0	0.2299497359910688
120	385.221179	1516725.36923012	301.0	0.2370466261572555
121	388.32867	5934478.75832124	136.0	0.9274903658900392
122	388.521354	4305348.27261427	172.0	0.6728761205947353
123	388.679508	4223883.37161353	175.0	0.660144099146276
124	389.403367	2615444.13633754	236.0	0.4087636568881879
125	390.290908	3846256.38481309	191.0	0.6011253703882727
126	390.31609	1204305.35378551	338.0	0.18821899255425598
127	390.875593	9372827.59847281	107.0	1.464864506683475
128	391.623849	2179050.36914133	258.0	0.3405603603069322
129	391.915844	17517655.0129689	61.0	2.7378067930114436
130	392.102067	3862864.48531876	190.0	0.6037210243356633
131	392.86372	5677015.80707248	140.0	0.8872518855480196
132	394.148757	4197739.11377875	178.0	0.6560580541450866
133	396.3684	92991066.0939872	10.0	14.533427690693284
134	396.974253	74594433.9522678	15.0	11.658246942536975
135	398.123145	2242976.48284923	254.0	0.35055127223154425
136	398.389886	45545704.9965585	28.0	7.118266710912905
137	399.11134	36252800.4371292	36.0	5.665893250493867
138	400.14374	9469601.92217587	106.0	1.4799892137648265
139	403.90899	13515532.903607	80.0	2.1123214132982087
140	403.92952	1210284.6983172	337.0	0.18915349492141056
141	404.224267	305941.054803864	468.0	0.04781504701873604
