	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	202.43252	34369224.3669832	20.0	0.5615327019575529
1	202.43383	68740723.4134891	11.0	1.123102568179415
2	216.50934	537042050.933688	4.0	8.774322943852049
3	217.89488	915639201.77903	3.0	14.959934780697724
4	218.17253	501047288.131294	5.0	8.18623180170319
5	222.57017	244216216.419638	7.0	3.990063622142982
6	224.4267	21326573.2015138	23.0	0.34843871207189403
7	244.16333	16640922.0184667	25.0	0.2718834095386587
8	249.21428	50165272.7750962	15.0	0.819612362067106
9	261.83685	166490345.953359	8.0	2.72015954782059
10	276.63913	49276561.8476828	16.0	0.8050923879472055
11	282.4368	83078019.2020936	10.0	1.357348775104986
12	296.1164	62376413.4339285	12.0	1.019120932144846
13	306.341	11093443.7058717	29.0	0.18124736687850168
14	319.4096	12555002.6636384	26.0	0.20512667069582668
15	324.75358	6120609582.87363	1.0	100.0
16	327.39521	3087908847.21509	2.0	50.45100174099513
17	333.7843	8969232.19303667	30.0	0.14654148531436978
18	402.26286	31856920.9576069	21.0	0.5204860811045239
19	406.26378	52271770.557407	14.0	0.8540288324168093
20	424.8956	5017788.08755109	35.0	0.08198183562617035
21	427.5108	45614152.4513605	18.0	0.7452550572576242
22	448.03494	3093499.02897935	36.0	0.05054233548297897
23	450.9382	6667700.03069385	32.0	0.10893849608298918
24	453.07828	8565381.9444882	31.0	0.13994328225828037
25	453.9699	11399821.5053258	28.0	0.18625304148175348
26	458.6967	27642143.3875361	22.0	0.4516240255690039
27	465.1122	46180018.8148794	17.0	0.7545003187933751
28	470.4597	6607978.06316833	33.0	0.10796274413023221
29	510.5548	55816976.7566946	13.0	0.911951268920644
30	515.3238	154392026.301129	9.0	2.522494274641218
31	521.8202	285638224.568545	6.0	4.666826411666625
32	522.007	38103843.3570257	19.0	0.6225498104575382
33	529.2524	11641063.465002	27.0	0.19019451097772053
34	570.024	5999254.58165614	34.0	0.0980172726331531
35	578.2126	20966186.9418673	24.0	0.3425506341808468
