	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	286.2694	1153154.87954504	37.0	1.102307038025848
1	296.46	1204966.15739106	36.0	1.1518337210689038
2	314.7689	1467004.43715694	34.0	1.402317541708917
3	326.3185	1583207.13933091	33.0	1.513396338422265
4	351.1014	1291768.15137487	35.0	1.2348082204880808
5	357.1437	688376.740865494	45.0	0.6580230806192344
6	375.7052	46367110.7958879	4.0	44.32257407035949
7	386.8805	45793334.3175899	5.0	43.77409800569495
8	396.7509	2528058.02486415	28.0	2.4165844525974918
9	401.3824	1055879.63569877	39.0	1.0093211019478348
10	402.3714	4111470.87829984	26.0	3.930177434254366
11	404.59701	70345960.6515382	2.0	67.2440874147567
12	408.5333	2501342.74711885	29.0	2.391047172910414
13	410.3874	7154634.05133555	21.0	6.839153707087554
14	412.9122	4506606.5755479	25.0	4.307889802105276
15	413.0351	762121.866926255	44.0	0.7285164487858349
16	414.6063	14375591.5798068	15.0	13.741706387660676
17	416.79743	38772498.6440656	7.0	37.062842897619504
18	418.3717	23411714.7819143	11.0	22.379385834572055
19	418.68213	56048360.6646469	3.0	53.57693361608697
20	419.0938	2442439.83602561	30.0	2.3347415589724965
21	419.16398	16728677.4985575	14.0	15.991034049823256
22	419.48464	39291900.9058838	6.0	37.5593423522241
23	419.8019	9972986.38051221	18.0	9.533232068281908
24	420.1309	10401344.9994473	17.0	9.942702408152883
25	420.224	6889863.20998135	22.0	6.586057815923387
26	421.1715	104612856.469669	1.0	100.0
27	421.318	18245858.6785668	13.0	17.44131581366094
28	421.516	21866616.3201057	12.0	20.90241778881701
29	421.8094	28622423.0022849	10.0	27.360330238744183
30	422.111	34649278.244473	8.0	33.121434031886004
31	422.2212	6629968.68016845	23.0	6.3376232175542535
32	422.5154	32503587.387717	9.0	31.07035644050208
33	423.2025	8757474.2288212	20.0	8.371317373749662
34	423.9856	10457456.1756658	16.0	9.99633938749946
35	424.5915	9006302.55218557	19.0	8.60917372502568
36	426.8267	278160.749950341	61.0	0.26589537781237216
37	427.6691	1803832.58322027	32.0	1.7242934034052166
38	429.1954	562189.264194783	47.0	0.5373997835130158
39	456.5093	344117.214506009	57.0	0.3289435219712033
40	457.7776	1147585.84522776	38.0	1.0969835677515278
41	458.9364	6360021.06496208	24.0	6.079578820033537
42	461.2259	3838954.09272081	27.0	3.6696771527635894
43	479.1293	392352.78267235	51.0	0.3750521646315117
44	480.7946	188257.15911692	67.0	0.1799560450502587
45	481.2802	168112.846995052	70.0	0.16069998723703136
46	488.0162	266656.397730789	62.0	0.25489830478733
47	488.8082	1006985.50708825	41.0	0.9625829377675115
48	502.212	352955.968776082	55.0	0.33739253537964187
49	502.453	249547.228398765	64.0	0.2385435565189042
50	504.264	1842475.84597902	31.0	1.761232709015282
51	504.724	170671.951851069	69.0	0.16314624952484008
52	507.067	1010951.10787162	40.0	0.9663736771825276
53	507.7667	252792.943080665	63.0	0.24164615288366462
54	526.711	535892.724850628	48.0	0.5122627781471605
55	530.158	490994.663302669	50.0	0.46934447626427817
56	552.801	317987.590646159	58.0	0.30396607202706005
57	554.727	208177.012894602	66.0	0.198997541908207
58	562.748	70211.3086301953	71.0	0.0671153728132374
59	563.95	387722.790981332	52.0	0.37062633032465436
60	565.201	279349.927956443	60.0	0.267032119553524
61	574.553	349194.220467149	56.0	0.33379665965663874
62	594.579	790781.240807849	42.0	0.7559121005716202
63	597.449	317489.838896538	59.0	0.30349026841513466
64	598.856	374461.074886068	54.0	0.35794938358712886
65	601.082	237234.460122825	65.0	0.22677371417690684
66	608.826	515659.038459937	49.0	0.49292128698296744
67	612.715	177803.656888693	68.0	0.1699634852626786
68	616.843	379149.28116783	53.0	0.3624308655387485
69	625.909	788739.349474595	43.0	0.7539602455108171
70	657.937	564371.382751039	46.0	0.5394856825410081
71	737.604	52794.3296207548	72.0	0.05046638759554544
