	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	386.28515	55619862.5989121	2.0	53.681660604716704
1	389.26849	30039401.3856436	4.0	28.992609377365085
2	393.70129	14593034.9810819	8.0	14.08450712466376
3	397.30356	20653266.9013565	6.0	19.93355632990964
4	397.35741	21525718.5686515	5.0	20.775605412905136
5	400.79641	103610547.759443	1.0	100.0
6	408.76318	16378758.012447	7.0	15.80800253124253
7	415.11075	45290138.80308	3.0	43.71189978479028
8	460.6604	5089322.1382625	9.0	4.91197300691682
9	582.6805	1124934.6057	10.0	1.085733672899605
10	622.1017	843988.01431519	11.0	0.8145773114477811
