	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	237.284	2907306.01618004	73.0	1.2701529433575613
1	237.5304	4070399.05703865	59.0	1.7782886679849668
2	237.9645	5127289.29915609	48.0	2.240026181807186
3	261.9272	260926.533427813	147.0	0.11399439982890962
4	264.382	189080.186605039	149.0	0.08260594316883732
5	265.9405	479569.904813759	137.0	0.20951599960751444
6	268.2588	299115.444156229	143.0	0.13067849056286313
7	270.9986	5909524.69704666	42.0	2.581771628450823
8	272.396	4122862.34004166	58.0	1.801208991113534
9	273.137	1093860.3886151	111.0	0.4778891470280217
10	273.2603	958657.365437656	115.0	0.41882122748878164
11	273.5256	2061321.27961538	88.0	0.900556486292812
12	273.8573	552041.599075849	131.0	0.24117766001230706
13	274.3292	2753853.53321382	74.0	1.2031121427606006
14	274.5614	1323001.64364051	103.0	0.5779970950374227
15	274.7836	1862129.41432976	95.0	0.8135329213232599
16	277.2903	288313.695654828	144.0	0.12595938890101283
17	287.8858	1454931.38944533	100.0	0.6356349749227267
18	289.2514	4285611.66608866	54.0	1.8723114255864162
19	289.302	3188332.9475479	70.0	1.3929288678915155
20	289.3838	786260.306205479	120.0	0.34350386117395293
21	290.899	3810860.07327545	64.0	1.6649004651923358
22	295.8893	536763.309451914	134.0	0.23450283306691108
23	305.898	1764348.30156151	97.0	0.7708140030201378
24	306.6941	577971.266017591	129.0	0.2525058939866611
25	310.617	3753468.00364662	65.0	1.639826838350597
26	311.1429	19152603.5447056	6.0	8.367449325899171
27	316.8278	514246.872302545	135.0	0.22466578159725747
28	318.5557	273652.030367345	146.0	0.11955395472388125
29	321.0571	6055519.36944807	40.0	2.6455542374480077
30	321.2813	17387041.8436084	9.0	7.596105209095639
31	321.3753	6468182.35865342	34.0	2.82583973454975
32	323.512	663023.351678814	123.0	0.2896637151241977
33	324.1398	1150328.91208932	108.0	0.5025592921378491
34	324.6021	633917.73517549	125.0	0.2769479623743351
35	324.7542	1156489.00649002	106.0	0.5052505334419518
36	332.2259	1457164.11697101	99.0	0.6366104159057795
37	333.432	17472823.2931211	8.0	7.633581676993295
38	335.0402	1066989.80411272	112.0	0.46614984204757126
39	335.3702	160833.083616966	151.0	0.07026526048804889
40	345.7043	566315.575009569	130.0	0.24741371925228028
41	346.7877	652463.189913469	124.0	0.2850501586310259
42	358.9266	415549.886785246	141.0	0.18154673394364002
43	432.997	2336672.46081865	83.0	1.0208527713470568
44	459.398	18637771.52393	7.0	8.142527902807274
45	459.403	228894168.327066	1.0	100.0
46	462.723	179598148.599886	2.0	78.46340075526035
47	466.188	132889001.66355	3.0	58.05696258441386
48	490.085	4909240.58792203	49.0	2.1447643790152116
49	501.315	11752833.4313122	16.0	5.134614620027636
50	502.291	12136314.3507311	15.0	5.30215096323012
51	506.794	2202159.09394664	85.0	0.9620861510110573
52	511.434	6132132.27595613	38.0	2.679025123608195
53	512.909	7482062.1251217	28.0	3.268786697278635
54	513.348	10807285.3421494	19.0	4.721520614149902
55	516.005	9645231.779596	21.0	4.213839020054878
56	516.669	6680707.53657481	31.0	2.918688398836257
57	521.511	14867496.4226652	12.0	6.495358327094245
58	522.345	6232457.82082306	36.0	2.7228556613629076
59	526.639	5992731.32734134	41.0	2.618123201277172
60	527.196	24884642.7157855	5.0	10.871680522776765
