	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	604.753	1039.70097282049	95.0	0.21571468854745113
1	614.974	823.136512094711	97.0	0.17078240857739677
2	623.965	131892.173308676	6.0	27.36467487372422
3	634.851	103704.50194725	10.0	21.51636376547084
4	641.365	60174.8506104091	21.0	12.48493508917296
5	656.969	2763.4733555503	83.0	0.5733588885509644
6	658.039	1159.53180472356	91.0	0.24057690495206707
7	665.04	1595.28420662942	88.0	0.3309857783860593
8	669.048	10263.807117266	49.0	2.129510324113562
9	670.827	5297.4203019653	66.0	1.0990961828605386
10	677.398	70558.7403508672	18.0	14.639359870749782
11	679.552	13983.6635070834	43.0	2.9012972932013077
12	683.426	103995.275893651	9.0	21.57669285328101
13	685.603	481979.683359293	1.0	100.0
14	687.022	94167.8476765662	14.0	19.537721386975672
15	690.247	253178.015153088	3.0	52.52877328531622
16	690.981	97668.1253976578	13.0	20.263950695376273
17	696.635	12395.8240852997	45.0	2.571856141093649
18	703.746	160139.877475311	5.0	33.225441445824245
19	712.789	92330.2137354335	15.0	19.156453461256312
20	720.236	55117.1764874363	22.0	11.435580874131798
21	729.898	1065.29537976365	93.0	0.2210249553132145
22	730.9032	37706.1289366324	26.0	7.823178079588112
23	731.102	87579.1282662719	16.0	18.170709531958803
24	731.4303	28507.033387418	31.0	5.914571582920303
25	733.196	125922.571540927	7.0	26.126116076776146
26	739.868	277230.552409161	2.0	57.519136590348516
27	742.564	99679.6786418694	11.0	20.6813029850395
28	747.651	1954.74438589528	86.0	0.4055657226609925
29	748.272	33089.7220341278	29.0	6.8653769394385415
30	748.914	10411.5288684267	48.0	2.160159282204723
31	751.492	16390.8541371465	40.0	3.400735488040872
32	755.223	68475.516330866	19.0	14.207137498744059
33	757.339	66495.4567940248	20.0	13.796319448688378
34	760.717	35964.9902456672	27.0	7.461930759196961
35	775.469	195907.644443849	4.0	40.6464527878884
36	780.021	98209.838571698	12.0	20.376344058155503
37	782.259	2924.32307902333	81.0	0.6067316071585088
38	787.918	5444.85487745553	65.0	1.1296855584256338
39	789.859	18402.8422263456	37.0	3.818177998309351
40	793.095	2967.96158242977	80.0	0.615785620203683
41	793.632	5651.51225455091	61.0	1.1725623402134102
42	795.407	2193.00946515721	85.0	0.45500039542588466
43	795.629	4983.13472582262	68.0	1.033888957951767
44	804.093	8854.29170152548	52.0	1.837067413259622
45	807.552	14172.0903520862	42.0	2.940391647488091
46	807.752	5729.90024930974	60.0	1.1888260951942182
47	812.658	4065.3983660957	75.0	0.8434791976625992
48	812.927	6589.1741522288	58.0	1.3671062037934252
49	815.95	1314.5630307775	90.0	0.2727424155340497
50	817.934	9365.30311118993	51.0	1.9430908468829675
51	819.124	4436.22654482679	72.0	0.9204177474675408
52	819.773	1681.65658220269	87.0	0.3489061137353159
53	820.863	5636.71834739318	62.0	1.1694929354919041
54	821.472	23152.2107373294	34.0	4.803565697201914
55	823.077	79129.5693986795	17.0	16.417615125841756
56	823.218	5552.38506731801	64.0	1.1519956668337348
57	827.461	20102.0702152673	35.0	4.170729785778576
58	829.858	24776.5092366034	33.0	5.140571292116828
59	830.239	9889.38315703695	50.0	2.051825730103417
60	834.555	6194.00225163113	59.0	1.2851168763920273
61	860.445	119.045626176942	103.0	0.024699303785425147
62	867.263	1051.20325281975	94.0	0.21810115428374352
63	873.727	3779.13601220412	77.0	0.7840861643512375
64	876.665	904.42817053302	96.0	0.18764860880221204
65	877.774	8171.25223449869	53.0	1.6953520068619592
66	879.936	5616.16771004551	63.0	1.165229138062843
67	880.758	37824.3971857324	25.0	7.847716095023887
68	883.122	7721.20493684738	56.0	1.6019772624091269
69	884.45	6626.16460675106	57.0	1.3747808954452483
70	884.906	4153.55841264361	73.0	0.8617704347399493
71	890.09	109846.662341941	8.0	22.790724616509515
72	891.023	17839.746819319	39.0	3.701348300612977
73	891.276	29908.6755716309	30.0	6.205380974395845
74	891.44	491.684903518315	101.0	0.10201361602866303
75	891.684	172.108044545297	102.0	0.03570856832506747
76	896.366	512.75010972184	100.0	0.10638417498183406
77	898.119	1111.62127196469	92.0	0.23063654140293485
78	898.366	587.503499529858	98.0	0.12189383075964678
79	900.618	4066.56840238884	74.0	0.8437219540138595
80	901.685	4866.86653562104	70.0	1.00976590998609
81	902.547	27227.4108730046	32.0	5.649078542737632
82	904.209	40636.2732667028	24.0	8.431117466088377
83	910.234	3256.86526754506	79.0	0.6757266706441694
84	915.18	14603.296488642	41.0	3.0298572725846484
85	917.867	34170.5635746877	28.0	7.0896273752715775
86	923.288	1360.10940987131	89.0	0.2821922700956283
87	923.537	13416.9558171439	44.0	2.7837181276253498
88	924.46	4853.4619499367	71.0	1.0069847583842397
89	931.436	18371.8686740722	38.0	3.811751679245958
90	938.495	7742.96859928465	55.0	1.6064927354028393
91	943.365	41986.9597646051	23.0	8.711354692788122
92	950.53	11013.792879335	47.0	2.285115588808904
93	957.484	2638.31374239079	84.0	0.547391069267136
94	966.207	3916.52727467366	76.0	0.8125917771837023
95	969.946	5231.6693500365	67.0	1.0854543315130856
96	972.072	587.275128205665	99.0	0.12184644881968588
97	973.436	11505.22738198	46.0	2.3870772522590746
98	973.674	3579.62844832223	78.0	0.7426928088281651
99	979.485	4958.72926825866	69.0	1.0288253715794413
100	982.216	18648.9564625073	36.0	3.869241195506033
101	988.365	2834.34219651184	82.0	0.5880625873599266
102	990.273	8032.61343714058	54.0	1.6665875584537133
