	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	193.453495	8311480.25642494	265.0	1.0310365833780664
1	193.726831	7370128.07940733	292.0	0.9142621337729586
2	194.066039	5964855.66085358	345.0	0.7399385201156835
3	213.201699	5345137.25387572	370.0	0.6630626412981857
4	213.859231	1554473.9250244	730.0	0.19283201489512242
5	214.518938	3050045.10483672	516.0	0.37835716226467914
6	215.300638	2589231.76739117	555.0	0.3211934087145663
7	216.1579	1868814.67171152	672.0	0.23182588836672996
8	216.677326	159527991.445007	11.0	19.789398540107186
9	217.129691	2788721.2305208	536.0	0.34594001559317894
10	217.321355	3181805.95840117	505.0	0.39470205584450246
11	217.68401	2292481.53934159	598.0	0.2843816336991125
12	219.120418	1725762.33227636	701.0	0.21408028941864216
13	219.183908	48981394.8626233	61.0	6.076127049596532
14	219.604199	28982502.6033212	92.0	3.595270582370066
15	220.038993	21452885.9787721	115.0	2.6612239433588507
16	220.072429	11382853.4619096	197.0	1.4120394900039857
17	222.817144	958258.676295553	930.0	0.11887169566894079
18	225.079023	1113592.48762872	871.0	0.1381408074491485
19	225.928244	631610.085145678	1117.0	0.07835103785662352
20	225.951006	6372902.03104185	334.0	0.7905565475186264
21	226.505412	983857.913525371	919.0	0.12204727321664816
22	226.708447	2254880.69985414	601.0	0.27971726106256334
23	227.206942	2618893.51519318	554.0	0.3248729394560567
24	227.519159	585344.802165434	1154.0	0.07261184365519396
25	227.602564	9252497.36280962	245.0	1.1477694675736552
26	227.993675	1285021.0486661	805.0	0.15940646800687744
27	228.330395	738173.802558732	1035.0	0.09157023440451743
28	228.365496	735423.672894392	1039.0	0.09122908166090404
29	228.408535	6579971.80435507	325.0	0.8162434895567425
30	228.724949	6625790.03753881	319.0	0.8219272273676654
31	229.252458	2762305.48550415	538.0	0.3426631505042798
32	229.384741	546670.832875774	1182.0	0.0678143495949445
33	229.440788	3543148.60057751	471.0	0.4395265000739527
34	229.692661	1195310.55900747	839.0	0.14827790920661957
35	229.778687	10557940.9561699	217.0	1.3097093460027127
36	229.816882	30692551.7159695	90.0	3.8074016517004265
37	229.921991	3562228.07236958	466.0	0.4418933027134642
38	230.014164	3546165.68706655	470.0	0.4399007687300096
39	230.168355	2562835.32360629	559.0	0.31791893793756415
40	230.342417	2171419.73602679	619.0	0.26936395402998364
41	230.358055	2412169.4940004	582.0	0.2992288878627178
42	230.899878	5146637.00247903	375.0	0.6384387458324503
43	231.310413	8594360.34939339	261.0	1.0661277723794962
44	232.035752	13871423.0633375	166.0	1.720745787822755
45	236.945612	855951.768085631	987.0	0.10618055500056325
46	237.143028	1545726.00340125	733.0	0.1917468378937069
47	237.36243	5506433.53879637	367.0	0.6830713961030361
48	237.45185	1060062.8347135	894.0	0.13150047037941193
49	238.183431	2501554.36584064	567.0	0.3103170538722089
50	238.997273	3743553.24914104	453.0	0.4643866354256909
51	243.818221	3832444.48074313	444.0	0.47541356551464115
52	243.974488	57772768.7911414	49.0	7.166694296201188
53	244.256819	43039698.4819149	68.0	5.339061431098575
54	244.387166	3928460.13692926	439.0	0.4873242782939231
55	244.521265	645369.640353618	1105.0	0.08005790647120391
56	244.770917	3327783.86226255	487.0	0.41281057016475037
57	245.347592	7709798.61158988	282.0	0.9563981593870464
58	245.356823	2042201.77977844	644.0	0.25333450608436564
59	245.75968	32818623.2007813	85.0	4.071140169038946
60	245.85679	598277.136030228	1146.0	0.07421609571519909
61	246.218086	7706808.76390383	283.0	0.9560272696961682
62	246.264707	77738846.1816378	34.0	9.643480088990176
63	246.373043	4652658.98484247	399.0	0.5771609238495174
64	246.514911	23256384.8687209	107.0	2.884947428977617
65	246.887968	16680402.5558333	139.0	2.0691988346170533
66	247.096525	1556794.05226141	729.0	0.19311982596916064
67	247.233614	5787883.28882627	352.0	0.7179851515004722
68	247.235118	5955692.39682018	346.0	0.7388018200153273
69	247.287203	8667835.57508152	259.0	1.0752423516504823
70	247.289473	129759460.45982	15.0	16.09662137740799
71	247.315677	3717522.73166026	456.0	0.46115755769477773
72	247.481423	24790264.9707146	103.0	3.0752247864253066
73	247.665658	5135244.37164577	376.0	0.6370254934625212
74	247.686504	483258.127683857	1231.0	0.05994802291344948
75	247.948014	5919832.51374628	350.0	0.7343534124893311
76	247.977624	121042761.194521	16.0	15.015317499933131
