	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	323.6029	235621.95865879	53.0	0.051862129584991694
1	330.5752	425864.061233311	43.0	0.09373581840585753
2	331.4578	214495.984346552	58.0	0.04721214694488846
3	342.39	911922.92234804	30.0	0.20072095588860783
4	343.9675	458432.711448008	42.0	0.10090441834220253
5	365.3102	2653394.08546089	20.0	0.5840315931653068
6	368.651	1305245.46565778	25.0	0.28729414637535644
7	422.56552	13622479.0011118	7.0	2.9984080229448185
8	432.53607	6665264.74902904	11.0	1.4670738928581841
9	494.61573	231730.968461086	55.0	0.05100569396669907
10	495.91444	278617.821008204	50.0	0.0613258357585444
11	497.49878	334540.218514607	48.0	0.07363476758599101
12	499.45999	419572.22319708	44.0	0.0923509384845624
13	501.92929	540350.818939632	38.0	0.11893519752030181
14	505.10105	692779.419060741	34.0	0.1524858557736255
15	509.27532	909641.286949613	31.0	0.20021875112224186
16	512.73622	114077.065891376	67.0	0.02510920292663252
17	514.93307	1247733.44719888	27.0	0.27463532726109374
18	519.7664	159504.668134422	60.0	0.035108152972184316
19	522.89168	1788640.76440049	23.0	0.3936930141501319
20	529.95916	233423.33809228	54.0	0.051378196994932485
21	534.64166	2725604.29756355	19.0	0.5999255930231514
22	539.61762	295677.797578421	49.0	0.06508086233008212
23	541.15779	356124.048441416	47.0	0.07838552762116073
24	543.03716	1280853.74253065	26.0	0.2819253483532148
25	545.36417	535645.832920842	39.0	0.11789959542281046
26	545.63748	362521.574354002	46.0	0.07979367022293898
27	548.29545	671685.496066236	35.0	0.1478429278647668
28	550.70515	88094.9114047618	69.0	0.019390339241124366
29	552.06365	879734.574185276	32.0	0.1936360632366393
30	552.15244	96502.1148710769	68.0	0.02124082668337855
31	553.17161	4319081.50990919	13.0	0.9506616710517513
32	555.22268	115361.327948831	66.0	0.02539187847021915
33	557.02549	3454798.32824694	15.0	0.7604265731829374
34	557.14445	129357.125676934	63.0	0.028472456696255092
35	561.28917	158317.845257095	61.0	0.03484692451025009
36	563.7589	4734404.11255083	12.0	1.0420772367332531
37	563.92284	177350.101855965	59.0	0.03903606445138259
38	569.72475	220997.084167597	57.0	0.04864308692723643
39	571.87464	621285.656573519	36.0	0.13674955175622147
40	573.24676	2239646.83049018	21.0	0.492962773116157
41	573.48185	246684.103826968	52.0	0.054296989262186866
42	585.3491	7677185.77579117	10.0	1.6898051684932942
43	587.29	3336979.32295297	17.0	0.734493741816489
44	587.64619	373373.338175133	45.0	0.08218222341518291
45	600.95745	493726.003382428	40.0	0.10867273200109395
46	609.52762	7824308.80786525	9.0	1.7221880321185479
47	610.10952	585201.625532586	37.0	0.12880719059240592
48	621.98126	1225860.01486191	28.0	0.26982082360113885
49	632.9403	836693.007038012	33.0	0.18416229710024504
50	648.421	9126032.07891622	8.0	2.008706917503113
51	649.4876	998898.974316551	29.0	0.21986502592205506
52	650.7242	15469775.7842663	6.0	3.4050116591052078
53	691.204	78279.0076772955	70.0	0.01722978648956668
54	694.8987	1567469.20369001	24.0	0.3450115236499515
55	717.98664	454323724.351991	1.0	100.0
56	723.811	125926.842515963	64.0	0.02771742609206121
57	728.5892	17764757.9421898	5.0	3.9101541455991433
58	730.9713	1935545.52913967	22.0	0.4260278355263901
59	744.1976	2938619.73365834	18.0	0.6468118603864984
60	778.947	130712.679686491	62.0	0.02877082412390604
61	782.965	225629.942623571	56.0	0.049662813216587026
62	816.94184	165769414.972313	2.0	36.48706992106839
63	832.6449	37845442.9507889	3.0	8.330060906409509
64	851.047	3420004.70346037	16.0	0.7527682399457295
65	896.359	69928.0861008867	71.0	0.015391687106066544
66	914.113	466743.365339495	41.0	0.10273365451148701
67	918.162	261313.281102191	51.0	0.05751697899441773
68	951.973	123237.046064829	65.0	0.027125382069933486
69	959.329	61284.504631239	72.0	0.013489171123222773
70	960.45	37825525.0262109	4.0	8.325676824418982
71	968.724	4095548.11777281	14.0	0.9014603240485305
