	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	219.535	3871607.74779505	22.0	0.17067534962241135
1	219.962	5653038.85132255	21.0	0.2492076794009004
2	221.436	17827304.8129031	15.0	0.7858961134428957
3	221.449	1987626.91944464	23.0	0.08762223383511229
4	223.592	7837863.13681389	18.0	0.3455231310377921
5	225.4995	7105760.73865035	20.0	0.31324924357149847
6	225.9211	19095879.9712893	14.0	0.841819782053999
7	229.4181	33950884.8287371	12.0	1.4966854897516522
8	229.7821	12308490.7150751	17.0	0.5426055770541487
9	233.8232	69850255.1689429	9.0	3.07926770963913
10	233.8524	7550262.68033653	19.0	0.3328445975554697
11	237.1262	15644320.7230897	16.0	0.6896617847040778
12	241.8664	27536332.6189025	13.0	1.2139073747144966
13	245.0067	178808780.165403	7.0	7.882578261619541
14	250.017	315449813.292913	5.0	13.906240166699448
15	250.0705	34911605.3214106	11.0	1.539037741492508
16	265.9861	53861113.7283218	10.0	2.374404902425672
17	271.9648	101036474.83746	8.0	4.454076133441066
18	287.4235	1353334189.66602	2.0	59.66017247195519
19	294.3636	2268404755.78945	1.0	100.0
20	294.4173	294726468.320946	6.0	12.9926754724324
21	403.29843	690109514.716914	4.0	30.422679768926077
22	417.20391	1299829945.31822	3.0	57.30149974341123
