	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	368.41341	17218866.3648068	6.0	44.004817484123876
1	371.3575	17270078.378606	5.0	44.135695747099085
2	371.74835	15816559.44168	8.0	40.42105889621578
3	378.30597	21485081.0625115	3.0	54.907625784227
4	405.36402	23772725.3963574	2.0	60.75396718944461
5	405.82196	16714148.6790973	7.0	42.71495268291661
6	407.8704	20538639.5178953	4.0	52.48888423946703
7	417.55394	15633975.9819318	9.0	39.95444560985792
8	419.07814	12297441.6797938	11.0	31.42754378691385
9	422.5848	39129502.9709396	1.0	100.0
10	431.3845	11056180.8932588	12.0	28.255357348826845
11	432.7102	5918847.0226304	16.0	15.126302593278949
12	440.1851	15630068.2302692	10.0	39.94445889557355
13	442.2407	9688962.23325817	13.0	24.761270902045172
14	443.0629	8320157.59804548	14.0	21.263131310981976
15	451.9654	7592308.61851437	15.0	19.40302851317321
