	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	194.473	44294568.9719879	22.0	1.9379270403587123
1	195.511502	54692229.1080155	20.0	2.392833978200474
2	198.826688	48018129.3157525	21.0	2.1008361383375687
3	199.888698	181030451.265725	15.0	7.920244282274226
4	204.17121	288972308.798909	11.0	12.642797167536381
5	206.52147	220755951.112557	12.0	9.658270458657777
6	206.86562	523764569.320965	8.0	22.915168726685998
7	208.60206	181987930.870689	14.0	7.962134872026328
8	209.42582	566759279.501753	7.0	24.796225781432994
9	210.58238	72890522.5416069	18.0	3.189025605116229
10	225.60007	9329394.20089933	26.0	0.40816934698071566
11	241.73674	376908561.249344	10.0	16.490086923517048
12	249.796251	84590926.7722262	16.0	3.7009287631757215
13	253.323048	64164092.1750666	19.0	2.807236465598457
14	258.918784	32016509.7595394	24.0	1.4007509597882752
15	259.253402	829763380.105475	4.0	36.302890596424234
16	265.117199	2285667522.53939	1.0	100.0
17	265.156832	694563653.008714	6.0	30.38778151938081
18	269.134104	491085849.699949	9.0	21.485445492717584
19	270.962371	769872599.608163	5.0	33.68261534174621
20	275.458782	865232710.501501	3.0	37.854705549660274
21	303.906713	1497575200.36342	2.0	65.52025548753501
22	312.481663	30058099.2335856	25.0	1.3150687463149004
23	326.948887	192184422.649819	13.0	8.408240514189087
24	422.656259	80761981.0149896	17.0	3.533408959027539
25	468.582849	43927946.9777238	23.0	1.921886999948251
