	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	316.255825	26325023.9881579	7.0	53.36390485756147
1	318.963093	4463015.31637832	34.0	9.047054423509298
2	333.272468	38323299.4873253	3.0	77.68581364216136
3	336.005287	4373606.03857585	35.0	8.865811352422998
4	340.021374	5682481.22652373	29.0	11.519054556740437
5	341.733878	8359653.72889161	22.0	16.9459965708448
6	344.897073	563455.063396533	80.0	1.1421893635549878
7	347.24012	26310549.2795551	8.0	53.33456292901972
8	349.749366	42559714.4533372	2.0	86.273522632858
9	352.302351	33942255.3530303	5.0	68.80492439911775
10	353.662873	16768229.9681787	13.0	33.99116479643575
11	356.43062	3526262.32607967	41.0	7.148146469168195
12	361.503562	2470271.75972531	49.0	5.007529991904359
13	361.689056	21997928.3849029	12.0	44.59237560138508
14	363.086632	6372728.94333826	27.0	12.91826746932161
15	364.909998	8448629.66286032	21.0	17.126361203258995
16	368.223847	49331142.5736637	1.0	99.99999999999999
17	369.651607	4501029.43516451	33.0	9.124113491681955
18	371.7797	23840074.0334217	10.0	48.32662044634892
19	373.378146	14459429.1798053	14.0	29.31095536296117
20	377.765021	24540015.4220883	9.0	49.74548356637784
21	378.545654	31815027.8405359	6.0	64.49278524823976
22	380.03629	8300427.22247502	23.0	16.825937510124383
23	381.177553	7177483.14835603	26.0	14.54959843599458
24	382.072307	36656825.7955238	4.0	74.30767641512868
25	384.917811	23749785.3613134	11.0	48.143594740075294
26	385.830632	12808542.6011155	15.0	25.964415038612074
27	388.935622	3629731.09966831	40.0	7.357889783818035
28	389.993003	9221171.55097354	19.0	18.692394033249954
29	393.137246	8113069.59659069	24.0	16.446141673033125
30	395.181289	9445173.55053556	18.0	19.146472304856026
31	397.347912	2795044.06818704	47.0	5.6658814743918455
32	399.275684	388410.328014226	93.0	0.7873531966834794
33	403.225898	3167511.0054988	44.0	6.4209155520144625
34	405.087807	972439.164612093	69.0	1.9712480065913713
35	410.422933	1311101.60385417	66.0	2.6577564099521283
36	414.575269	1685611.85256174	60.0	3.4169325189350745
37	416.27027	1712024.04282919	59.0	3.4704731200432084
38	417.433998	12075044.8394032	16.0	24.4775292227869
39	420.706188	122471.868254262	114.0	0.24826481176952458
40	422.807681	1669019.88756319	61.0	3.383298663863151
41	429.477692	4824688.06349238	30.0	9.78020741418652
42	429.644798	865128.18084986	72.0	1.7537160822050857
43	431.81309	1793970.67322473	55.0	3.636588531364106
44	433.027751	2062259.56461505	53.0	4.18044151630095
45	435.630591	5883285.38291761	28.0	11.926108085034516
46	435.700253	477152.275921459	86.0	0.9672435119639723
47	437.91766	232865.671667859	101.0	0.47204597242022617
48	441.790242	2936370.09933418	45.0	5.952365881145864
49	441.824712	1385549.80382689	65.0	2.8086716251461614
50	443.80364	3801812.10235226	38.0	7.706718117617501
51	445.298353	370948.727107407	95.0	0.7519564878382617
52	445.734411	2266500.64339142	52.0	4.5944620885416745
53	446.117576	3329607.89166378	43.0	6.749504913031044
54	449.964922	694817.006984321	75.0	1.4084753985715737
55	454.093108	4664750.469921	31.0	9.455995191993303
56	454.170123	444222.674073747	89.0	0.9004913547469772
57	456.593715	4649804.48297828	32.0	9.425697927095367
58	459.879791	2897194.74522417	46.0	5.872952853054104
59	459.891547	4149079.77606576	36.0	8.410670338458408
60	460.809017	1715919.53971049	58.0	3.4783697481731632
61	464.747244	91607.1957054221	120.0	0.1856985079326507
62	465.518924	7363482.95509932	25.0	14.926641814759924
63	475.760879	748162.866755771	74.0	1.516613700237284
64	476.93771	147247.408370086	109.0	0.2984877314572816
65	477.37157	1747770.75593399	57.0	3.5429358915093694
66	480.049829	9945335.84459702	17.0	20.160359816815824
67	483.723489	1890248.01640811	54.0	3.8317539748557383
68	485.841072	876299.30884852	71.0	1.7763612661920138
69	488.99339	170815.158588265	106.0	0.346262319655774
70	489.634089	197308.567904439	104.0	0.39996756128202
71	494.47996	27702.6918011203	133.0	0.05615659876467138
72	494.894148	1618575.18395324	63.0	3.281041345304953
73	497.525232	1787743.78122169	56.0	3.6239658924423708
74	499.970347	92479.4050130952	119.0	0.18746657828774266
75	502.58928	110671.768610416	116.0	0.2243446286393133
76	504.743848	2408819.89881669	51.0	4.882959877160196
77	510.062979	407588.608352073	91.0	0.826229815665513
78	513.61846	163063.129838792	107.0	0.3305480500381642
79	518.429069	131072.616554997	112.0	0.26569953525660367
80	524.0424	26346.5676624251	134.0	0.053407576406897736
81	524.398077	2636479.21662666	48.0	5.344451960928614
82	524.46692	202441.413192296	103.0	0.41037243945850327
83	537.385366	1484774.80961521	64.0	3.0098123257495426
84	538.93307	956605.316385465	70.0	1.93915094295052
85	550.32909	51574.3345701638	127.0	0.1045472127331137
86	553.82732	450456.773696724	88.0	0.9131286043579462
87	555.06011	2461057.05503288	50.0	4.988850706950297
88	555.211884	3785384.99562331	39.0	7.673418449554025
89	571.91718	3971297.23761461	37.0	8.050284324317996
90	583.88925	142235.61745579	110.0	0.28832824466491275
91	588.63148	99521.852599872	118.0	0.20174244383507042
92	600.41778	49912.6789307877	128.0	0.1011788422622801
93	602.17629	88282.7645290356	121.0	0.17895949682739948
94	609.86696	478211.188372099	85.0	0.9693900514426774
95	620.94207	56325.0714073309	125.0	0.11417751235585823
96	627.27826	39036.7577745297	130.0	0.07913207709762264
97	633.80994	261032.69728484	100.0	0.5291438301779714
98	638.01884	277744.215987513	98.0	0.5630200346014116
99	638.36894	28977.1202993802	132.0	0.05874001449715083
100	638.62194	572710.068991402	79.0	1.1609503431553467
101	655.29196	63904.6685926855	124.0	0.12954224301060915
102	659.18007	16422.6424204214	135.0	0.03329061838755975
103	665.94124	123454.999671662	113.0	0.2502577342240004
104	681.89395	3509593.0890226	42.0	7.114355974589282
105	685.87518	775094.982609789	73.0	1.5712082513644985
106	697.96038	339988.72502768	96.0	0.6891969398843582
107	703.51612	151862.694548604	108.0	0.30784345674101327
108	705.2658	87590.4997689451	122.0	0.17755619513201146
109	710.05441	274989.912112315	99.0	0.5574367382666771
110	711.5689	73228.9802946885	123.0	0.1484437142021176
