	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	404.0811	35105511.3471518	7.0	18.134435040661415
1	405.3873	175414038.038551	2.0	90.61353491118707
2	410.3796	193584808.506234	1.0	100.0
3	410.8619	99455231.2761544	4.0	51.37553511744268
4	412.7161	120431286.671773	3.0	62.21112472670848
5	416.3026	89665768.2953346	5.0	46.31859751146077
6	417.3197	25914672.3656324	8.0	13.386728310758885
7	422.713	49593450.4309549	6.0	25.618461910123415
8	425.438	15417537.0612784	9.0	7.964228794731023
9	435.073	9679597.10400488	10.0	5.000184249319941
10	493.901	3497296.98701343	11.0	1.8065968161446961
11	598.285	2057193.41293413	12.0	1.062683290495846
