	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	245.5609	52916212.4919341	21.0	12.608354510104679
1	247.5123	126642831.306881	13.0	30.175207901055447
2	248.1183	65197836.9723226	19.0	15.534699161705017
3	250.2984	295979143.848789	3.0	70.5229984820178
4	261.9884	37125252.1944721	27.0	8.845839845705049
5	263.9708	373041235.012281	2.0	88.88459540899771
6	266.198	144306023.362801	11.0	34.38381952939242
7	266.4786	202912157.571599	7.0	48.34791260736794
8	269.4234	419691661.188029	1.0	100.00000000000001
9	279.7703	93623008.1926649	14.0	22.307569306391393
10	282.318	40362712.0821757	25.0	9.617229936835109
11	282.4445	177774080.294195	9.0	42.35825886818113
12	283.6397	66767800.9277801	18.0	15.908774727327021
13	284.9725	235355599.207447	5.0	56.07821669394657
14	285.3311	1398125.74005982	69.0	0.33313164624289165
15	288.2633	33496136.9561761	32.0	7.981129970835723
16	289.715	34361452.9869878	30.0	8.187308961469522
17	290.7235	20316518.7993374	44.0	4.840820220689411
18	291.6368	17080780.9945395	47.0	4.069840450531854
19	292.479	231437244.633132	6.0	55.144589715697066
20	293.4627	128805274.637949	12.0	30.690453623342794
21	293.6689	47138120.5676133	22.0	11.231607612640802
22	294.3149	186034370.309398	8.0	44.32643950627636
23	295.1217	21487911.5083017	39.0	5.1199281509371595
24	298.5803	29876015.2119842	33.0	7.118562977261356
25	300.3641	36832928.5670922	28.0	8.776187847723385
26	304.9434	16168424.6940796	48.0	3.852453167239811
27	305.7275	11995240.7484749	58.0	2.8581079534722584
28	306.8886	81688788.9327979	15.0	19.464000952880482
29	306.9087	34780430.3343959	29.0	8.287138761809631
30	310.0277	45947434.7546315	23.0	10.947902711377978
31	310.0439	69573231.1625783	17.0	16.577225043174806
32	312.0757	34204602.3602219	31.0	8.149936137258075
33	313.3314	294861012.124256	4.0	70.25658105514593
34	316.8878	45055418.5154375	24.0	10.73536185777394
35	319.892	13347549.1490353	55.0	3.180322694821275
36	321.2116	25636374.0930161	34.0	6.108383002046488
37	322.0776	168645445.917494	10.0	40.183177678609624
38	324.1513	21294914.0306188	40.0	5.073942610710657
39	326.6442	24716881.9809726	35.0	5.889295467774142
40	328.7586	13350166.2949374	54.0	3.1809462825987147
41	343.701	23871182.5075663	36.0	5.687790517446475
42	351.3647	71469717.7305319	16.0	17.02910120449409
43	355.8993	15416871.5049948	50.0	3.673380467306397
44	357.3703	58130246.8613933	20.0	13.850703322730531
45	359.4387	14655973.1642207	51.0	3.492081096568315
46	361.7205	12279263.8760449	57.0	2.9257821900215406
47	362.8661	22035462.6307438	38.0	5.250393245452532
48	363.619	8101716.3742716	59.0	1.930397271019853
49	366.1702	20981753.0807848	41.0	4.999325700537238
50	367.4979	6094999.54199849	64.0	1.4522565267904683
51	373.4767	20597361.0199956	43.0	4.90773654203428
52	374.7207	14023337.7170927	53.0	3.341342946246913
53	379.3789	5576121.02081403	65.0	1.328623257614793
54	380.0118	38471431.2397756	26.0	9.16659414458553
55	386.5632	7330519.98440821	61.0	1.7466441824594683
56	390.25	7887880.40944248	60.0	1.8794465410902161
57	391.5378	18044371.1774609	45.0	4.299435239285518
58	393.4837	15553562.9588635	49.0	3.7059499621307084
59	397.6307	22729981.4892434	37.0	5.415876366211617
60	399.2116	14105910.5836393	52.0	3.361017596515841
61	403.3756	17697664.1597082	46.0	4.2168253020827455
62	406.9909	20705359.4304667	42.0	4.933469340766899
63	411.5768	6343943.55791499	63.0	1.511572457731724
64	425.91	1095938.70174971	70.0	0.2611294917433946
65	430.16	4147517.30721433	67.0	0.9882296196864802
66	431.149	6893541.98372358	62.0	1.6425253635513992
67	491.335	13094269.2980667	56.0	3.1199736637607973
68	493.917	2499153.68740441	68.0	0.5954737533574075
69	536.432	4492984.67189736	66.0	1.070544184551817
