	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	321.7154	164457.115200086	39.0	0.03377314024832046
1	344.6372	653268.703109514	24.0	0.13415616285809992
2	344.7375	287259.230425119	35.0	0.05899195218746653
3	404.41422	6602528.32893023	4.0	1.3559043339363708
4	404.72132	3076426.48391716	8.0	0.6317791904507839
5	474.434024	150708.889879519	41.0	0.03094978571390518
6	475.393077	122548.294649244	46.0	0.025166686995244415
7	475.737719	276054.834646599	36.0	0.056691002000147137
8	478.649091	80328.6099668753	50.0	0.0164963942548987
9	479.104132	203077.514377155	38.0	0.041704278747657274
10	479.975316	160991.047215217	40.0	0.03306134374124459
11	480.43395	373876.751672629	31.0	0.07677984594624324
12	484.98645	148966.987954622	42.0	0.030592066329512523
13	485.609209	335066.984775857	33.0	0.06880981863052257
14	486.348075	293606.43965726	34.0	0.0602954238391596
15	486.975897	622912.594848335	25.0	0.12792219055200257
16	494.200871	220439.492335428	37.0	0.045269758513367626
17	495.081801	442062.921468008	29.0	0.09078265192209514
18	495.614802	434881.814617235	30.0	0.08930792990405255
19	496.500784	91109.4953429666	49.0	0.01871037176122193
20	496.503213	825890.679982965	21.0	0.16960605037313
21	508.423399	348101.765476617	32.0	0.07148665919274008
22	509.717137	581431.42482962	27.0	0.11940356020267395
23	509.920005	687003.921243846	23.0	0.14108407383338548
24	511.22138	119877.330404906	47.0	0.024618174090147386
25	511.225448	1082499.43344243	20.0	0.22230357829090458
26	532.32786	602745.666270255	26.0	0.1237806822541299
27	533.96873	1189986.91344738	18.0	0.244377355595882
28	534.29693	706344.611398439	22.0	0.1450559046677989
29	535.94998	147765.410802072	43.0	0.030345308786411545
30	535.95761	1329913.55481483	15.0	0.27311288386797744
31	578.23999	1195977.499716	17.0	0.24560759066338644
32	580.17662	2359849.61473887	12.0	0.4846219751973321
33	581.21521	580190.917793048	28.0	0.11914880796483854
34	583.17185	123938.375268376	45.0	0.025452155870515025
35	583.18899	1125187.38375205	19.0	0.2310700347070109
36	691.10815	2993479.76820931	9.0	0.6147451383860221
37	693.8764	5910599.46734138	5.0	1.2138088675537235
38	766.48991	486946472.821	1.0	100.0
39	769.89646	241229397.835054	2.0	49.53920221201175
40	825.016	1874610.20803689	13.0	0.384972540652531
41	825.174	1241134.90392359	16.0	0.25488117754162837
42	850.344	2615265.45965837	11.0	0.5370745257702552
43	850.511	1740338.2140171	14.0	0.35739825856729085
44	876.3951	68159.181550589	51.0	0.013997263632638346
45	890.218	4145602.55512977	7.0	0.8513466646782101
46	890.401	2761339.60962291	10.0	0.5670725148958969
47	892.329	53633.9675308916	54.0	0.011014345626158233
48	934.722	111115.934094047	48.0	0.022818921646628885
49	935.158	60885.3000691232	53.0	0.012503489288340004
50	959.569	7147654.34252133	3.0	1.467852164759141
51	959.781	4746713.54995502	6.0	0.9747916485473542
52	994.965	131615.48096991	44.0	0.027028736897390247
53	995.411	61038.0843061631	52.0	0.012534865270212258
