	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	321.581	7104178.10205071	48.0	20.616590789685908
1	334.223	16424901.7419282	20.0	47.665679704227074
2	338.8607	2724317.93011036	125.0	7.906072615194763
3	340.4519	2236942.53123615	144.0	6.491690963269533
4	346.1184	3269632.28354635	105.0	9.488595282142917
5	351.4055	4551846.4646534	72.0	13.2096288340728
6	357.4425	19586836.4279218	15.0	56.841732526724115
7	361.3074	4985056.46047629	68.0	14.466820458717452
8	363.6661	2717504.79050503	126.0	7.886300629017286
9	364.1519	25842545.3226356	7.0	74.99603391515404
10	364.9522	6115731.47509176	59.0	17.748081676777336
11	367.2014	2772910.63394902	124.0	8.047090460751996
12	369.9551	769411.673024766	234.0	2.2328614772453785
13	370.4532	8203310.48034511	41.0	23.806314096376195
14	371.4292	1170639.99537272	204.0	3.3972410882650057
15	379.5447	1470150.89146015	181.0	4.266432920590299
16	381.9779	270795.701638416	292.0	0.7858592631107504
17	383.3375	810345.776445941	229.0	2.351653777699309
18	385.2425	737067.465475085	238.0	2.1389973761643604
19	387.8879	2453910.7399755	133.0	7.121340827010857
20	389.8595	2395982.01133743	137.0	6.953229488001339
21	390.256	1567158.43601904	175.0	4.547952446276957
22	392.7551	11917324.7948711	31.0	34.58452266740218
23	395.3675	3353603.8483254	102.0	9.732283906520106
24	399.4164	1243692.12463711	197.0	3.609241102020913
25	400.1384	451956.358169322	268.0	1.311594269924614
26	401.5388	15321679.2519933	24.0	44.46408674044698
27	403.7207	10485288.2863099	35.0	30.428699112757013
28	406.0317	27700232.8765148	5.0	80.38711273711722
29	406.4778	19290335.9020563	16.0	55.981276901472945
30	406.5573	5756038.69438937	63.0	16.704239762453035
31	407.917	7699836.21427619	44.0	22.345212929207527
32	408.7052	1139460.98000797	206.0	3.3067584185224175
33	408.961	16131728.3196609	21.0	46.814879458164555
34	410.487	12475876.1776082	29.0	36.20545968889662
35	410.9481	1878633.33235037	158.0	5.451864255169982
36	413.7031	7215096.96487473	47.0	20.93848148173374
37	414.3907	3064181.92407078	112.0	8.892370648123817
38	414.4349	1775231.33046444	162.0	5.151787774950379
39	415.0208	1609079.92730444	171.0	4.669610183274709
40	415.7506	1686466.63694712	164.0	4.894189311548932
41	416.0258	5826536.15841941	61.0	16.908826042067616
42	416.3303	2030225.41057016	151.0	5.891790140855943
43	417.1124	1649222.39828177	167.0	4.7861051367426635
44	417.231	2597683.34676033	131.0	7.538574313878766
45	417.7481	4520601.09034266	73.0	13.118953588184874
46	418.731	24164524.3667958	9.0	70.12635428633388
47	419.0423	385434.459280546	279.0	1.1185452291711355
48	421.6542	832277.262407771	225.0	2.415299770942957
49	421.7365	566270.670133791	258.0	1.6433386824831395
50	423.8593	866978.151720391	222.0	2.5160030507199607
51	426.2337	2708588.91702997	128.0	7.860426430436189
52	427.1149	3906418.61942351	89.0	11.336573066294081
53	428.0256	30461435.0890701	3.0	88.40022492069204
54	429.3445	426201.168559124	273.0	1.2368517455570243
55	430.5996	4499774.16652873	75.0	13.05851307564257
56	431.1725	1387799.43837517	185.0	4.027445920996503
57	435.4793	11904708.3492697	32.0	34.54790926998338
58	435.7913	278005.042175192	290.0	0.8067810392226558
59	436.0456	311884.134004079	286.0	0.9050994319387298
60	438.0547	1094143.58321989	212.0	3.1752456366336896
61	439.3587	868658.214252693	221.0	2.520878655080099
62	439.6782	321679.703005445	285.0	0.933526539867654
63	440.3015	1429375.23729965	183.0	4.14810044582223
64	442.3905	13887884.2000426	27.0	40.30315982705623
65	444.2675	1991049.25395475	153.0	5.778099467839255
66	444.4197	3228444.67680973	106.0	9.36906730557793
67	445.5205	508903.418535548	263.0	1.4768567708615086
68	446.8965	2409434.00994301	136.0	6.992267691516339
69	447.9812	1536164.90161203	176.0	4.4580080492170175
70	448.6053	4313390.80293906	80.0	12.517621577437554
71	449.1749	3033658.0501355	113.0	8.803789223334089
72	449.3102	2047414.96479793	150.0	5.941674870698055
73	449.38	543403.422840334	259.0	1.5769770748258558
74	449.4699	3377817.7688168	101.0	9.802553610209133
75	449.904	4179538.81852573	82.0	12.129178108059943
76	450.0206	12355362.8380749	30.0	35.85572546627918
77	450.1565	1174210.19162951	203.0	3.4076019314488017
78	454.1774	3763368.01273995	91.0	10.921434850747382
79	454.9498	6507850.76492904	56.0	18.88602653446381
80	455.0164	531066.77616608	260.0	1.541175664367605
81	456.4852	1132224.02512945	207.0	3.2857565045570567
82	456.7904	14543771.6519218	26.0	42.206569764875766
83	457.0023	22341394.254637	13.0	64.83556245386526
84	458.1197	2912959.9259879	118.0	8.453518748848733
85	459.6184	789339.381884003	232.0	2.290692434327985
86	460.2038	4473474.69358046	77.0	12.982191020653213
87	460.4237	3005931.81690378	115.0	8.72332665659287
88	464.3129	1126307.65266885	209.0	3.2685869702031325
89	464.8641	5126291.70092662	67.0	14.876690413498965
90	465.0322	1971484.38948353	154.0	5.721321498753377
91	465.105	466924.706726093	266.0	1.3550329777609578
92	465.1874	670248.917201168	250.0	1.945087447790441
93	465.2076	2373732.53068942	140.0	6.888660662274596
94	466.0696	3667343.36625405	94.0	10.642767732062309
95	467.166	706317.168563216	246.0	2.0497588634206636
96	470.2641	2116901.84797127	145.0	6.143328406836447
97	470.8186	2345460.67765498	141.0	6.806614686441172
98	471.4158	720659.759625121	242.0	2.091381599582324
99	472.3722	521963.390203312	261.0	1.5147572975278458
100	475.0419	7704053.67868729	43.0	22.357452168804944
101	475.2404	438825.314498125	270.0	1.2734874896438073
102	475.9711	1196068.86463305	200.0	3.471036618761815
