	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	234.0154	408614.472996743	43.0	0.03309631543213532
1	234.84	510791.733395333	42.0	0.0413723092199768
2	235.8929	659464.651053655	39.0	0.05341428546949385
3	237.3542	621240.571380585	40.0	0.050318271300722396
4	239.4387	1342707.97479767	35.0	0.10875455864604557
5	242.5426	2032660.2651056	33.0	0.16463823419401735
6	247.5061	3309688.43896284	27.0	0.2680729631397046
7	256.2312	5862478.84641535	22.0	0.47483988438346336
8	274.1203	10570703.5553784	18.0	0.8561892990295193
9	323.2657	14318686.5543975	13.0	1.1597625588313214
10	367.169	2924602.10832491	28.0	0.23688234335101668
11	367.174	5846413.56662414	23.0	0.4735386539997818
12	372.089	4337755.81603148	26.0	0.35134275519433633
13	372.094	8674970.44928055	19.0	0.7026416765128393
14	374.658	369303.651501405	45.0	0.0299122790504469
15	374.663	740789.576817933	38.0	0.06000131449920467
16	379.502	6863738.39860065	20.0	0.5559383382035936
17	379.507	13726622.5091958	14.0	1.111807482124634
18	383.559	598725.751081766	41.0	0.04849465113121974
19	383.564	1202059.18633956	36.0	0.09736250825238664
20	391.5292	12005983.6177953	17.0	0.9724418667147156
21	391.5342	21618445.7205559	12.0	1.7510170246116494
22	391.5344	2400197.31838953	30.0	0.19440742508750639
23	398.5481	1082778.34976807	37.0	0.08770118577590529
24	398.5535	2173063.98466462	32.0	0.17601043488062254
25	413.2557	24465917.090836	11.0	1.981652053184208
26	413.2613	44249092.005258	9.0	3.584018686003002
27	413.2615	4898527.38359351	24.0	0.3967632527829126
28	427.3062	2282078.51576886	31.0	0.18484022321790697
29	427.3124	4578534.02794369	25.0	0.3708449318847238
30	460.2821	63878074.468128	7.0	5.173896280006327
31	460.2889	114978554.905775	5.0	9.312853000982546
32	460.2893	12778716.0452445	16.0	1.0350304382255004
33	497.1659	6456584.23761378	21.0	0.5229603028376382
34	497.1743	12911084.1015123	15.0	1.0457517788359998
35	610.353	275798640.188303	4.0	22.33870651835386
36	610.364	496399933.208468	3.0	40.20662471759613
37	610.366	55155686.9737218	8.0	4.467413991899804
38	670.776	1234622246.19721	1.0	100.0
39	670.791	617306329.35663	2.0	49.999611723991706
40	812.622	33524754.9928383	10.0	2.7153856247203314
41	812.645	67038641.9421573	6.0	5.429890976664696
42	921.75	1760641.99958015	34.0	0.14260572454474607
43	937.68	162009.648649359	46.0	0.013122203908796303
44	968.62	2713972.38488082	29.0	0.2198220867346423
45	995.49	383886.714959675	44.0	0.031093455195878236
