	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	202.58242	317795397.576566	5.0	2.981782526310054
1	273.1994	8689092.75371102	45.0	0.08152725036321717
2	273.34925	6491442.95042991	50.0	0.06090733631681076
3	273.34941	19457755.5622128	34.0	0.18256650656068737
4	273.65407	6471783.81060812	51.0	0.06072288027984509
5	273.65414	36300104.5202906	27.0	0.34059340754220097
6	277.669	289568740.758957	8.0	2.716939949240891
7	277.8271	240622460.649933	10.0	2.257691124777339
8	277.982	179705560.634745	16.0	1.686125427453161
9	277.9834	896209742.902328	3.0	8.40887744653745
10	278.1416	239641933.632527	11.0	2.2484911226710413
11	278.2971	282451856.120239	9.0	2.6501642740129925
12	280.9755	3956025.15884112	55.0	0.037118242687682136
13	280.9756	31496999.6613758	29.0	0.29552726042502464
14	281.1048	17666032.467949	36.0	0.16575528570852002
15	281.105	3947815.46153497	56.0	0.03704121346648999
16	281.1051	3803601.6341993	60.0	0.03568809673263863
17	281.1777	3805163.98539012	59.0	0.03570275582309832
18	281.178	11420894.7492419	43.0	0.10715896031789138
19	284.67167	18816997.0286608	35.0	0.17655445410964746
20	284.8344	14154932.4038585	39.0	0.13281164681674282
21	284.83456	42350042.9041858	22.0	0.3973582338924786
22	285.1654	14052507.7432687	40.0	0.13185062577761236
23	285.16562	78627351.8297304	18.0	0.7377377569460785
24	285.21261	10657899923.0315	1.0	100.0
25	291.5453	50467951.9001929	21.0	0.4735262318529817
26	293.6741	2179927.76864085	65.0	0.020453633308472635
27	293.8473	6551832.22325835	49.0	0.061473951440470714
28	294.1994	10848413.1218701	44.0	0.1017875303785402
29	309.1064	57669661.5674092	20.0	0.5410977958498772
30	309.2982	38795630.8381108	24.0	0.3640082109822991
31	309.29863	116262991.069933	17.0	1.0908621014416835
32	309.6884	2570698.64699408	63.0	0.024120123716294743
33	309.6887	38498532.3393484	25.0	0.3612206214861698
34	309.68911	215592543.054803	14.0	2.0228426295213375
35	332.99194	7137308.549162	48.0	0.06696730688696396
36	333.21458	23544306.2120276	32.0	0.2209094322714444
37	333.6674	39187259.4088767	23.0	0.3676827488705711
38	362.7628	557333.816255839	84.0	0.005229302398040463
39	382.93547	293411034.151329	7.0	2.752991079577261
40	383.22993	219807663.199846	12.0	2.0623918857114263
41	383.23039	657685407.166931	4.0	6.170872422489974
42	383.829	14587558.2400828	38.0	0.1368708502184318
43	383.82919	1223228900.97932	2.0	11.477203856417791
44	383.82946	218705415.512227	13.0	2.0520498136749166
45	389.0178	5125138.34427756	53.0	0.04808769439842686
46	389.1906	11523037.8616039	42.0	0.10811733967123163
47	389.3304	3834904.25508426	57.0	0.03598180019308599
48	389.5572	21354987.8928006	33.0	0.2003676901361488
49	389.8059	3821950.80215006	58.0	0.03586026168148665
50	389.946	254476.04773056	99.0	0.002387675335369237
51	393.84	6158438.33427702	52.0	0.057782850080706445
52	398.67533	8434972.00962663	46.0	0.07914290873944906
53	405.75052	12225462.5309978	41.0	0.11470798768319104
54	409.9787	150050.638137756	101.0	0.0014078818455922982
55	416.72713	17454044.6245294	37.0	0.16376626493566124
56	435.19057	25281924.2206065	31.0	0.23721300071482926
57	440.9923	62651.8360776613	102.0	0.000587844101841039
58	470.29908	34441363.68925	28.0	0.32315337860156607
59	516.73213	63188147.451506	19.0	0.5928761567272528
60	517.26844	188250686.863669	15.0	1.76630188145099
61	518.36043	312718578.302788	6.0	2.9341481958092857
62	552.84047	27562478.7154668	30.0	0.25861078556296874
63	571.1088	1592018.65123957	69.0	0.01493745168125712
64	706.0414	736489.211913778	82.0	0.006910265786247816
65	719.3184	1035381.99175044	76.0	0.009714690504017598
66	738.7689	1555547.691626	70.0	0.014595255189669157
67	765.7603	1532895.96088046	71.0	0.014382720535477197
68	765.9152	919852.625849076	77.0	0.00863071179586978
69	769.1553	2440600.22242149	64.0	0.022899447734045654
70	788.1669	354718.385298247	95.0	0.0033282202672189473
71	793.0794	368280.281610003	91.0	0.003455467627484069
72	793.0806	532938.0087394	86.0	0.005000403574701729
73	793.0814	248748.17381789	100.0	0.002333932347031617
74	804.9855	268956.385301287	98.0	0.002523540164982013
75	805.4231	500729.380390153	89.0	0.0046981993076148825
76	809.8707	531506.738161665	87.0	0.004986974375815727
77	809.8719	769536.911854343	80.0	0.007220342819990172
78	809.8727	359606.714068684	94.0	0.00337408604570945
79	821.3041	4169052.70697114	54.0	0.03911701870986707
80	830.5596	530652.165979393	88.0	0.004978956171587469
81	831.0264	739296.520246808	81.0	0.006936605950382434
82	834.6106	807159.237694988	79.0	0.007573342248698861
83	834.6119	1170039.99388508	73.0	0.010978147687018979
84	834.6128	542061.418532434	85.0	0.0050860058965373715
85	871.0174	279574.603438222	97.0	0.0026231678422319123
86	871.2689	625385.081005247	83.0	0.005867807781285343
87	871.7825	1169425.357719	74.0	0.010972380733205198
88	873.6006	1308673.81504269	72.0	0.012278908832824308
89	873.602	1900689.9322233	67.0	0.017833625254032915
90	873.6029	888603.269731986	78.0	0.008337508103371591
91	880.6756	36421561.5228205	26.0	0.3417330035546146
92	925.5778	7959045.08744461	47.0	0.0746774237412877
93	941.4943	2690839.87248149	62.0	0.025247374172341783
94	941.4959	3758628.98402301	61.0	0.03526613133137694
95	941.497	1613194.42044798	68.0	0.015136137814185144
96	942.9814	483985.670590016	90.0	0.004541097909393323
97	943.2745	361071.081347469	93.0	0.0033878257813924665
98	943.2764	1089231.77316839	75.0	0.01021994746652277
99	943.8774	361442.81516638	92.0	0.0033913136525640444
100	943.8783	2029132.144736	66.0	0.019038761476368227
101	999.321	286299.014091224	96.0	0.0026862610472869783
