	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	279.4817	1783939810.80437	1.0	100.0
1	279.8269	1307319990.96049	2.0	73.28274098950826
2	280.1081	898845491.15919	3.0	50.3854157923582
3	300.765	4803896.93418001	120.0	0.2692858192347844
4	301.1163	3681020.43613608	138.0	0.20634218788336392
5	301.1372	10373063.0769781	82.0	0.5814693418552578
6	301.6453	11709205.5444174	75.0	0.6563677470226854
7	304.1219	2276924.28631659	175.0	0.12763459128645915
8	304.3138	3872481.17931317	132.0	0.21707465441712892
9	304.3352	16318594.5585317	59.0	0.9147502880813968
10	304.4578	43821396.2176273	23.0	2.456439166401497
11	304.559	23223116.6029626	45.0	1.3017881243701495
12	304.5804	5892017.89921698	112.0	0.33028120475434075
13	304.658	1635373.69701223	205.0	0.09167202206641983
14	304.7028	25471004.9143397	41.0	1.4277950836724107
15	304.8858	3797492.49004444	135.0	0.21287111073171067
16	305.4366	26033544.4401908	40.0	1.4593286321948498
17	306.2131	4840226.91033465	119.0	0.27132232158394487
18	306.6028	12214690.059385	72.0	0.6847030368069119
19	307.0268	10697293.1623257	79.0	0.5996442871860314
20	307.3141	13726677.683407	68.0	0.7694585658255872
21	307.9642	5923330.38139076	111.0	0.3320364479516805
22	308.1337	1682979.18472885	202.0	0.09434058114158025
23	308.2698	4871554.90177224	118.0	0.27307843416396876
24	309.1141	90942.7755774166	431.0	0.005097861207347065
25	309.3347	468737.809949814	341.0	0.0262754274057297
26	309.7753	672494.344633936	305.0	0.03769714317495451
27	309.8089	460594.641947354	344.0	0.02581895639963739
28	310.3281	729086.943445847	297.0	0.04086948107947124
29	310.6742	1113589.42024722	247.0	0.06242303767777388
30	310.8635	959691.150539984	261.0	0.05379616199647811
31	311.0684	6293983.9600747	109.0	0.3528136948318213
32	311.3133	888609.806738469	271.0	0.04981164730764089
33	311.3356	848343.432891944	272.0	0.04755448741902508
34	311.3791	3170892.60715998	147.0	0.17774661386867305
35	311.413	474706.667326172	340.0	0.026610015901384534
36	311.5471	3278543.83361592	145.0	0.18378107903414298
37	311.5766	1886156.25564126	193.0	0.10572981466178509
38	311.6823	449761.178165673	346.0	0.02521167897267105
39	311.753	1180835.07565126	242.0	0.06619254015744103
40	311.8123	2007037.76829506	187.0	0.11250591281945191
41	312.1071	1057808.13561794	251.0	0.05929617856002548
42	312.2874	2310451.19861997	174.0	0.1295139659212044
43	312.6838	1667948.88923798	203.0	0.09349804736326332
44	313.2287	2393359.83226295	172.0	0.13416146765533504
45	313.2788	2625435.35642148	163.0	0.14717062428455385
46	313.5191	225530.063515086	399.0	0.012642246232141406
47	313.6972	712898.967483187	301.0	0.03996205270859134
48	313.814	310456.768689032	380.0	0.017402872384413494
49	314.2671	1598733.28349916	208.0	0.08961811793293065
50	314.8182	6327673.47940287	107.0	0.3547021845176353
51	314.885	1365134.90508637	229.0	0.07652359663809717
52	314.9917	176952.590368297	411.0	0.009919201830498416
53	315.1456	681162.995353203	303.0	0.03818307048409161
54	315.2243	771382.589278203	286.0	0.043240393235598584
55	315.6075	725183.064963758	298.0	0.040650646427178305
56	315.995	892899.487157755	269.0	0.05005210835869798
57	316.0151	1965187.88965245	190.0	0.11015998845646907
58	316.1041	3437417.73271497	140.0	0.19268686711829447
59	316.782	278524.406823062	388.0	0.01561288139522357
60	316.9356	596391.350162773	319.0	0.033431136328184924
61	317.042	376289.448712306	359.0	0.021093169535951934
62	317.5377	490720.098361227	336.0	0.027507660033662437
63	317.5575	2108617.74105479	182.0	0.11820004959158484
64	317.5717	1708725.2866083	200.0	0.09578379697899359
65	317.706	315129.591517921	378.0	0.01766481075254611
66	317.7615	226495.072968159	397.0	0.01269634051532453
67	317.8502	2635120.79091212	162.0	0.14771354812267778
68	318.996	1505403.27360097	219.0	0.08438643862778032
69	319.2432	832672.994000273	276.0	0.04667606995242876
70	320.111	1558413.84119242	213.0	0.08735798325447644
71	320.2202	428087.697816894	349.0	0.023996756797745957
72	320.3135	360061.641472508	362.0	0.020183508394835247
73	320.6906	896903.493541677	267.0	0.050276555750906615
74	321.2882	18033880.4109348	56.0	1.0109018421873441
75	322.4756	2139789.2094909	180.0	0.11994738816474303
76	322.6029	3258383.9762422	146.0	0.18265100405898843
77	322.7034	736081.075572212	295.0	0.04126154207188844
78	322.8089	87734904.8053472	13.0	4.918041756452981
79	323.023	2840913.82398322	156.0	0.15924942124040975
80	323.0713	31160306.4676043	33.0	1.746712881168018
81	323.8713	1487311.26249973	220.0	0.08337227822888871
82	324.0397	7390474.23099232	99.0	0.4142782276751809
83	324.0613	4308867.35480276	127.0	0.24153658821369722
84	324.088	1082829.79397254	250.0	0.06069878520645251
85	324.3775	35050949.6374778	27.0	1.9648056187318053
86	324.9894	803624.724320202	278.0	0.04504774877790588
87	325.1133	5029264.12464491	117.0	0.2819189355036165
88	325.2946	7884240.76693912	96.0	0.4419566579089994
89	325.4034	1589164.0012272	209.0	0.08908170508906652
90	325.5504	743085.505469329	292.0	0.041654180313083274
91	325.6132	32941444.1619625	30.0	1.846555806561061
92	325.841	21163007.8438242	48.0	1.186307279856146
93	326.0231	16607317.0912925	58.0	0.9309348325941749
94	326.3035	195466.186910708	407.0	0.010956994497621152
95	326.4706	16046290.832343	62.0	0.8994861113115585
96	326.778	6964903.35699865	102.0	0.3904225532058847
97	326.872	3904330.1171421	131.0	0.21885996901328503
98	327.0344	4383422.62028601	126.0	0.24571583602417316
99	327.3011	3758215.34626689	136.0	0.2106694028299267
100	327.806	1218120.86132903	239.0	0.06828262108124518
101	327.8548	844309.684331421	273.0	0.04732837280820175
102	329.6877	1383982.1411137	227.0	0.0775800917010574
103	329.8233	3860677.20518878	133.0	0.21641297435074444
104	330.0959	201074.699286933	405.0	0.011271383601012265
105	330.3296	2615729.70049384	164.0	0.14662656691956552
106	330.6995	1292650.41934608	235.0	0.07246042784163385
107	331.1895	1381218.19024353	228.0	0.07742515649228912
108	333.0694	3510638.25760777	139.0	0.19679129510680296
109	333.4565	169515.465367044	413.0	0.009502308561106121
110	334.3724	406403.26805669	356.0	0.022781220845867256
111	335.1667	374046.144141228	360.0	0.020967419521433987
112	335.5481	336083.323651023	368.0	0.018839386935340863
113	336.0668	323920.351687181	372.0	0.018157582992731514
114	336.4193	156105.20404995	414.0	0.008750586937098674
115	336.5129	756858.119959558	289.0	0.04242621389890359
116	337.6515	255725.07110366	393.0	0.014334848606150832
117	341.0797	287381.950083061	386.0	0.016109397208501214
118	341.8274	369690.745954001	361.0	0.0207232746147029
119	342.0787	2702930.37026347	160.0	0.1515146617555853
120	342.8778	272380.381447131	389.0	0.015268473734229631
121	342.9153	659733.244601145	307.0	0.0369818107430247
122	342.9744	226480.991730639	398.0	0.01269555118165785
123	344.0029	450513.098845804	345.0	0.025253828414909904
124	344.6811	511947.870828372	331.0	0.028697597740000948
125	345.0598	1398046.90100057	225.0	0.07836850170243118
126	345.1498	898401.657699437	266.0	0.050360536395807655
127	345.883	246207.383681123	396.0	0.013801327947836383
128	346.3657	2723192.45295271	159.0	0.15265046704265406
129	346.9994	2038664.48515544	184.0	0.11427877066302007
130	349.4861	207626.155618353	403.0	0.011638630090593436
131	351.1826	3713383.85023812	137.0	0.2081563418086271
132	353.527	1930281.6368211	191.0	0.10820329391891004
133	353.7974	546065.311706344	325.0	0.03061007486906892
134	355.9797	1427093.31340153	223.0	0.07999671876586803
135	357.7868	112815786.506784	8.0	6.323968209214184
136	358.3675	942287.618580565	263.0	0.05282059477980325
137	359.1799	291575.446473347	384.0	0.01634446659620635
138	359.5107	10401944.2758648	80.0	0.5830882977590266
139	360.1264	2608625.84912504	165.0	0.1462283555378936
140	360.7526	27376929.4637326	38.0	1.5346330239352903
141	360.8481	31489991.9405091	32.0	1.765193632082823
142	361.0292	24169117.7353681	43.0	1.3548168827775844
143	361.5307	1393010.2768794	226.0	0.0780861701971491
144	362.378	8448983.23273243	93.0	0.47361369377831325
145	362.6288	352902.112648448	364.0	0.019782175974273824
