	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	381.8268	15608.8962323466	103.0	0.4627818122821614
1	382.2034	32335.670318346	67.0	0.9587071301218429
2	383.0434	81186.6177796293	41.0	2.4070689912881535
3	383.4224	16464.8960832371	100.0	0.48816100350821584
4	388.7572	37932.8741723987	60.0	1.124656349383312
5	389.2205	67538.8961451467	47.0	2.0024332465492187
6	390.0184	7489.67718057901	141.0	0.22205839076909673
7	401.1135	5579.21275258656	161.0	0.16541580841565948
8	402.4563	11024.488235755	125.0	0.32686056523671664
9	409.505	652.915618310129	246.0	0.019358029460322956
10	409.9943	70643.5931517525	45.0	2.094483144627632
11	410.79	9945.01784450628	127.0	0.29485578690192504
12	410.9949	118116.164255617	37.0	3.501978086109305
13	411.3974	13392.6908595131	110.0	0.39707444107778755
14	413.764	8246.60548769672	137.0	0.24450025011144305
15	414.343	17911.3051455147	97.0	0.5310449971729965
16	415.1481	29647.5143169109	69.0	0.8790070867924961
17	424.987	7533.71151288521	140.0	0.22336394676767324
18	425.016	1303.29835877517	227.0	0.03864096265618295
19	426.4	13106.6567468187	113.0	0.38859393207338283
20	427.328	6435.61866693681	149.0	0.19080703885198272
21	427.813	29516.5791380762	70.0	0.8751250429598871
22	427.917	3191.74165333109	188.0	0.09463064938596005
23	429.216	3270.85911377419	187.0	0.09697637077343035
24	429.321	45913.0613410569	55.0	1.3612576711737179
25	435.629	61578.5270559983	49.0	1.8257166890241265
26	438.554	2414.31828951657	198.0	0.07158114044816569
27	439.241	4799.26818180982	173.0	0.14229154923865878
28	443.511	8333.96486927654	135.0	0.24709033286460905
29	443.543	4187.02674261654	176.0	0.12413945196243076
30	444.214	3923.84632157744	180.0	0.11633652276150118
31	444.245	21208.1665164742	86.0	0.6287922982879783
32	465.1823	6146.4361004339	152.0	0.18223318262188692
33	466.0457	8631.5720370384	134.0	0.25591396666900196
34	466.291	9177.61476283324	131.0	0.27210336523154444
35	466.9893	19107.7771590589	90.0	0.5665187089928891
36	467.068	18215.4799360972	96.0	0.5400633517536748
37	467.8595	3441.80289800969	184.0	0.10204461346588511
38	491.494	11293.9871579536	122.0	0.3348508291071817
39	493.5117	24500.1862164119	76.0	0.7263960506691747
40	519.9837	11271.3480772833	124.0	0.33417961221746395
41	520.1606	22553.3015360504	85.0	0.6686736590746333
42	528.1204	8920.61381260274	132.0	0.26448364864585555
43	531.039	1180.71795788878	233.0	0.03500662623494907
44	532.8617	10071.8470663846	126.0	0.2986160948876718
45	533.337	781.568350248398	243.0	0.023172401953751493
46	534.4049	2256.35590615125	200.0	0.06689777802727129
47	535.6623	5203.26921608936	166.0	0.15426961149397084
48	536.701	2639.08478276895	194.0	0.07824515073686789
49	537.2606	2054.86391937484	203.0	0.0609238241094098
50	537.8273	2047.82562105961	204.0	0.06071514846692877
51	547.18	1815.22544447721	213.0	0.053818880489127564
52	549.652	1199.53483072214	232.0	0.035564520039974144
53	551.019	597.243489549101	248.0	0.01770742917071099
54	551.1696	1448.74820628642	221.0	0.04295334599357291
55	551.309	1443.58761154252	223.0	0.04280034162013831
56	551.8102	2018.77342804944	206.0	0.059853791819291145
57	551.8576	2299.40440265509	199.0	0.06817410538133394
58	551.997	1436.17759795239	224.0	0.04258064514274297
59	552.938	1625.06538627373	215.0	0.04818090230994546
60	552.9517	4902.20789991707	170.0	0.14534356704903834
