	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	268.03407	739380.999710309	36.0	0.052817513154230375
1	268.04334	363708.526219071	49.0	0.025981435654159515
2	285.2811	2686335.05869256	19.0	0.1918977325015866
3	285.30121	1326003.9449286	29.0	0.09472278951077734
4	330.23686	21429839.4930856	8.0	1.5308356987298346
5	330.29785	10642402.2697081	10.0	0.7602375799393721
6	341.607	8.04993579845617e-07	92.0	5.750453285819548e-14
7	342.736	2.27356945229009e-06	83.0	1.624119155082934e-13
8	348.89	3.57087181480461e-06	77.0	2.550844140225522e-13
9	350.237	5.03705523325067e-06	76.0	3.598208922666922e-13
10	351.093	3.31168703826303e-06	80.0	2.36569608597846e-13
11	384.802	2.02503151918489e-06	84.0	1.4465766491725523e-13
12	386.543	5.89760105780962e-06	73.0	4.212937870614848e-13
13	387.296	9.19079073640489e-07	91.0	6.565420409883921e-14
14	388.181	2.09114275346004e-05	71.0	1.4938030586601948e-12
15	388.571	2.92516484761232e-06	82.0	2.0895848402594797e-13
16	390.033	5.49415682023224e-06	74.0	3.9247383992517666e-13
17	391.803	6.62097004419618e-06	72.0	4.729674856942651e-13
18	392.577	3.40018791376801e-06	79.0	2.4289164846359393e-13
19	393.059	1.16603725769505e-06	89.0	8.32956056765876e-14
20	394.283	1.06774802770647e-06	90.0	7.627433693979967e-14
21	398.023	3.72629897307262e-07	98.0	2.6618731763998584e-14
22	399.777	4.01171963544436e-07	96.0	2.865762775878544e-14
23	400.892	3.78302386084278e-07	97.0	2.702394470660145e-14
24	413.59143	146917.712297798	63.0	0.010495033284488912
25	414.1877	163387.497553373	61.0	0.011671548639528477
26	414.89459	207856.150469341	59.0	0.01484815672285802
27	415.7414	252300.268157571	57.0	0.018023012137787505
28	416.76796	307686.682387845	51.0	0.02197952801163241
29	417.667	3.29370341266593e-06	81.0	2.3528495240312665e-13
30	418.02944	383809.289973781	48.0	0.027417329130513975
31	418.546	3.47271077627988e-06	78.0	2.4807230261376e-13
32	419.60409	488921.766138792	45.0	0.03492601490238855
33	420.486	1.1919190034623e-06	88.0	8.514446228509089e-14
34	421.6061	634466.106228128	40.0	0.045322941656259934
35	424.20763	845871.620902857	34.0	0.06042464640196503
36	425.25165	157004.019341518	62.0	0.011215546328735403
37	425.376	3.48668749438241e-07	99.0	2.4907072628507775e-14
38	427.36265	675037.317599429	38.0	0.048221136891363814
39	427.38	7.50523602432826e-07	93.0	5.361348243948317e-14
40	427.67709	1213656.72432549	31.0	0.086697291419305
41	428.655	6.60428700366045e-07	94.0	4.7177573649690445e-14
42	429.10012	214402.657497244	58.0	0.015315804959959059
43	432.4615	2008306.40132652	23.0	0.14346290993594435
44	434.1489	289857.931890108	52.0	0.020705935284328535
45	434.4733	577506.007984875	43.0	0.04125401002370784
46	439.0022	1784146.96877209	25.0	0.12745013197407196
47	439.334	3536581.35227499	18.0	0.2526348826491027
48	441.9883	259081.46760148	55.0	0.018507425574122025
49	442.3246	515014.909374554	44.0	0.03678997264086175
50	443.234	1.99579361742526e-06	85.0	1.4256906207055456e-13
51	449.418	2328181.22114365	21.0	0.16631309476625217
52	449.7657	4603587.37602325	15.0	0.3288562147053057
53	454.1633	362428.894387456	50.0	0.025890025445991637
54	454.5184	722365.225888079	37.0	0.05160199523040335
55	466.48107	4195694.56206278	16.0	0.29971848452923394
56	466.85567	834434.517322902	35.0	0.05960763951509986
57	466.85595	7528058.10024498	12.0	0.5377651141850893
58	474.79412	642590.472203687	39.0	0.04590330388757505
59	475.18219	1275833.25846826	30.0	0.0911388579611243
60	497.85414	9139332.61310883	11.0	0.6528661416818824
61	498.28084	1819603.31041241	24.0	0.12998294765600346
62	498.28134	16342964.3962763	9.0	1.1674559358674943
63	507.12	5.10851692733822e-06	75.0	3.6492574209238635e-13
64	514.88383	1337275.51264847	28.0	0.09552797138121528
65	515.34024	2660462.24383	20.0	0.1900495138702238
66	516.212	1.83605309530247e-06	86.0	1.3115803428949207e-13
67	525.669	2.40403042172631e-07	100.0	1.717313651181846e-14
68	562.068	1.57384286375739e-06	87.0	1.1242710617633762e-13
69	568.26333	26917462.4505611	7.0	1.9228427936585382
70	568.81933	5378230.37725006	14.0	0.3841926608990273
71	568.82047	48324312.153232	5.0	3.452036221951187
72	574.454	4.39973934612846e-07	95.0	3.142943771619411e-14
73	588.995094	1399878478.85089	1.0	100.0
74	589.592424	698447415.086852	2.0	49.89343186847064
75	615.42255	3635700.86528022	17.0	0.2597154624639016
76	616.07471	7234649.62651978	13.0	0.5168055467542043
77	780.9783	117148.651326914	67.0	0.008368487200623095
78	818.32556	154618791.195824	4.0	11.045158099919146
79	819.47904	30844239.7980966	6.0	2.2033512382743057
80	819.4824	277490768.266767	3.0	19.82248977029415
81	864.9931	280168.981172894	54.0	0.02001380729867886
82	865.0897	137600.748160969	66.0	0.009829478075405554
83	879.30809	401414.586081229	47.0	0.028674959444389476
84	879.31196	281398.579451928	53.0	0.020101643371424498
85	894.29495	611956.585623973	41.0	0.043714979183500716
86	894.29895	428037.799709042	46.0	0.03057678264047626
87	915.3862	881795.935263698	33.0	0.06299089160850109
88	915.3904	611431.174720741	42.0	0.04367744657540867
89	946.5914	1690524.1946001	26.0	0.12076221044470879
90	946.5959	1126758.44063711	32.0	0.08048973233462563
91	949.7624	110207.534674599	68.0	0.007872650114963152
92	959.5661	78910.644529874	70.0	0.00563696390237022
93	960.0813	141520.6976308	65.0	0.010109498772134082
94	973.1487	104399.057121241	69.0	0.007457722845124274
95	973.6787	187594.054277433	60.0	0.013400738500632016
96	991.6019	142861.303185427	64.0	0.01020526462430487
97	992.1523	256561.591814869	56.0	0.018327418821773103
98	996.1256	2275095.53380502	22.0	0.16252093079340463
99	996.1306	1510039.94853278	27.0	0.10786935947271062
