	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	196.387	9926758.44631001	141.0	0.442700171919729
1	196.8919	5428930.73258846	185.0	0.24211212367624424
2	197.689	132172108.435276	34.0	5.894433257720716
3	198.1621	8082321.231955	158.0	0.36044445105108713
4	199.0254	73908953.3067496	40.0	3.296091721408595
5	199.43	5721104.46677463	181.0	0.25514209343467303
6	200.0497	2120267.1147626	261.0	0.09455681039262766
7	200.183	7297104.38714712	164.0	0.32542641026054775
8	200.6993	11313427.3097012	133.0	0.5045409578660423
9	200.7685	7942072.80780811	160.0	0.35418984116840396
10	201.4241	56864948.1632377	47.0	2.5359861896739884
11	202.5389	15167396.1206673	109.0	0.6764150559833567
12	202.6588	26216114.3290551	82.0	1.1691508747101746
13	202.927	2268010.13834597	255.0	0.10114565430316033
14	203.3546	2135870.44803871	260.0	0.09525266678534791
15	204.1144	2093960.25468748	262.0	0.09338361256164257
16	204.7343	14420256.0856261	115.0	0.6430951133505426
17	205.0831	3056199.98853929	230.0	0.13629628117427894
18	205.2074	14515427.9919794	114.0	0.6473394615466243
19	205.2434	2257298.01392306	256.0	0.10066792943967175
20	205.5489	12610583.2750088	124.0	0.5623897684273427
21	205.9901	17349652.7888984	103.0	0.7737363927947705
22	206.0195	10493357.4442759	138.0	0.46796858911409384
23	206.2347	2979125.25423912	235.0	0.13285900622597632
24	206.3395	5364275.85178859	187.0	0.23922873258736452
25	206.4373	5541982.45573666	182.0	0.24715385180373126
26	206.9505	8555039.27521396	155.0	0.3815260921680915
27	208.2845	9034124.96927038	147.0	0.4028917091789395
28	208.5352	3731834.16049517	215.0	0.1664273018591728
29	208.5555	153541890.839284	29.0	6.8474539638564815
30	208.8961	3421665.98993691	225.0	0.15259484052017336
31	208.907	7473344.61493646	162.0	0.3332861340126166
32	209.5123	9301918.93454392	143.0	0.4148344229164467
33	210.5835	2292944.75582154	253.0	0.10225765471123824
34	210.9774	2183272.08204821	259.0	0.09736662086600577
35	211.1715	7391465.33335629	163.0	0.3296345923509295
36	211.441	6127406.11699378	176.0	0.27326178591798805
37	212.139	26741827.6730203	79.0	1.1925959287036465
38	212.4806	14749058.0225229	112.0	0.6577585782448517
39	212.5626	7062326.54879359	167.0	0.31495610517916584
40	212.841	4234770.43534857	206.0	0.18885657487377228
41	212.9954	4090098.63116155	209.0	0.18240469705968698
42	214.7784	26287152.9453774	81.0	1.1723189590177476
43	215.1921	3570895.1367566	220.0	0.15924996054851137
44	215.2223	3012430.12822565	234.0	0.13434429203396156
45	215.7828	23445979.7675	84.0	1.0456121532560345
