	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	202.643	260.371448813546	154.0	0.0036051066380300228
1	202.646	584.62850266731	140.0	0.008094774236390162
2	228.854	56.4991460757007	163.0	0.0007822879485776384
3	228.855	97.8479693201719	162.0	0.0013548043202176072
4	241.8297	464.77308890775	144.0	0.0064352545397515
5	243.2	474.871131399294	143.0	0.006575072174070707
6	243.203	792.294428516907	136.0	0.010970119483284541
7	243.431	496.85614035872	142.0	0.0068794769085296446
8	243.465	938.931998123611	133.0	0.013000465275738475
9	261.145	148.454865621111	161.0	0.002055508097901241
10	279.985	1053.31588355089	131.0	0.014584226116324523
11	279.989	1754.77507137864	122.0	0.024296639615839548
12	280.553	387.081943842388	148.0	0.005359541883592104
13	280.558	516.098888014903	141.0	0.007145912255513176
14	280.602	1174.34771118367	126.0	0.0162600344555265
15	280.607	390.227433320216	147.0	0.005403094373882588
16	280.69	2223.27324159821	115.0	0.030783471682334626
17	287.6295	1165.23058321807	128.0	0.016133798577136888
18	287.8931	877.767487183206	134.0	0.01215358062149584
19	287.8978	1462.12719510147	125.0	0.020244633122117855
20	287.8991	1168.74239206214	127.0	0.016182423130377807
21	288.3809	1463.1502563951	124.0	0.020258798442768733
22	288.3856	4397.37521598384	99.0	0.0608861173269597
23	330.0584	163.397605591839	160.0	0.0022624054797159613
24	332.621	203.086989655208	159.0	0.0028119452337795423
25	332.622	340.661129078544	151.0	0.004716798648070385
26	382.2577	215.119282180343	155.0	0.0029785445204937567
27	382.3414	1707.45062861384	123.0	0.023641384734669278
28	382.3868	206.140147069855	157.0	0.0028542192930615827
29	382.4349	953.804884115385	132.0	0.013206395458406102
30	382.5023	616.029625332088	138.0	0.008529554609876706
31	382.5187	213.911588082603	156.0	0.002961822771514321
32	382.5505	205.768553971738	158.0	0.0028490742099475464
33	385.5014	2527.30988689958	111.0	0.034993167227583374
34	394.7295	40351.34836398	37.0	0.5587053208150293
35	394.7481	28649.1826304604	42.0	0.39667697416842823
36	394.7586	17155.2607129165	65.0	0.23753197424330394
