	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	213.5469	117836870.937648	6.0	7.458317378925765
1	213.6182	1579939079.43108	1.0	100.0
2	214.9142	915501772.811486	2.0	57.94538439679262
3	215.2939	113046949.394908	7.0	7.155146098140381
4	215.4072	202656406.720672	4.0	12.826849424703546
5	215.4113	40301992.2816662	10.0	2.5508573593975874
6	223.5742	4282176.63353347	17.0	0.2710342879217494
7	253.3986	94129184.4818549	8.0	5.957773037410395
8	253.5612	446826896.252812	3.0	28.281273757321696
9	255.326	172054821.970035	5.0	10.889965582216636
10	255.4911	72652244.592486	9.0	4.598420631423797
11	497.815	288294.645659423	51.0	0.018247200123895597
12	501.5917	520225.427832655	40.0	0.03292692956363753
13	504.5406	629650.445439899	36.0	0.039852830633610864
14	506.1916	402886.088902154	42.0	0.025500102766445217
15	507.9383	744901.841199214	33.0	0.04714750403334827
16	509.8225	386177.476970454	44.0	0.024442554905946916
17	510.0969	122605.821453502	62.0	0.007760161328350147
18	510.9625	1321191.01812552	27.0	0.08362290896692469
19	515.4842	608698.129986008	39.0	0.038526683586128777
20	516.2266	1682158.56217799	22.0	0.1064698369752154
21	516.6619	368406.751392772	45.0	0.023317782070776522
22	519.0424	204857.533778631	55.0	0.012966166635513447
23	522.1896	232341.052447937	54.0	0.014705696914060802
24	526.206	334566.415528143	46.0	0.02117590607662018
25	529.3537	652051.569701889	35.0	0.041270677976817056
26	534.5854	1602701.87275996	24.0	0.10144073867310609
27	537.8345	298754.974149959	48.0	0.01890927175860082
28	545.8302	889308.441818612	32.0	0.05628751471473463
29	547.7672	1937086.84913355	21.0	0.12260516081614205
30	554.8516	151947.503171077	58.0	0.009617301397835652
31	667.374	295889.992866549	50.0	0.018727936837482112
32	671.74	661193.507489777	34.0	0.04184930394454615
33	705.191	64581.404722007	67.0	0.004087588285066162
34	710.271	82137.3969275391	66.0	0.00519876987643827
35	715.836	616058.280360572	37.0	0.03899253385025506
36	716.547	898058.880749194	31.0	0.05684136131834753
37	717.562	948260.555017137	30.0	0.060018804988265485
38	717.666	1108142.6436625	28.0	0.07013831470397774
39	719.783	240266.933493645	53.0	0.015207354297493715
40	723.548	302385.424902594	47.0	0.01913905598255598
41	728.296	188190.269891536	56.0	0.011911235840770607
42	745.98	297001.046092654	49.0	0.018798259373367803
43	747.455	143486.309090945	59.0	0.009081762136209261
44	748.397	176376.133208109	57.0	0.011163476839348782
45	750.574	388634.645639549	43.0	0.02459807790687046
46	756.363	128561.150288715	60.0	0.008137095408451353
47	791.785	99853.9492610209	63.0	0.006320113893060819
48	800.265	128482.811983491	61.0	0.008132137096688332
49	804.745	426350.394464812	41.0	0.026985242660010435
50	806.494	97691.581774175	64.0	0.006183249914253197
51	809.008	254188.609571165	52.0	0.01608850701146627
52	811.506	97088.1467534241	65.0	0.006145056351690758
53	863.759	612226.238353838	38.0	0.03874999019419751
54	874.153	1417659.03517986	26.0	0.08972871509009983
55	917.5813	2220837.63661757	20.0	0.14056476389059705
56	930.4948	4204831.94874184	18.0	0.26613886595272757
57	952.5741	5989915.12915527	12.0	0.3791231704523808
58	956.3444	5367727.13453492	13.0	0.3397426650442613
59	959.3505	4956206.0867947	14.0	0.31369602482263925
60	960.9037	991707.913292283	29.0	0.06276874382076725
61	973.4755	1554093.01782181	25.0	0.09836411024034059
62	975.0748	4886475.48052741	15.0	0.3092825251393225
63	979.0194	1603692.18367244	23.0	0.10150341899574465
64	979.6828	11644122.4839259	11.0	0.7369981941404241
65	990.3671	3216964.47149149	19.0	0.20361319707655348
66	997.6681	4765852.60802282	16.0	0.3016478717482547
