	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	202.201749	18412861.8634314	24.0	1.4798193052759698
1	205.32815	34414024.9288407	20.0	2.765813312437262
2	217.000288	649289378.350668	4.0	52.18259735615549
3	240.193951	63053790.6528965	17.0	5.067556438051554
4	244.618073	52676354.0400453	19.0	4.233534483567993
5	247.637766	128952104.464376	14.0	10.363723741464332
6	257.725953	124875197.985275	15.0	10.03606772805773
7	261.365508	80679321.0727093	16.0	6.484098873139759
8	261.417468	1211090252.00345	2.0	97.33385003586035
9	262.826247	10807083.2238815	25.0	0.8685521298666582
10	266.315356	308995801.827705	8.0	24.833616641745206
11	280.199525	1244264201.56734	1.0	100.0
12	282.318944	152922538.472708	13.0	12.290198358200678
13	283.305346	631033719.647588	5.0	50.71541227760994
14	287.3311	228300931.46919	10.0	18.34826809142385
15	357.272911	174865976.256134	12.0	14.053765754561107
16	363.956773	320785995.739221	7.0	25.781180181439137
17	367.149113	58494956.5459081	18.0	4.701168487546681
18	368.346205	471067368.325441	6.0	37.85911125081474
19	373.99352	239738880.670819	9.0	19.267522152355703
20	401.96322	18855631.9074901	22.0	1.5154041950044506
21	405.780659	809221680.796825	3.0	65.03616191621421
22	406.213593	217084198.255791	11.0	17.446792890315454
23	416.80327	4970062.81032748	26.0	0.39943790105565447
24	500.54165	34040553.047438	21.0	2.735797831727277
25	520.14372	18646899.6298216	23.0	1.4986286358100631
26	722.89658	4290047.23691256	27.0	0.34478587678634437
