	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	482.59281	402576177.16238	1.0	100.0
1	540.0231	26698236.8130984	7.0	6.631847170213852
2	540.6796	42330456.8096781	3.0	10.51489363033124
3	555.5852	34975441.8047115	4.0	8.68790648548587
4	566.0812	58986592.8878738	2.0	14.652281042472474
5	581.1588	3553987.04856746	17.0	0.8828110678625556
6	616.7051	12224362.9089175	12.0	3.036534102708908
7	620.0304	32188305.9157373	6.0	7.995581393469807
8	644.62	33493520.536862	5.0	8.319796956925327
9	648.7319	12182634.0667443	13.0	3.026168650270234
10	698.0232	17549532.5402604	9.0	4.359307265512077
11	711.8486	10055681.3891962	14.0	2.497833195216671
12	714.12167	8376733.21304251	15.0	2.0807821446582357
13	722.5166	25013337.526132	8.0	6.213317862582517
14	731.0269	6036720.05600752	16.0	1.4995224254346764
15	783.8113	13909879.6545469	10.0	3.455216787191141
16	993.222	13068013.8191267	11.0	3.2460971514108463
