	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	322.79795	180179.981409231	11.0	0.0427272667127746
1	334.86958	426988.346232705	10.0	0.10125456118954095
2	358.70496	1473473.72343703	7.0	0.3494145369710512
3	359.15717	539333.44870115	9.0	0.12789569590106512
4	420.18053	9321379.85375308	4.0	2.210440249951026
5	421.5539	3974885.77598169	6.0	0.9425908659488996
6	505.07	2.77780733378586	14.0	6.587197639775596e-07
7	521.75	1.9078775381204	15.0	4.524275770760278e-07
8	553.44	0.785371717265509	16.0	1.8624037237554085e-07
9	586.01	4.9888761998291	13.0	1.183045099238703e-06
10	611.87	23.9717784363465	12.0	5.6845858392171044e-06
11	620.631	5729141.97746423	5.0	1.358589202817655
12	629.8326	10659770.6777525	3.0	2.5278216885308815
13	629.9224	1206282.74451412	8.0	0.286053778853548
14	780.0268	421697888.190355	1.0	100.0
15	794.7603	202056845.649061	2.0	47.91507173919075
