	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	308.3966	12966323.2626145	56.0	1.1110604409386675
1	311.4907	6696685.35381592	68.0	0.5738266763324519
2	312.1754	24715418.6328132	47.0	2.1178188579744046
3	312.3703	20811252.5729485	51.0	1.7832780343256505
4	313.7708	7376927.30994386	67.0	0.6321153609821432
5	318.9043	7836941.66706224	64.0	0.6715331468961899
6	319.713	7543493.40269201	66.0	0.6463881037409005
7	326.3142	31912446.8809907	44.0	2.7345189985550253
8	327.161	34287292.7890083	43.0	2.9380151854294674
9	328.0536	103389697.786887	22.0	8.859273433574081
10	328.0577	35044101.6019264	42.0	3.0028647435005276
11	328.3571	166465064.695813	16.0	14.264085850387811
12	328.9137	17393344.6552269	54.0	1.4904037783597535
13	332.3091	351505058.849002	6.0	30.119823312055555
14	333.1095	3635692.90311702	75.0	0.31153585162431546
15	333.8548	11865734.0839829	58.0	1.016752974331809
16	336.08	16965084.0972278	55.0	1.4537069172087553
17	336.8373	21495348.9118496	50.0	1.8418969939605288
18	336.8772	1665687.15856088	87.0	0.14272967528062083
19	337.2523	1039896.80674089	99.0	0.08910684865921473
20	339.6819	465066712.795779	3.0	39.850712998542434
21	339.9693	50298729.8949913	36.0	4.310005842359005
22	343.4885	1167022313.53499	1.0	100.0
23	346.2036	202695850.216142	12.0	17.36863536072095
24	347.0656	165320577.260062	17.0	14.166016822702792
25	347.8904	100015256.157967	24.0	8.570123724114064
26	348.4034	3731789.87893123	74.0	0.3197702250977005
27	349.8728	63586814.499212	32.0	5.448637422073208
28	350.2522	333109022.928732	7.0	28.54350075961462
29	350.7311	151411754.014076	18.0	12.974195288129453
30	352.8025	443816422.932915	4.0	38.02981466468835
31	353.8139	39085917.7142555	40.0	3.349200547490955
32	354.3946	72800863.087168	29.0	6.238172333367751
33	354.9537	70789076.2363092	30.0	6.065786010713392
34	357.0177	57698791.0625171	35.0	4.944103501135598
35	358.3092	176356045.27189	14.0	15.111625821248914
36	359.6195	131412126.032321	19.0	11.260463875301983
37	359.7146	259232151.189085	10.0	22.21312721980895
38	361.247	96805813.0131128	25.0	8.295112431902128
39	362.0449	10755025.0437816	61.0	0.9215783553618522
40	365.4873	20393753.2018993	52.0	1.7475032795324397
41	365.7985	376552010.517264	5.0	32.26605062731512
42	366.6216	42206344.2724821	38.0	3.616584171782989
43	369.0701	75473060.9154128	28.0	6.467148060502781
44	369.2358	641714396.155146	2.0	54.987328752211205
45	370.0907	285927524.511733	8.0	24.500604760986878
46	371.3021	19045172.5252216	53.0	1.6319458766415935
47	378.8475	38128686.7689872	41.0	3.2671771847697424
48	379.3219	116744686.459958	20.0	10.003637900146947
49	379.9318	204583077.022259	11.0	17.53034836176893
50	380.6759	25493000.1144385	45.0	2.184448387899154
51	381.8186	70415151.9504856	31.0	6.033745124991938
52	382.226	187441706.187046	13.0	16.06153575755311
53	382.8478	113590536.024947	21.0	9.73336453875278
54	383.3884	83387814.4748491	27.0	7.145348765634287
55	385.6513	283656200.619762	9.0	24.305979185654817
56	387.239	1958311.33258043	83.0	0.1678041036463623
57	387.7346	10800731.4065389	60.0	0.9254948496933831
58	391.3508	1663330.68798938	88.0	0.142527753642605
59	392.2195	6211250.41883057	69.0	0.5322306477599618
60	393.4224	63071973.2741954	33.0	5.404521622482616
61	394.271	40956239.8024122	39.0	3.509465014285199
62	395.8856	169450607.958736	15.0	14.519911572680952
63	398.4393	12681187.2577714	57.0	1.086627660045267
64	399.5602	8075187.5683172	63.0	0.6919480008789983
65	405.3438	1549234.48105314	90.0	0.1327510590916127
66	405.6337	1313580.840979	96.0	0.1125583312113437
67	408.278	23924394.0340306	48.0	2.0500374120150266
