	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	343.6736	244241217.572522	4.0	58.94010592182139
1	349.8942	414388833.804414	1.0	100.0
2	358.9213	122282141.846591	9.0	29.50903399687322
3	359.3018	161600820.094148	8.0	38.9973876975704
4	359.6178	115618100.840233	10.0	27.900872660773288
5	372.6924	252396564.468068	3.0	60.90814806732843
6	372.8025	389638165.612317	2.0	94.02718746910567
7	373.0431	164963787.123836	6.0	39.8089363579948
8	379.8898	162893075.122229	7.0	39.309233703703605
9	379.9349	216421504.01184	5.0	52.22667368348734
10	419.9894	88862249.3292745	11.0	21.444170807753064
