	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	191.4697	376652.138662633	56.0	1.0125036088212598
1	403.2249	59654.4848995401	123.0	0.16036117956908313
2	403.2843	177360.527848212	89.0	0.4767746046693928
3	403.406	293021.515846796	71.0	0.7876905818471874
4	415.041	84342.2442463283	114.0	0.22672598376503947
5	415.2604	260327.942638467	76.0	0.6998048181389799
6	415.7698	467262.465898862	48.0	1.2560792424255376
7	469.4113	599842.218260591	38.0	1.6124756728281697
8	469.5443	416878.741371371	53.0	1.1206394090262806
9	469.6252	246202.14050989	78.0	0.6618323120396853
10	527.8128	37747.8789807114	135.0	0.10147257846198497
11	527.87	111952.317677073	104.0	0.30094645437675305
12	527.8993	184857.245761225	86.0	0.49692702957846635
13	529.57	255244.211172345	77.0	0.6861389022251528
14	538.101	360691.943842599	58.0	0.9695999499965609
15	544.122	27036.0717879471	141.0	0.07267745870458488
16	544.45	44756.6775133063	129.0	0.1203133949059074
17	544.981	62432.6314047288	120.0	0.1678292995492998
18	550.7	537634.041085897	40.0	1.445249743589556
19	560.524	42167.0820391895	131.0	0.1133521314646849
20	560.872	70005.4843778519	118.0	0.18818638816582758
21	561.437	97428.0790598425	108.0	0.2619028847118028
22	570.61	848206.887226081	30.0	2.280121221116156
23	572.438	20097.6089555342	143.0	0.05402571632384475
24	572.468	59174.9277741888	124.0	0.15907205023670187
25	572.518	26645.5566046748	142.0	0.07162768892558766
26	572.586	19770.0686521116	144.0	0.053145233498425724
27	572.638	109484.605476212	105.0	0.2943128334506231
28	581.97	28602.7311946479	139.0	0.07688889982028006
29	582.052	38071.453434236	134.0	0.10234240042311678
30	582.099	85288.2404540461	113.0	0.2292689789479327
31	582.222	28423.4244892945	140.0	0.07640689356670935
32	582.28	158346.697920902	93.0	0.4256622666716027
33	587.967	71493.3502606456	117.0	0.19218601918111833
34	588.351	118714.360433777	99.0	0.3191239502446284
35	588.971	165443.7930658	92.0	0.444740439098478
36	589.434	19585.7727330909	146.0	0.05264981540850847
37	589.56	32483.4866433137	137.0	0.08732101607130802
38	595.819	41209.2212727332	132.0	0.11077724237410684
39	595.902	123491.766188402	97.0	0.331966411685406
40	595.905	54721.6499819827	125.0	0.14710089868104612
41	596.03	41206.4885836455	133.0	0.11076989645122716
42	596.121	229065.562358258	79.0	0.6157663391157505
43	604.192	282887.631852676	73.0	0.7604490157914244
44	604.597	469915.638949877	47.0	1.2632114129702698
45	604.604	752248.056240572	31.0	2.022167919653232
46	605.253	53673.1947740745	126.0	0.14428247666049485
47	605.259	374407.536640558	57.0	1.006469745172462
48	605.266	1447525.26862114	18.0	3.891188733303931
49	608.184	30569.2273382717	138.0	0.0821751686019253
50	608.273	10219.7836018068	148.0	0.027472478491539973
51	608.318	50811.337339046	128.0	0.1365893277746638
52	617.277	60151.9119531503	122.0	0.1616983462414773
53	617.361	180993.104264308	87.0	0.48653957439364703
54	617.369	80126.5053512255	115.0	0.21539337628192365
55	617.499	60210.798676725	121.0	0.16185664355087992
56	617.582	336329.11817464	63.0	0.9041086215854767
57	639.516	52015.364230282	127.0	0.13982595236100717
58	639.615	17402.0620025092	147.0	0.04677963768115967
59	639.664	86407.0555862027	112.0	0.2322765401499867
60	640.357	137543.561641661	96.0	0.3697399755296471
61	640.812	228084.946002908	80.0	0.6131302792165915
62	641.548	318952.363285785	67.0	0.8573970136359276
63	653.558	88166.162594884	110.0	0.23700531243551437
64	653.634	263815.653679699	75.0	0.7091803656357012
65	653.661	117671.524978922	100.0	0.3163206350551899
66	653.788	88086.8219603827	111.0	0.23679203161081505
67	653.86	492387.56675279	46.0	1.323619693349105
68	674.354	523626.299723263	43.0	1.407594604469782
69	674.858	874134.75065684	28.0	2.349819631394352
70	674.879	1398237.45085587	20.0	3.7586948795972903
71	675.675	99750.7142759451	107.0	0.26814651456780003
72	675.696	699725.220615919	33.0	1.880977799760882
73	675.715	2695271.00189192	10.0	7.245336840131947
74	699.285	100043.187961134	106.0	0.26893273248970134
75	699.403	33377.8545303769	136.0	0.08972522573936047
76	699.462	166338.732190402	91.0	0.4471461843480662
77	716.144	653691.458756651	35.0	1.757231389676443
78	716.479	72995.036109076	116.0	0.196222800563139
79	716.55	213258.181370303	81.0	0.5732734692938889
80	716.667	339046.699453233	61.0	0.9114139321609332
81	716.78	434708.472788081	52.0	1.1685686932401753
82	744.33	1007309.04835267	24.0	2.707814298563998
83	744.692	112325.057007142	103.0	0.30194843970513713
84	744.768	329453.03767775	65.0	0.8856245733005882
85	744.894	524273.531198988	42.0	1.4093344703503825
86	745.017	671049.387742652	34.0	1.803892390467231
87	767.956	273935.980037989	74.0	0.7363854865108959
88	768.61	456171.480273237	49.0	1.226264827960236
89	769.67	637760.739933731	36.0	1.7144069672356326
90	792.384	1684573.07875066	15.0	4.528412682360793
91	792.794	186754.830860016	85.0	0.5020280540075146
92	792.88	547593.372494177	39.0	1.4720220832558983
93	793.023	868239.283909119	29.0	2.333971636002774
94	793.162	1115717.22741205	23.0	2.999233518731174
95	844.956	205000.199109944	83.0	0.5510746391747148
96	845.129	68721.2904366806	119.0	0.1847342612126153
97	845.214	337544.137896308	62.0	0.9073747967287957
98	861.709	437268.461735904	51.0	1.1754503694133591
99	862.654	322604.945247654	66.0	0.8672157615953551
100	863.312	956077.717142771	26.0	2.570095957394026
101	864.856	19637.7226924804	145.0	0.05278946554177667
102	865.517	304928.443027871	68.0	0.8196983829541096
103	866.844	1691454.05130181	14.0	4.546909881301378
104	867.024	534920.158448903	41.0	1.4379543755780257
105	867.065	1200677.21274969	22.0	3.2276200933174715
106	867.13	933728.213831765	27.0	2.5100167744160555
107	867.899	400812.903717964	55.0	1.0774517646906643
108	867.964	1557147.7520116	17.0	4.185872205525513
109	868.046	2496396.01103875	11.0	6.710727779745092
110	869.316	178272.082699882	88.0	0.4792250157575431
111	869.398	1249652.83925675	21.0	3.359274724985702
112	869.471	4802796.10037093	5.0	12.91071491409714
113	887.448	3097598.35471872	9.0	8.326859695971908
114	887.962	343323.632781475	59.0	0.9229110404606734
115	888.071	1006902.83683382	25.0	2.7067223344237155
116	888.25	1601289.82982058	16.0	4.304533454180984
117	888.424	2058728.42493293	13.0	5.534204497626807
118	897.024	173622.518092796	90.0	0.4667262125890873
119	897.148	288687.791312257	72.0	0.776040809337099
120	897.774	402167.629614461	54.0	1.081093493273534
121	903.588	619018.959861591	37.0	1.664025944506931
122	903.634	334873.029203842	64.0	0.9001944121960582
123	903.667	112618.072771789	101.0	0.30273611482680257
124	903.865	150041.888953755	94.0	0.40333755857446074
125	903.93	112414.4157419	102.0	0.30218865084994423
126	921.2863	37200078.6348925	1.0	100.0
127	922.8093	26396014.9009258	2.0	70.95687931198933
128	923.7538	15843158.9911426	3.0	42.58904704648183
129	941.346	5886727.90638755	4.0	15.824503932273908
130	942.193	4753115.47029189	6.0	12.777165115542571
131	943.713	3356743.45047753	8.0	9.023484824919187
132	943.766	207729.611031959	82.0	0.5584117524878434
