	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	206.8344	1610081868.59721	1.0	100.00000000000001
1	213.96981	423970257.402184	6.0	26.33221736554115
2	217.58175	1326334799.15124	2.0	82.37685455751479
3	217.91898	806610390.141459	4.0	50.09747677267004
4	231.14633	842127504.242497	3.0	52.303396533258514
5	252.85088	753027633.060433	5.0	46.76952444141932
6	259.8048	58543488.4163521	10.0	3.636056622844796
7	287.79128	169696352.943671	7.0	10.539610205754295
8	323.24948	102166348.566679	9.0	6.345413271170604
9	326.74913	109724057.781159	8.0	6.814812334776275
