	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	211.28467	770219.447687485	179.0	0.17073942959080043
1	211.66505	3237426.90275331	116.0	0.7176609528331355
2	212.03916	4796744.60533641	92.0	1.063324796935266
3	226.2292	1280573.18756375	160.0	0.28387277969982166
4	226.65935	5344141.16839537	85.0	1.1846696645794983
5	227.09438	10117580.2517632	55.0	2.2428281786596918
6	228.08321	9616585.65561044	58.0	2.131769529294215
7	228.96266	1402734.68478873	157.0	0.31095309352048006
8	231.12912	1492742.94127332	155.0	0.3309057945549479
9	231.56881	6118518.737145	80.0	1.3563308512363552
10	232.03226	8703999.51018839	62.0	1.9294707709472956
11	232.4754	999524.31011253	164.0	0.22157089266330224
12	232.81826	1728591.77591646	146.0	0.38318790144997356
13	233.46709	2155156.00753479	138.0	0.47774709988234404
14	233.51615	1789456.77255715	144.0	0.3966802312524456
15	233.68028	941821.112123106	167.0	0.20877945881953258
16	234.6035	3296080.18252522	114.0	0.730662997330912
17	242.86582	929397.920030381	168.0	0.20602553104222532
18	242.91948	8448562.60992521	66.0	1.8728464533215565
19	243.86319	9390115.29201289	60.0	2.0815664075527915
20	243.91729	647460.588221989	187.0	0.14352669469390072
21	246.26722	658831.366271094	186.0	0.1460473271758989
22	246.84079	780134.035278286	176.0	0.1729372590989541
23	247.29278	921062.471438525	170.0	0.20417775929064216
24	269.2773	3584966.61368751	104.0	0.7947022846032125
25	269.56339	268225.963965867	213.0	0.05945935048313226
26	269.90154	1616625.28483351	150.0	0.3583675792960943
27	270.67371	14064271.5107126	44.0	3.117716259384231
28	270.79261	6630710.08699311	78.0	1.4698715560016957
29	271.13385	21457040.7839709	37.0	4.756518308076033
30	271.70555	1646411.15333603	149.0	0.36497040166477895
31	272.45923	1071171.61818371	162.0	0.23745340582045268
32	272.6484	845041.968522239	172.0	0.1873258122979989
33	273.42878	838305.233329101	173.0	0.185832437484322
34	273.90598	389298.275064304	202.0	0.0862982175076567
35	296.58737	6949540.75495683	75.0	1.5405487721478495
36	297.40058	34272030.98755	25.0	7.597298457344059
37	298.07606	49786803.9952076	16.0	11.036556582429762
38	298.89747	4278050.55075742	97.0	0.9483425963730051
39	301.53689	76136397.0925628	11.0	16.87763798968286
40	301.93531	111345738.034481	7.0	24.682715888897807
41	303.07581	9711515.04123603	56.0	2.1528131282344676
42	303.97733	693901.253661194	184.0	0.1538214915218878
43	306.10265	592960.41166916	190.0	0.13144529492508633
44	306.81805	752916.323295905	180.0	0.16690373627297114
45	307.3337	750008.094694319	181.0	0.16625905079528644
46	325.56797	26122893.0185118	34.0	5.790827363076305
47	326.98999	129325179.338492	6.0	28.66833266581108
48	327.36267	228134106.914415	4.0	50.571934273695966
49	390.74903	319608110.853299	3.0	70.84955684191856
50	391.18183	451108129.817124	1.0	100.0
51	393.3371	30985448.3247144	28.0	6.868740835434661
52	399.66008	33336235.5159742	26.0	7.389854740478402
53	401.77692	321905.365986122	204.0	0.07135880395607593
54	402.03914	222290842.46297	5.0	49.27662078559415
55	402.3218	5869370.08680821	82.0	1.3011004898509835
56	402.36794	331118938.438403	2.0	73.40123499273584
57	403.13741	8457956.5140478	65.0	1.8749288596232114
58	403.686	1540377.81647477	154.0	0.3414653194344398
59	404.3801	11983755.7449091	49.0	2.656515135244233
60	404.77944	20859535.7241969	38.0	4.624065572184036
61	405.18275	2234397.16177011	136.0	0.4953129890777891
62	405.45456	30948782.5836094	29.0	6.860612908075014
63	406.6999	7317818.81017994	71.0	1.6221873042160715
64	406.7633	1570595.87670507	151.0	0.3481639484843198
65	407.49617	10675761.0720449	52.0	2.3665636609947103
66	407.8563	8298607.0484424	68.0	1.8396048530108724
67	408.0567	1273114.2572071	161.0	0.2822193113041903
68	408.23921	37628819.6858478	21.0	8.34141909637103
69	408.6664	14107668.2037732	43.0	3.1273362795506143
70	408.74751	3221688.73433558	117.0	0.7141721732307572
71	409.3115	2365348.61278296	132.0	0.5243418276992382
72	409.48616	4134699.52695905	100.0	0.916565065815867
73	409.836	3307741.75420773	113.0	0.7332480918817988
74	413.2981	36893709.5796354	23.0	8.17846257716345
75	414.0276	48032761.2689472	17.0	10.64772680741075
76	414.7379	5375815.56275406	84.0	1.1916911284514817
77	416.1852	7228823.65182102	73.0	1.6024591830680446
78	417.1537	2833589.21970149	123.0	0.6281396925500338
79	418.6429	3410488.88822353	109.0	0.756024700686755
80	418.7604	3968629.03918722	101.0	0.8797511675961311
81	419.3525	1863886.59227945	143.0	0.41317956141359197
82	420.4519	1433061.88876331	156.0	0.3176759171563286
83	420.5196	4585059.19731901	95.0	1.0163991500613745
84	421.2319	4870034.09764799	90.0	1.0795713434874843
85	421.2487	2650672.71765646	129.0	0.5875914315113372
86	421.6084	4865157.10246739	91.0	1.0784902290365925
87	421.8225	4656641.58741646	93.0	1.0322672724395876
