	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	190.1338	214120550.716778	14.0	10.54077498232924
1	190.4665	4512301.41617509	34.0	0.22213259643283853
2	197.7598	69116215.8081046	23.0	3.40246873092995
3	197.9205	71380669.5511158	22.0	3.5139437728307454
4	198.0618	51201570.1029294	26.0	2.520562493372314
5	198.3233	90495959.7187453	18.0	4.454955608006849
6	198.6364	90021815.1762333	19.0	4.431614313044792
7	198.8994	272357221.449751	10.0	13.407663003405894
8	205.8133	98798140.6769542	17.0	4.863657253178739
9	207.2764	1106011.93998272	49.0	0.054447006362074384
10	208.2021	9533837.94267837	29.0	0.4693339342503892
11	208.4462	9470362.34095169	30.0	0.46620914294741017
12	212.299	58049898.9452839	24.0	2.8576935771968506
13	212.4122	1129759981.66455	3.0	55.61608033839837
14	220.7978	111979788.757998	16.0	5.512566411376825
15	221.0892	245612972.664611	12.0	12.0910910649726
16	221.1745	77228322.3604194	20.0	3.801813350184792
17	221.6669	448442205.881674	8.0	22.076014511239045
18	221.8057	77125275.7432293	21.0	3.79674054796728
19	221.8916	4465620.48202886	35.0	0.21983457683054827
20	227.828	2600032.64004743	40.0	0.1279949958736207
21	230.3058	266580441.52398	11.0	13.123282372419512
22	243.5154	221214354.017691	13.0	10.88999033841495
23	243.8768	5206357.76362035	31.0	0.25629975955187373
24	244.3365	4125716.60258026	36.0	0.2031017116436491
25	250.6897	663830584.581535	5.0	32.67920241676151
26	251.4316	549629235.409048	7.0	27.05727252597839
27	251.6112	2031354915.32391	1.0	100.0
28	251.9202	407525322.803106	9.0	20.061748920824307
29	252.4108	553505335.778334	6.0	27.24808607313581
30	252.8508	668573944.466836	4.0	32.912709611861615
31	253.2381	27786535.7901307	27.0	1.3678818792579137
32	256.864	5080002.61264172	32.0	0.2500795195521846
33	263.1282	139068120.311796	15.0	6.846076934301798
34	288.1578	1208820067.50426	2.0	59.50806815615023
35	298.7643	16649534.5354385	28.0	0.8196270582673459
36	390.5523	54664965.1606091	25.0	2.691059289946508
37	473.8832	288560.339394148	73.0	0.01420531376458828
38	474.7993	274987.694714606	74.0	0.01353715653725424
39	475.5276	219722.36221892	79.0	0.010816542228115964
40	478.2991	486023.643436242	60.0	0.023926082033712118
41	479.2324	812552.325583341	54.0	0.040000509977537596
42	481.7581	263148.644663715	75.0	0.012954341099066609
43	481.8052	742328.218492296	55.0	0.036543501723524656
44	482.1167	395451.977755812	64.0	0.019467399555471335
45	494.7607	370900.862492526	66.0	0.01825879169093324
46	500.6059	1258171.09253151	46.0	0.06193753159727325
47	562.222	586953.746482639	59.0	0.028894692013436078
48	564.5613	596030.407820067	58.0	0.02934151995418422
49	568.4484	943352.558706553	51.0	0.04643957348812827
50	569.0425	344614.933091169	67.0	0.016964782002962708
51	570.84	844711.210286939	53.0	0.04158363483971709
52	575.4218	452675.149335982	61.0	0.02228439481063311
53	577.2146	385421.587631374	65.0	0.018973621237917283
54	594.8541	1242769.01250844	47.0	0.06117931451236694
55	651.873	151305.198540046	86.0	0.007448486593782633
56	655.5463	310570.32043019	71.0	0.015288826097662404
57	656.057	214456.788824977	80.0	0.010557327388098538
58	672.1848	981158.446748385	50.0	0.04830069031004039
59	697.651	884972.719046306	52.0	0.043565637514663094
60	700.3569	1290439.06688305	45.0	0.06352602674935723
61	700.588	1821560.41436046	42.0	0.08967218877504736
62	701.679	160863.918544626	83.0	0.007919045427813654
63	708.395	154065.518895745	84.0	0.007584372269637501
64	727.203	423806.974891843	62.0	0.020863265778657138
65	728.96	229953.980101992	78.0	0.011320226631362677
66	768.0266	1468757.65658529	44.0	0.07230433468348829
67	774.272	2662048.62345487	39.0	0.13104793275528578
68	791.8384	1542283.79188608	43.0	0.07592389593032564
69	792.585	657821.598357335	56.0	0.03238339068150688
70	793.2348	2102529.01827329	41.0	0.10350377486536028
71	794.4001	2972169.3416976	38.0	0.14631462573460102
72	797.0307	208701.172491154	81.0	0.010273988603211444
73	800.839	153809.469459119	85.0	0.007571767409960129
74	803.5618	328116.436914841	69.0	0.01615259029525725
75	804.96	177426.906054966	82.0	0.008734411929521157
76	807.059	338538.397064644	68.0	0.016665644910734977
77	807.1284	622015.990818162	57.0	0.030620744121367796
78	807.303	234148.225725771	76.0	0.011526701905187989
79	809.3232	294828.168146384	72.0	0.014513867858457031
80	864.847	4813227.21623634	33.0	0.23694663989669407
81	889.923	1143014.23205381	48.0	0.056268563579474275
82	902.201	314677.024339856	70.0	0.015490991848151711
83	905.145	412269.415731464	63.0	0.0202952922023341
84	941.35	3442935.22168575	37.0	0.1694895951324565
85	942.1786	142814.881724944	88.0	0.007030523354023116
86	950.5205	232479.809212099	77.0	0.011444568719052669
87	988.7047	140023.64181503	89.0	0.006893115563348145
88	996.9132	146433.225864709	87.0	0.007208648019115826
