	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	207.30741	7218440.41096762	44.0	0.5298310245273281
1	219.93456	104393969.891603	22.0	7.662481211052718
2	220.96595	166106946.050257	16.0	12.19219227372078
3	224.60563	469260237.601098	11.0	34.443538812118405
4	226.89296	561881347.263113	7.0	41.241896162346244
5	228.66814	107331836.950533	21.0	7.878119635024874
6	231.723	540241577.16608	9.0	39.653544536747674
7	233.4812	186212122.453183	14.0	13.667905254003871
8	235.485	829214943.898581	4.0	60.86408950770333
9	238.07403	15837561.4950799	37.0	1.1624715250406719
10	240.81506	24537991.7110846	33.0	1.801080087656258
11	242.16941	813856804.018623	5.0	59.73680736306326
12	242.94948	941117836.373854	3.0	69.07772303408963
13	243.34768	2165609.3819562	52.0	0.15895497811750156
14	245.52518	5146115.12744323	46.0	0.37772306690599045
15	247.64015	1680444.19083034	53.0	0.12334402122871933
16	248.34098	102851571.752373	24.0	7.549269722169937
17	249.16991	9221349.8286502	41.0	0.6768438816527833
18	249.5724	162826353.011284	17.0	11.951397881589296
19	252.39066	12187708.5083031	38.0	0.8945735807118836
20	254.65485	104174926.336945	23.0	7.646403490053011
21	255.80944	20439601.3239034	35.0	1.5002596535838395
22	257.1594	185908253.902732	15.0	13.645601407710087
23	259.44206	91549820.3073688	26.0	6.719725082865074
24	263.69922	7415666.67846597	42.0	0.5443073642105621
25	266.12432	52216186.0280671	30.0	3.832649958310287
26	270.65047	555016560.226606	8.0	40.73802317294148
27	276.17804	2694757.35711388	48.0	0.19779425611145443
28	277.98114	98702813.7830689	25.0	7.244752325025191
29	278.50257	33114623.1447412	32.0	2.4306018625514567
30	278.79204	11513826.0928433	39.0	0.8451108449592232
31	281.25597	19494508.1368017	36.0	1.4308901411840318
32	281.35824	48990065.338617	31.0	3.595853817755734
33	283.99769	1362404252.82897	1.0	100.0
34	285.062	140805014.873742	19.0	10.33503929405438
35	286.33166	408190064.363455	12.0	29.961009261081433
36	291.35605	79119759.3692194	27.0	5.807362917792634
37	300.91335	273326126.856873	13.0	20.06204298682449
38	303.27782	67113032.3822659	29.0	4.926073318026479
39	303.41148	491976070.43672	10.0	36.11087306980687
40	314.18232	22878613.8287884	34.0	1.6792823261731609
41	317.50348	681697098.34444	6.0	50.0363307681202
42	321.86807	6070001.23582016	45.0	0.4455359870769693
43	326.23305	1045530772.56895	2.0	76.74159636524573
44	333.06073	136672529.672548	20.0	10.031716312449388
45	365.57767	7388045.83845862	43.0	0.5422800041263584
46	380.10104	159441454.098227	18.0	11.702947474448507
47	452.47334	72591337.8216804	28.0	5.328179038706596
48	563.16738	9223989.00043392	40.0	0.6770375959470715
49	597.02927	2753993.30351672	47.0	0.2021421540484903
50	603.76046	2419321.16792274	49.0	0.17757733528056233
51	606.91169	2201627.93259063	51.0	0.16159872725140506
52	607.32652	972268.897628858	54.0	0.07136420013443046
53	617.15977	2306269.9064027	50.0	0.1692794118642713
