	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	219.62161	152416.910824749	81.0	0.01742211452243394
1	219.89033	201185.356138605	80.0	0.0229966235105868
2	220.2182	241165.036775735	79.0	0.0275665270131666
3	220.62332	311325.155057648	77.0	0.035586225149028046
4	221.1317	417890.264294924	74.0	0.047767219549067
5	221.78198	583029.810095521	73.0	0.06664360317049357
6	222.63055	796152.677378699	71.0	0.09100475168784103
7	223.76566	1245556.77691655	68.0	0.14237418075337488
8	225.32588	1981490.74331296	65.0	0.22649559335863145
9	227.5221	3691304.53416824	60.0	0.4219369752573166
10	230.7264	6840928.80938913	45.0	0.7819568347900305
11	235.4319	11682820.2714483	37.0	1.3354124001910614
12	242.80949	12554231.0315229	36.0	1.4350195761661546
13	256.94711	4897919.57121242	57.0	0.559859895005019
14	293.18309	2793261.65375753	61.0	0.31928559737601575
15	330.17324	20958658.4503432	25.0	2.3956931404961006
16	425.2939	5567154.61030413	54.0	0.636357243169276
17	431.3157	4136891.68002328	59.0	0.4728701049396066
18	432.64449	2044688.46678933	64.0	0.2337194504096933
19	436.1711	6346167.64396772	47.0	0.7254028366898078
20	440.6009	9267014.44296949	41.0	1.0592721374080487
21	443.8043	9966370.22165526	39.0	1.1392124563809156
22	448.0545	6479988.48527263	46.0	0.7406993153422542
23	460.7333	874847370.728084	1.0	100.0
24	467.829	16277090.3359667	33.0	1.8605634400455748
25	472.22769	45043174.9723063	12.0	5.1486895291026045
26	474.19221	30166280.1910422	19.0	3.4481763562867633
27	475.5508	7918439.64951456	43.0	0.9051224150018886
28	478.43198	22999197.3910592	22.0	2.6289382766182774
29	481.18799	110511071.47554	3.0	12.63204019045838
30	483.20425	26300671.208939	21.0	3.0063153972847285
31	485.50448	21858636.9767639	24.0	2.4985657736585805
32	486.87005	39440946.0024359	15.0	4.5083230883590035
33	486.91724	6215365.82136074	49.0	0.7104514489410944
34	487.249	63111810.4556452	7.0	7.214036707125376
35	487.60745	20771559.8652864	27.0	2.3743067145528998
36	489.198	56386612.9098583	8.0	6.445308609995712
37	489.2642	4963711.32231006	56.0	0.5673802640772705
38	496.2263	110661631.169323	2.0	12.649250014574067
39	496.7942	16506460.5215075	32.0	1.8867817488861107
40	497.1668	1006989.7361088	69.0	0.11510461936586056
41	515.604	26827124.686876	20.0	3.0664920058626186
42	521.29787	1752496.53944217	66.0	0.20032026134840758
43	522.21992	18862075.4902729	30.0	2.156041856144016
44	522.92697	20872494.3371046	26.0	2.385844095265858
45	523.85479	40371598.7170929	13.0	4.614701954638555
46	525.68986	74087507.3472709	5.0	8.468620907623261
47	532.9811	7574010.88873753	44.0	0.8657522605839378
48	545.08373	19990114.9755407	28.0	2.2849831461348633
49	548.08638	106841330.10236	4.0	12.212568006398905
50	548.6135	15094855.9793815	34.0	1.7254273698986988
51	550.4181	53101294.528275	9.0	6.0697781470248815
52	552.1768	37596692.9621132	16.0	4.2975145402590265
53	553.4799	22198724.9991925	23.0	2.5374397571450444
54	554.005	16892423.6047492	31.0	1.9308995111559435
55	559.8159	331936.761826994	76.0	0.03794224832049762
56	581.67702	247987.264589106	78.0	0.028346346218394734
57	634.57265	2414568.65529504	63.0	0.2759988468943487
58	636.3906	2578523.37595048	62.0	0.2947397983038489
59	636.9918	4185129.2207225	58.0	0.4783839285290945
60	638.0729	6054873.5570323	50.0	0.6921062758630897
61	638.64581	12567076.3400408	35.0	1.4364878675444792
62	638.8201	9719469.67567993	40.0	1.1109903282433125
63	640.8463	49513739.6437575	10.0	5.659700343221027
64	644.66536	1728737.26455571	67.0	0.1976044419173351
65	650.3992	32939861.2448089	17.0	3.76521234982909
66	654.6788	6217662.45496307	48.0	0.7107139671447461
67	655.0244	68447158.8141712	6.0	7.8238971853120685
68	661.72651	19256163.1227213	29.0	2.2010883003163775
69	664.35372	5274503.96548189	55.0	0.6029056201074515
70	679.10198	10577871.0733449	38.0	1.2091104605528573
71	687.83128	31682915.5950973	18.0	3.621536356533766
72	689.25894	332927.829567826	75.0	0.03805553296579606
73	707.0072	47947813.2598035	11.0	5.480706105328904
74	716.7142	5653093.19827383	53.0	0.6461805095863857
75	723.2128	6053229.96845516	51.0	0.6919184043974909
76	728.7349	973742.084304185	70.0	0.11130422481510081
77	730.94166	39641887.9164371	14.0	4.531291885057103
78	743.8414	720048.60749581	72.0	0.0823056262827373
79	762.14999	8150473.65229545	42.0	0.9316452132115675
80	767.3077	5715527.75078731	52.0	0.653317131882172
