	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	252.6351	28953348.3233785	3.0	68.87402010802518
1	255.1097	20199498.8321871	4.0	48.05042488356135
2	277.5881	42038127.407064	1.0	100.0
3	289.1837	39010725.0378805	2.0	92.79843666710336
4	291.4109	13439355.4017573	10.0	31.969443528302783
5	302.7474	20085050.2958329	5.0	47.77817551515829
6	312.7865	976299.319622222	118.0	2.322413912895099
7	316.8265	711440.660362685	144.0	1.6923700084774376
8	317.029	15442388.3712049	7.0	36.73424418188997
9	320.5471	1070583.3473229	114.0	2.5466960908039913
10	326.0143	746245.70116648	140.0	1.7751639932493342
11	331.7915	10080793.8379215	15.0	23.980121046561045
12	333.7791	2118712.17971155	80.0	5.039977540378086
13	338.3834	588405.335423765	151.0	1.3996944481520617
14	340.6937	14793402.2266519	8.0	35.190440533671456
15	341.9714	3422700.42967185	49.0	8.141895561924356
16	346.377	5951133.39390791	20.0	14.156514005207317
17	348.4621	1307129.85802332	100.0	3.1093912565755075
18	348.8847	877672.112802815	128.0	2.08780021123237
19	349.7845	11811624.0779602	14.0	28.097407773628376
20	350.3868	12450061.5277716	11.0	29.616118261441677
21	350.4961	3895442.92296922	39.0	9.26645205969531
22	351.1019	8901693.57962107	16.0	21.17528569582585
23	355.3418	799690.666018216	134.0	1.9022984974441028
24	360.7405	12100821.7294123	12.0	28.785349100442815
25	362.5215	1741123.11712623	89.0	4.141771350247288
26	362.661	18441383.7502611	6.0	43.86823316768921
27	364.205	14102554.3909128	9.0	33.54705659068686
28	365.7491	871383.451747636	129.0	2.07284078881499
29	373.1012	1444142.29854192	98.0	3.4353154805350563
30	375.4515	1465719.06895278	96.0	3.4866421493039286
31	378.4246	5703757.97409443	21.0	13.568059107066654
32	379.2019	1696887.06806781	91.0	4.036542949776275
33	382.6844	1170086.09333991	111.0	2.7833925189143685
34	383.6611	1184110.68158867	109.0	2.8167541101978166
35	384.8037	2523547.81881706	66.0	6.002997693929174
36	385.8572	610309.533021856	150.0	1.4517999983969334
37	391.8518	2483827.52337508	68.0	5.908511336205958
38	392.2769	3811552.39402119	41.0	9.066893863071323
39	399.6165	3345535.32473021	53.0	7.958335756335411
40	399.928	1826137.28484348	87.0	4.344002450824248
41	400.3688	655531.136447596	146.0	1.5593728286228135
42	400.6825	2518785.40391012	67.0	5.991668895048995
43	402.6936	3644481.161681	43.0	8.669465997832694
44	402.9928	4001826.49639495	36.0	9.519516551354501
45	403.0675	757151.197609333	138.0	1.8011059110166332
46	404.0866	2360486.87497911	73.0	5.615109474601523
47	406.1377	6713254.72539791	18.0	15.969442835528941
48	406.4595	3952524.21304067	38.0	9.402236628590874
49	406.7211	1162268.22127401	112.0	2.7647954201658966
50	406.789	2872467.02700568	61.0	6.8330042372986295
51	409.7177	582123.586822879	152.0	1.3847514690320393
52	410.5012	1968093.23240449	84.0	4.681686254354364
53	413.6201	3789010.21422001	42.0	9.013270685276321
54	414.7879	4068714.08336607	34.0	9.678628269922346
55	417.5179	4036314.58063238	35.0	9.60155656208922
56	420.589	3191537.3660743	54.0	7.592006502026065
57	430.295	2426442.12419238	69.0	5.77200335470853
58	437.881	1114416.09398006	113.0	2.65096511837679
59	438.606	1847619.09277529	86.0	4.395103223519942
60	439.844	914580.496854731	124.0	2.175597614038933
61	440.25	2774569.48871336	62.0	6.600126265964756
62	441.574	3070255.65351283	56.0	7.303502422415017
63	444.104	847715.690459606	130.0	2.016540085744061
64	444.173	1241704.407155	103.0	2.9537576570224355
65	447.351	2270904.0615401	76.0	5.4020105119109125
66	451.097	6220632.99911355	19.0	14.797597759000674
67	451.146	957200.097028975	120.0	2.2769808173428037
68	451.418	395531.532210773	167.0	0.940887609908877
69	452.108	767278.836324151	137.0	1.8251974663248656
70	453.08	4599357.4557246	29.0	10.940918969077899
71	454.715	624448.252001349	148.0	1.4854330830550222
72	455.368	1278466.76908466	101.0	3.0412077034378777
73	456.585	4090032.96387747	33.0	9.7293414720233
74	457.432	3362258.78115922	52.0	7.998117396147938
75	458.069	431843.32657198	162.0	1.0272658493808504
76	461.951	4677229.36137607	28.0	11.12616010719383
77	463.304	997361.122300473	117.0	2.372515580065725
78	466.914	2560366.70950524	65.0	6.090582210555367
79	468.187	5050879.93437468	27.0	12.014997446165836
80	468.485	779499.901139207	135.0	1.8542688488265568
81	468.527	610766.622227259	149.0	1.4528873189642293
82	469.19	3470379.6144722	48.0	8.255314469333486
83	470.609	1493281.43522766	94.0	3.552207311158042
84	474.014	4209635.28494555	32.0	10.013850627033811
85	475.804	844489.365470128	131.0	2.0088653266896515
86	476.898	3533749.22280736	46.0	8.406057645216508
87	478.092	3374826.20548652	50.0	8.0280126962064
88	481.275	3565672.5250439	45.0	8.48199657067677
89	482.542	2919989.16518454	60.0	6.946049563315875
90	483.217	1475709.82006665	95.0	3.510408077355688
91	485.215	1277506.31140601	102.0	3.0389229735084267
92	488.395	2142808.29249366	79.0	5.097297202951973
93	490.456	2289991.03569513	75.0	5.447414470965052
94	492.09	484681.986005337	158.0	1.1529580785367999
95	492.127	1714302.51359101	90.0	4.077970688349316
96	492.6	2220649.48204057	77.0	5.282465273815733
97	493.641	4575889.68369096	30.0	10.88509399903012
98	496.975	803028.928606335	132.0	1.9102395328660515
99	501.253	1529010.8600185	92.0	3.637200214017069
100	503.732	5352812.52917464	23.0	12.733232566099423
101	504.331	2160292.94592154	78.0	5.138889572798927
102	506.787	3086870.96353914	55.0	7.343026804330082
103	506.988	307611.369695331	173.0	0.7317437494697746
104	508.223	493629.759399271	156.0	1.1742429785688373
105	508.737	1202008.26828396	108.0	2.859328762779231
106	509.073	1383153.75885947	99.0	3.2902363739138574
107	509.522	492585.473701706	157.0	1.1717588391411864
108	513.647	3480383.51121812	47.0	8.279111668121743
109	514.162	927172.889908594	123.0	2.2055523095274547
110	514.369	1750222.23502638	88.0	4.163416267519748
111	514.762	733382.366606623	143.0	1.7445647840236267
112	516.181	904618.174463942	125.0	2.1518993120324663
113	521.843	344432.043338785	170.0	0.8193325073773562
114	521.867	1236245.67270508	104.0	2.940772458140806
115	523.539	480960.953733709	159.0	1.1441065133003268
116	529.501	1219697.29567273	106.0	2.901407295958132
117	533.612	769921.535318273	136.0	1.8314838999914564
118	534.956	1509850.51357381	93.0	3.591621717479494
119	535.466	1061562.52586455	115.0	2.5252374245532336
120	539.597	555761.262475112	154.0	1.322040958422242
121	540.252	2366801.8407918	72.0	5.630131470589928
122	543.527	1459116.0898491	97.0	3.470935029336995
123	549.945	1044839.01509054	116.0	2.485455655465204
124	550.566	297167.796035289	176.0	0.7069006503495052
125	551.89	3965800.53542666	37.0	9.433818250334946
126	554.517	220554.703124222	184.0	0.5246539670726638
127	562.07	1212393.25006884	107.0	2.8840324839614815
128	563.57	342305.237387915	171.0	0.8142732764314207
129	564.019	735523.38932253	142.0	1.7496578337096296
130	564.591	3363430.97887565	51.0	8.000905811780918
131	569.924	749197.046805474	139.0	1.782184633370659
132	571.656	166578.488706477	189.0	0.3962557301695734
133	576.654	361661.261460643	169.0	0.8603172495258917
134	576.791	627049.937249115	147.0	1.4916219535120083
135	578.069	888134.365594672	127.0	2.112687744139221
136	581.11	2003448.94224618	82.0	4.7657901667368865
137	584.965	563924.662859626	153.0	1.3414599974899577
138	587.735	5180005.69342782	25.0	12.32216088806416
139	591.651	443802.77828236	160.0	1.0557149084804007
140	593.062	173284.193860145	188.0	0.4122072141372945
141	593.975	1872613.97392638	85.0	4.4545608699299715
142	594.403	3643029.85575941	44.0	8.666013641576345
143	599.723	4545101.18502299	31.0	10.811854536268523
144	602.072	1223131.11859504	105.0	2.9095756496268375
