	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	317.3289	163055042.212283	9.0	17.508188429839745
1	318.2369	149117711.093452	12.0	16.01165439981648
2	318.3109	160696512.813848	10.0	17.254939118657106
3	346.6274	428265653.357672	4.0	45.985427100455
4	363.6068	931307330.085523	1.0	100.0
5	371.8855	503352475.195792	3.0	54.047945177191785
6	398.4968	204256664.982704	8.0	21.932251404479647
7	403.1623	629122604.905833	2.0	67.55263107915836
8	409.5662	231859037.668359	6.0	24.896082117926326
9	423.8179	143936193.056339	13.0	15.45528402993684
10	426.2245	229747190.987048	7.0	24.669320595377474
11	429.7034	326642508.126578	5.0	35.073546355163124
12	485.359	159372883.577187	11.0	17.11281318515464
