	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	227.7584	25549206.7795465	49.0	11.101249452042886
1	231.3175	22058886.9219707	57.0	9.584689202611319
2	234.797	7685232.56861652	110.0	3.339269378393228
3	236.3068	45210092.6215107	26.0	19.64399600629254
4	236.7692	9117258.28864732	98.0	3.961491229622279
5	237.4468	50438186.2583005	22.0	21.91562706401698
6	240.558	48724268.4721726	24.0	21.17092179593286
7	242.4211	53805613.2305105	18.0	23.378789781850067
8	243.1081	24388541.1103226	53.0	10.59693480792674
9	243.3982	53799217.6012791	19.0	23.37601085113362
10	243.5962	230147127.941935	1.0	100.0
11	244.4056	39345963.2028241	37.0	17.0960044362365
12	245.1994	43967863.5759353	27.0	19.104241694916208
13	245.4973	53741624.9816539	20.0	23.350986589418856
14	245.5504	59787193.2499947	15.0	25.97781418548865
15	245.6532	41238440.509976	34.0	17.91829464862158
16	245.9299	54144084.4558401	17.0	23.525857107154685
17	246.4307	16377082.5353175	70.0	7.115918708944027
18	246.6848	58004326.1169129	16.0	25.203150104722187
19	247.2508	35553598.3556582	43.0	15.448204230742432
20	247.415	96510777.5206802	11.0	41.9343827505983
21	248.0128	37583413.2961011	41.0	16.33016828503861
22	248.0658	2691596.56326716	189.0	1.169511254533768
23	248.1439	148440926.400987	3.0	64.49827452916898
24	248.2096	11497615.6155272	85.0	4.99576758499806
25	249.5264	38505140.3711177	40.0	16.73066299607804
26	250.47	26610839.5130667	47.0	11.562533823920013
27	250.5377	1966265.95144567	219.0	0.8543517223216226
28	250.6026	13031345.7911647	79.0	5.662180496318184
29	250.8737	15997807.5637856	72.0	6.951121965693949
30	252.3409	41321013.2554671	32.0	17.954172891478443
31	253.3637	17049837.8921153	67.0	7.40823404775092
32	254.1696	3367009.83015789	170.0	1.4629814676667918
33	254.5342	24336013.5316871	54.0	10.574111330134414
34	254.7139	75941431.6235199	14.0	32.996906067269954
35	255.0378	24986604.1330082	52.0	10.856795979358125
36	255.1349	117407523.10282	8.0	51.01411612333539
37	255.3824	26070089.3133803	48.0	11.327575341265025
38	255.6746	14055532.009871	76.0	6.107194182938986
39	256.1965	41243786.9562208	33.0	17.920617704439223
40	258.0336	11592203.08	84.0	5.036866279263175
41	258.0484	42003748.8115196	31.0	18.250824673387598
42	258.6341	1917025.02884454	225.0	0.8329563118980986
43	258.7759	3622045.4789249	159.0	1.5737956459916043
44	259.3383	681692.582874165	311.0	0.2961986052009968
45	260.1966	17458979.7795262	66.0	7.5860081051852255
46	260.2806	7382859.62832376	114.0	3.2078869262215686
47	260.3547	18268839.984657	65.0	7.937896139753758
48	260.5505	2428509.71486264	197.0	1.055198792433048
49	260.7381	11648539.5463833	83.0	5.061344736538346
50	261.3075	43043490.4174401	29.0	18.702597248269708
51	261.5124	12352478.9995988	82.0	5.3672097106140155
52	261.8809	2137735.76493454	206.0	0.9288561556474778
