	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	368.59	206969.126893746	49.0	0.36206275204054417
1	369.3487	200580.895820947	50.0	0.3508874595821866
2	379.6306	110305.155340953	63.0	0.19296302161775203
3	395.09237	301084.954449086	42.0	0.5267048706341717
4	396.75405	402520.895825137	38.0	0.7041524766691087
5	397.44158	76226.7960090807	69.0	0.13334782803838016
6	419.35296	187064.87334835	52.0	0.32724312012675366
7	420.3695	67125.4035753555	73.0	0.11742624958167024
8	450.0979	606597.099476051	29.0	1.0611544751254745
9	452.4681	321468.206444091	39.0	0.56236244151737
10	458.2747	164531.780516108	58.0	0.2878247115685779
11	462.4276	1755346.04214751	20.0	3.0707257084274286
12	467.1226	2571506.61782577	16.0	4.49848137697586
13	469.0972	124792.471190384	61.0	0.21830649928927176
14	469.7021	547866.906038188	32.0	0.9584144395311671
15	473.4152	921733.481713442	23.0	1.6124402998926968
16	479.262	55365.5451383994	77.0	0.09685406679675944
17	480.7019	587240.507601576	30.0	1.0272928986218641
18	482.9708	248225.741672247	47.0	0.43423527221670205
19	484.3293	486169.606441699	33.0	0.8504838779994329
20	491.6506	680388.377580667	28.0	1.1902417145032704
21	492.3151	691728.764951259	27.0	1.2100800929234021
22	502.8279	70361.0314442211	71.0	0.1230865156723804
23	520.607	26993.0410882991	91.0	0.04722044726695117
24	530.636	40293.4193695491	84.0	0.07048754819143775
25	546.0034	65344.2902034549	74.0	0.11431044763185763
26	553.278	41562.213540322	83.0	0.072707121304286
27	555.728	14427.7953682866	97.0	0.025239355141124235
28	564.619	63902.7632264426	75.0	0.11178870329118742
29	571.5712	96730.2584547097	65.0	0.16921568983419036
30	572.213	53791.3958601042	78.0	0.09410031879397258
31	572.6063	22431.0490592211	93.0	0.039239897638005915
32	579.225	19850.2170301199	94.0	0.034725102793794795
33	582.0498	98076.0915657937	64.0	0.17157003150485178
34	591.666	29361.4955672742	88.0	0.051363718099710284
35	599.8116	91341.2440174461	66.0	0.15978838332125533
36	600.7905	42068.9573386801	81.0	0.07359359677512857
37	600.978	29876.4355076074	87.0	0.05226453154339045
38	610.387	16809.0735613252	95.0	0.029405059219241705
39	610.8352	42054.4415220302	82.0	0.07356820343940139
40	611.1949	180918.59765779	54.0	0.3164910938476531
41	618.9102	23499.9866653449	92.0	0.041109850404591745
42	619.8256	199140.497797966	51.0	0.34836769018439623
43	631.4953	46370.9013354889	80.0	0.081119229732978
44	641.8929	33846.9319530034	85.0	0.05921034462944213
45	643.0141	73699.7196208729	70.0	0.12892707096478573
46	646.15	15878.7459913717	96.0	0.027777584796694225
47	648.7765	296259.835200969	43.0	0.5182640177392668
48	653.3156	176386.883026421	56.0	0.30856351017601596
49	654.3357	77170.0011065099	68.0	0.1349978298451192
50	666.6963	308567.384244691	41.0	0.5397943065534608
51	681.5624	29105.0164525607	89.0	0.05091504473712821
52	686.6842	273949.790778114	44.0	0.47923580032772695
53	688.2154	2434762.10161939	18.0	4.259266492093285
54	691.0818	119799.376404903	62.0	0.2095717973249607
55	697.6182	778427.15349495	26.0	1.361746467636981
56	701.9026	143318.954770168	59.0	0.25071592059380365
57	703.5534	63608.5101432258	76.0	0.1112739497977324
58	704.7366	169839.515458157	57.0	0.2971098312821408
59	711.9598	4464749.0584543	13.0	7.810437022833278
60	728.5302	1147931.79392781	21.0	2.0081417489755116
61	731.6867	52050.5706647778	79.0	0.0910549952208342
62	738.6004	436562.536807031	35.0	0.7637034367705554
63	739.3794	1880373.34740585	19.0	3.2894430161797454
64	742.4037	236863.813989051	48.0	0.41435921211438786
65	744.1938	181519.953786584	53.0	0.31754307999754583
66	751.495	31264.0846128824	86.0	0.05469202428814361
67	764.2023	5138870.42191224	11.0	8.98971549651698
68	780.2649	445147.115195684	34.0	0.7787209233065987
69	788.132	180015.47499807	55.0	0.31491121050700266
70	788.7393	2573766.57483212	15.0	4.502434847068201
71	796.7338	852675.873217768	24.0	1.4916339354047297
72	806.1339	828779.037093037	25.0	1.449829853886698
73	820.6335	5095374.55985921	12.0	8.913625734948916
74	823.1634	37723236.3192322	2.0	65.9913822056604
75	826.652	3664790.90806561	14.0	6.411025169510411
76	828.0117	8648443.57665821	9.0	15.129209506883495
77	834.6823	15911045.0652014	7.0	27.83408738591926
78	834.746	270096.116610628	46.0	0.47249435103290616
79	840.9191	2447120.38611678	17.0	4.280885535294457
80	843.7563	27515.1395808975	90.0	0.048133783569342975
81	852.2543	85620.5710148678	67.0	0.14978088779801782
82	853.0104	141085.952951927	60.0	0.24680960473038055
83	857.6022	405120.912424296	37.0	0.7087008321623698
84	862.4216	317053.501644244	40.0	0.5546395497350619
85	864.8504	554483.610744462	31.0	0.9699894137862553
86	869.2162	416763.246210752	36.0	0.7290674224561139
87	881.941	57163882.704667	1.0	100.0
88	893.0837	5150222.67221741	10.0	9.009574627436798
89	895.2251	9823853.47851566	8.0	17.18542025787485
90	895.2787	273376.906018504	45.0	0.4782336207477118
91	904.5448	17043395.303582	5.0	29.814971442082495
92	916.2653	17614821.7561432	4.0	30.814599923432215
93	924.5188	69206.146203007	72.0	0.1210662098663862
94	930.6622	997908.606765657	22.0	1.745697737015658
95	979.9699	26306768.5838993	3.0	46.019912117956174
96	992.319	16287583.9612199	6.0	28.49278808678638
