	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	274.25002	255119.344219577	166.0	0.09279652081648734
1	288.64547	193518.333864831	171.0	0.07038991163838886
2	294.84025	17549987.9311107	30.0	6.383592061042324
3	297.45861	26772647.7076117	23.0	9.738221019310798
4	298.425284	45857553.1519569	10.0	16.68012043021
5	299.525466	2474858.17930499	97.0	0.9001991960126177
6	299.6943	6541471.70239155	67.0	2.3793798030422315
7	300.52598	2461329.68544348	98.0	0.895278372912842
8	302.228076	4940656.10580457	79.0	1.797102836603392
9	303.846861	527656.873819101	146.0	0.19192869213858482
10	304.536308	8200109.52452269	56.0	2.982688892203
11	315.56477	245855.76137112	167.0	0.08942700659457782
12	317.28347	622913.74686242	141.0	0.22657720704958986
13	318.59424	224424.45017501	168.0	0.0816316309768718
14	320.93774	268599.917519608	163.0	0.09769991340195056
15	334.03796	90416.5708023268	184.0	0.032887914557322206
16	334.93412	117324.016395869	180.0	0.04267516664821259
17	348.4047	800167.020392203	137.0	0.2910509032219197
18	351.05176	358664.261880267	154.0	0.13045970992719516
19	355.26902	19069008.3348813	28.0	6.9361170330328665
20	357.60514	2555503.968866	96.0	0.9295331091764868
21	362.09363	192019708.5384	3.0	69.84480512470726
22	369.25229	1154952.88813212	127.0	0.4200998950254834
23	391.81682	1190477.55089674	125.0	0.43302155378021295
24	398.97799	1962075.03176144	104.0	0.7136806387039498
25	403.98222	18819200.6195826	29.0	6.845252551847611
26	407.736	190088844.643104	4.0	69.14247715266832
27	408.37033	28632416.2501662	22.0	10.414688932008435
28	408.62186	302012.679864352	161.0	0.10985339437747295
29	410.23691	274923393.651898	1.0	100.0
30	412.829876	256506911.981418	2.0	93.30123150822205
31	414.28358	187450342.287254	5.0	68.18275440197698
32	416.750671	40211273.9851612	12.0	14.626355891734638
33	417.41339	34735030.5591859	17.0	12.634439760759914
34	423.13004	399677.706079126	153.0	0.14537784535905632
35	423.25415	742786.681021137	139.0	0.27017951115561933
36	423.5934	34590679.6720914	18.0	12.581933902609016
37	431.78625	546082.113678825	145.0	0.1986306463138827
38	435.24004	220411.148304076	169.0	0.08017184182702028
39	436.60258	6550298.62871979	66.0	2.3825904888303664
40	437.93265	2622033.71018034	94.0	0.9537324835660589
41	438.54726	2217356.44614618	99.0	0.8065361105478526
42	439.4008	1270565.55385971	124.0	0.4621525789356697
43	440.96981	143657.787536621	178.0	0.052253751719112465
44	441.74311	1138717.1779861	129.0	0.41419435532936816
45	443.73401	4384860.49749964	81.0	1.5949390261971137
46	444.36502	6700648.98905186	64.0	2.4372785815149927
47	445.90084	926433.770467266	133.0	0.3369788791565319
48	447.23218	434325.203331732	152.0	0.15798044595712543
49	447.69471	13745706.1327441	35.0	4.999831389448295
50	447.74436	11283233.6060614	40.0	4.10413732210362
51	448.44371	1881767.6791549	108.0	0.6844698278159453
52	448.72741	10454250.785893	41.0	3.8026050264496383
53	448.74634	26290476.6269469	24.0	9.562837224479823
54	449.17366	1888058.92845974	107.0	0.6867581923022378
55	450.59441	35277214.4369976	16.0	12.831652471766311
56	451.25585	175597.31331818	173.0	0.06387136103103597
57	451.35737	5151263.11052807	76.0	1.8737085418967605
58	451.40066	10363595.7176971	42.0	3.7696303614014233
59	452.77815	42783089.9253871	11.0	15.561822279684977
60	453.40865	1525452.68371624	118.0	0.5548646346362707
61	454.43068	12636955.2771789	37.0	4.596536914999506
62	455.93627	8104968.49174089	57.0	2.948082512761072
63	456.49314	1175229.4366697	126.0	0.4274752399418399
64	458.1324	3141540.12204641	86.0	1.142696545505385
65	458.177	1846536.40346442	111.0	0.6716548849976965
66	458.2161	1925301.56445116	105.0	0.7003047426691286
67	459.65271	6497701.25563074	68.0	2.3634588418685047
68	460.4793	7599137.3877136	60.0	2.764092675698403
69	461.29898	3499431.86432818	84.0	1.2728752609387195
70	464.36881	39213078.9543136	13.0	14.263274737530827
71	465.37837	4695099.45905847	80.0	1.707784629271419
72	465.83188	20478140.2255494	26.0	7.4486714111634935
73	467.48486	36577498.2604935	15.0	13.304614705435773
74	468.97666	10124531.0668905	43.0	3.6826735376728106
75	469.45524	345891.635520784	156.0	0.12581382432618463
76	470.88512	2071218.61992773	101.0	0.7533802752887088
77	472.58421	2839696.92045189	89.0	1.0329047967622036
78	473.22799	5107607.68647201	77.0	1.8578294188159015
79	473.27558	329273.176021301	157.0	0.11976906426457819
80	475.2787	14933816.472608	34.0	5.4319918993568335
81	476.09753	7436931.2211724	61.0	2.7050921794559537
82	476.29523	775853.147266267	138.0	0.28220703118798074
83	476.60746	507139.188968997	147.0	0.18446563685705317
84	478.01647	1752985.52327622	114.0	0.637626903986138
85	478.10305	9499543.9830801	46.0	3.4553421798321806
86	478.68762	19710230.0291595	27.0	7.169353530575198
