	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	193.349457	63110085.8761751	27.0	1.551998712797061
1	199.431719	108537502.296113	23.0	2.669146484514095
2	200.068449	80715789.4453926	24.0	1.9849569142947292
3	201.590491	62550632.2162651	28.0	1.5382406684528729
4	203.392686	42465153.9452876	30.0	1.0443000250566246
5	206.591012	209936250.197067	22.0	5.162737232121109
6	207.554294	1923996.63303932	77.0	0.04731478742972482
7	211.139639	267507.867354106	126.0	0.006578534318765558
8	211.382492	1830572452.97787	4.0	45.01730668339884
9	212.044026	297644240.668323	17.0	7.319645853359324
10	212.079682	1604103.64435224	85.0	0.03944800195823526
11	212.542016	5684950.89525899	51.0	0.13980390533880205
12	212.903279	1135318.97763082	92.0	0.027919683002084004
13	214.553088	2254356.94432213	71.0	0.05543898454896398
14	214.560925	600405468.246709	10.0	14.76512828240322
15	214.57073	15034949.6301392	38.0	0.36973840470962926
16	216.603582	282451206.475189	18.0	6.946019844396352
17	216.650863	241177748.426873	20.0	5.931025919505307
18	217.078956	3670680.22838068	60.0	0.09026910533308416
19	217.168597	19278363.8330568	35.0	0.47409214293325447
20	218.676813	427388431.448223	13.0	10.51030570253754
21	220.016534	137170.107547886	136.0	0.0033732774625952694
22	220.203378	13129119.5721112	40.0	0.3228703683917445
23	220.355647	1970850.32589893	76.0	0.048467010089516115
24	220.429876	1434914.31801736	87.0	0.035287310160003
25	220.587428	8997869.68358552	46.0	0.22127496695599144
26	220.840106	2736302.02277922	65.0	0.0672909434081525
27	221.031008	99690.5610234886	140.0	0.0024515831382330585
28	221.958792	2703377.62609553	68.0	0.06648126900249628
29	222.400468	82045.7927254199	146.0	0.002017664259720756
30	222.600217	2730675.78897967	66.0	0.06715258346942687
31	222.951923	497180364.391926	12.0	12.22662391995795
32	224.032091	1923473.17679845	78.0	0.047301914631332036
33	224.050161	387670.970345248	115.0	0.00953357674310738
34	224.172144	1300730.4434554	90.0	0.03198746992516499
