	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	190.4327	474747.576769647	39.0	0.13277428825723628
1	190.6409	585094.299406855	34.0	0.16363533584670695
2	190.6596	351246.318614005	51.0	0.09823426645856796
3	190.6673	480142.412360542	38.0	0.1342830804889309
4	191.0825	1692852.31126069	14.0	0.4734458304803843
5	191.1013	595738.695167435	32.0	0.16661229063319782
6	192.9977	359789.896642513	47.0	0.1006236783216552
7	193.105	45854583.8218127	3.0	12.82430922912763
8	193.2377	291396.256363745	52.0	0.08149579362317041
9	193.4503	1073723.19618196	22.0	0.3002918606312713
10	193.4713	216856.557186086	63.0	0.06064901948571273
11	193.6908	290918.755836821	53.0	0.08136224940787143
12	193.9262	358682.164512993	48.0	0.10031387506562288
13	195.8761	1622950.82583182	16.0	0.45389624154073377
14	195.8839	19360.7525472781	120.0	0.005414688279360326
15	195.9036	290567.464981703	54.0	0.08126400268573555
16	195.9117	387508.22929196	44.0	0.10837575978408119
17	198.365	12358.4591651669	130.0	0.00345633279642274
18	198.8697	6662.21009955323	142.0	0.0018632432211814216
19	199.0533	357559873.226263	1.0	100.0
20	201.6052	586319.490865923	33.0	0.1639779893575758
21	201.6189	51100.3004139121	86.0	0.014291396837355952
22	201.6234	405541.650567712	42.0	0.11341922875979045
23	201.6332	50780.1201963577	87.0	0.014201850934269731
24	201.637	273809.237413708	57.0	0.07657717152182851
25	202.2082	285195.178618382	55.0	0.0797615168741016
26	207.4009	2633377.32410671	12.0	0.7364856968836421
27	209.4263	1330490.69933049	21.0	0.3721029116957313
28	209.4741	115422.559490804	74.0	0.03228062434672721
29	209.4789	923359.385981558	27.0	0.25823909647637067
30	209.5097	115503.550752074	73.0	0.0323032754514329
31	209.5138	623787.506113553	31.0	0.17445679809792913
32	219.2604	2224496.37550656	13.0	0.6221325551536103
33	219.4191	192576.3079653	65.0	0.053858478645180126
34	219.4244	1539167.97306045	18.0	0.43046440283484166
35	219.5457	192764.891540858	64.0	0.053911220462615185
36	219.5502	1041815.08038159	23.0	0.2913680080992568
37	224.3047	103487.917947779	77.0	0.028942822082916476
38	232.4198	404845.43244945	43.0	0.11322451504318128
39	232.5437	35118.1143414154	103.0	0.00982160386861776
40	232.5496	280025.655675435	56.0	0.0783157386058909
41	232.6443	35113.9070157589	104.0	0.009820427191375278
42	232.6493	189271.610551711	66.0	0.052934242549062656
43	247.5256	812748.717483361	28.0	0.2273042302397998
44	252.6484	109340.343320591	75.0	0.03057959002334714
45	263.1546	12947543.0988267	4.0	3.6210839270080872
46	263.7691	553803.415972097	37.0	0.15488410681409198
47	263.8178	48093.8669708689	91.0	0.01345057725211666
48	263.8254	382622.589368634	45.0	0.10700937605672306
49	263.8628	47987.9966457963	92.0	0.013420968134036006
50	263.8692	259388.209222159	60.0	0.07254399294912459
51	281.6185	81281488.68445	2.0	22.732273605269818
52	299.4273	11853.1836106426	131.0	0.00331502064358937
53	299.5528	35476.2309688152	102.0	0.009921759577973093
54	299.8149	49635.432836404	88.0	0.013881712281790306
55	299.8172	8839.26058282052	136.0	0.0024721064204055853
56	302.407	24226.3544993211	112.0	0.006775467918345168
57	302.6765	40140.1083776087	97.0	0.011226122219874528
58	307.4684	37592.1779110386	99.0	0.010513533739634807
59	308.8518	48275.865337727	89.0	0.013501477361576912
60	327.5766	98930.4303478623	80.0	0.027668213844918604
61	335.1462	23773.5692784238	113.0	0.00664883591772054
62	342.89	32758.0399390095	106.0	0.009161553740198442
63	358.6557	11641932.7104078	5.0	3.2559393774705847
64	358.6931	1009776.8110284	25.0	0.28240775507530613
65	358.7072	8054774.80426913	6.0	2.25270658354107
66	358.7325	1007709.94140323	26.0	0.2818297065357649
67	358.7445	5423831.517912	9.0	1.516901622369637
68	364.9204	63761.6005133097	84.0	0.01783242619983857
69	365.1067	47796.7970307957	93.0	0.013367494679849047
70	365.1087	143307.973500348	69.0	0.040079434028007684
71	365.5004	266432.654162163	58.0	0.07451413710328873
72	365.5016	47493.4258156383	94.0	0.013282649808297863
73	370.3225	234413.348968157	62.0	0.06555918785098708
74	373.1954	26409.7086765061	111.0	0.007386094093336392
75	373.3903	78921.1527716502	81.0	0.022072150339338858
76	373.8012	131035.561143219	70.0	0.03664716623844982
77	386.6168	68199.520734358	83.0	0.019073594617593323
78	399.5837	17927.0013515984	123.0	0.005013706149362637
79	399.6141	12382.1228044447	129.0	0.0034629508878389506
80	399.6368	8350.53353046763	137.0	0.0023354224441128587
81	402.6318	41025.4176834402	96.0	0.011473719719516575
82	422.6816	26685.0919484341	110.0	0.007463111480506606
83	422.7495	18411.8693361078	121.0	0.005149310846873697
84	422.7987	12425.6250571169	128.0	0.00347511731252181
85	434.6903	7680.44694746743	141.0	0.002148017023880994
86	434.7275	10110.2349422413	133.0	0.0028275641925411383
87	434.7825	13163.6867057678	127.0	0.0036815335532457386
88	458.5818	33023.6188277361	105.0	0.009235829101784818
89	458.8199	22904.3992621418	115.0	0.006405752148717189
90	458.975	15450.4428982855	125.0	0.004321078525639956
91	463.937	13723.7036350387	126.0	0.0038381554147029176
92	463.979	17987.5344974163	122.0	0.005030635662529681
93	464.042	23438.6152227843	114.0	0.0065551581645047746
94	466.3046	5709874.51026302	8.0	1.5969002502274146
95	514.442	28262.8863820237	107.0	0.00790437867845954
96	514.494	36955.4124420854	101.0	0.010335447350016288
97	514.571	48196.9930805814	90.0	0.013479418886045544
98	515.823	39028.4726070175	98.0	0.010915227219112584
99	528.3733	3767.27136535827	158.0	0.0010536057447851118
100	528.5838	4335.54055000652	153.0	0.0012125355428971754
101	559.33	1378791.6436985	20.0	0.3856114029959968
102	561.329	7830.21520973403	140.0	0.002189903229096149
103	585.376	59466.7602630685	85.0	0.01663127344981412
104	586.162	5174.950665938	148.0	0.0014472962581747266
105	586.177	41253.8355359419	95.0	0.011537602126242108
106	586.779	5149.68857144154	149.0	0.0014402311212877153
107	586.79	27688.740692733	109.0	0.007743805378074859
