	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	192.6674	6291.08064793533	10.0	0.039704029155664795
1	192.7461	3783.04110078409	13.0	0.023875385258636694
2	192.782	1256.65329398336	27.0	0.007930942522450784
3	193.6915	298.565457873425	47.0	0.0018842949737373535
4	193.7048	897.618472335105	31.0	0.0056650155975909635
5	193.7299	239.821089048408	55.0	0.0015135497452009705
6	193.7321	180.236079812858	58.0	0.0011374990988457607
7	193.7455	297.89038692961	48.0	0.0018800344916460661
8	193.7566	239.485023249926	56.0	0.0015114287795024097
9	200.5868	912.65182201557	30.0	0.005759893502902251
10	200.6085	657.235795089006	35.0	0.004147921578294266
11	200.6238	391.824267338206	42.0	0.0024728664286633784
12	203.036	46.5779917599169	69.0	0.00029396125186457247
13	203.038	139.732244091743	60.0	0.0008818728297857398
14	203.053	232.488527348058	57.0	0.0014672727603983748
15	203.9842	164.447734999783	59.0	0.0010378562969395812
16	212.3856	1759.4558226668	23.0	0.011104210737497596
17	212.4545	948.444175435108	29.0	0.005985784843873312
18	212.4705	318.780712572775	44.0	0.0020118767211173678
19	212.496	420.772933802585	41.0	0.0026555661525488974
20	212.4987	315.45593622857	46.0	0.0019908935189786856
21	212.5148	21.0607189565265	73.0	0.00013291760927649552
22	222.0295	2025.35117194745	18.0	0.012782319363184875
23	226.464	481.939770282026	40.0	0.0030415999669042323
24	232.303	290.234728554288	49.0	0.0018317183913844441
25	232.8651	3118.29763330305	16.0	0.019680081543595806
26	239.3212	1584.28044136926	25.0	0.009998650526840491
27	239.5044	108068.593832064	2.0	0.6820384033271215
28	242.5256	535.048755956131	38.0	0.0033767793794149403
29	245.9657	365.823114759861	43.0	0.002308768942424618
30	245.9694	1095.92863286419	28.0	0.006916583147928348
31	245.9909	1826.70316269366	21.0	0.011528619594812694
32	251.9263	557.58502760914	36.0	0.003519009440805857
33	266.9498	262.187646054935	52.0	0.0016547087099633175
34	270.8698	105.720716050942	61.0	0.0006672205662825116
35	270.8742	316.760954917852	45.0	0.0019991297033463023
36	270.9003	529.20385376206	39.0	0.003339891254764756
37	279.693	75.929061451217	63.0	0.0004792006077065273
38	291.8078	3418.51344338163	14.0	0.02157479215746521
39	303.2258	252.543158696034	53.0	0.0015938407877860812
40	303.226	52.7241686117205	67.0	0.00033275076968770987
41	303.2262	1772.79974452648	22.0	0.011188426390136149
42	317.933	1924.59865721454	19.0	0.012146453920293938
43	322.206	59.4332564505848	66.0	0.00037509290994458403
44	322.426	9.18467915748065	85.0	5.796599812684315e-05
45	322.4265	28.2605512537866	72.0	0.00017835691731336344
46	322.527	12.1223904236164	83.0	7.650636985135102e-05
47	330.242	538.938342478812	37.0	0.0034013271900920606
48	332.3138	1599.54172315852	24.0	0.010094966948616524
49	332.3206	4800.19924643177	11.0	0.03029483510052856
50	332.3598	8005.79417130527	6.0	0.050525863993823535
51	345.130358	15844942.6461741	1.0	100.0
52	369.177	104.344784729841	62.0	0.0006585368408072841
53	378.849	36.404392121558	71.0	0.00022975401637284032
54	412.1928	30084.5029451212	4.0	0.189868171926677
55	419.4792	1898.91155576643	20.0	0.011984338461615946
56	447.2029	879.110056703797	32.0	0.0055482059880858315
57	447.2151	2642.11503430147	17.0	0.016674816017333026
58	447.2862	4394.73232161977	12.0	0.027735867650369294
59	478.42	277.146440031287	51.0	0.0017491160821475516
60	478.4203	1389.70277952651	26.0	0.008770639380396027
61	494.0365	6659.03605325969	8.0	0.04202625532928371
62	534.765	19.5746111278675	75.0	0.00012353854201292399
63	539.322	14.502428810551	78.0	9.152717768942344e-05
64	578.747	12.8864977208359	81.0	8.132877479330894e-05
65	608.0394	6813.29043344513	7.0	0.04299977971261548
66	614.891	278.511900239313	50.0	0.0017577337227317898
67	618.638	3.44087883227649	89.0	2.1715943750085585e-05
68	619.359	2.37861881492292	90.0	1.5011848689128947e-05
69	619.735	1.62500975444384	91.0	1.0255699820006689e-05
70	628.551	677.66697327688	34.0	0.004276866053791042
71	657.112	13.5808572928535	79.0	8.571099054203719e-05
72	671.765	65.1326438349041	64.0	0.00041106266705629856
73	678.614	19.9338566552471	74.0	0.00012580579873578974
74	703.0272	32661.1083333756	3.0	0.20612954595491648
75	703.2027	19649.7691974118	5.0	0.1240128767658014
76	703.2329	6533.67976585211	9.0	0.041235111491108645
77	715.955	15.9622789996837	76.0	0.00010074052873607551
78	716.016	12.8933453498976	80.0	8.13719912896675e-05
79	716.511	9.66332562549541	84.0	6.098681352960723e-05
80	716.846	12.6203109158648	82.0	7.964882674354195e-05
81	717.045	47.6801657522611	68.0	0.00030091725048795866
82	717.602	15.8398441424097	77.0	9.996782251675975e-05
83	722.85	62.1741762055776	65.0	0.0003923912985610592
84	763.862	250.235030954717	54.0	0.001579273819682386
85	863.28	1.16736784917656	92.0	7.367447615586234e-06
86	864.0	3.49918527911234	88.0	2.2083925182002785e-05
87	865.58	5.82128522803154	86.0	3.673907415144314e-05
88	912.1	38.9109950141543	70.0	0.00024557359331022697
89	922.643	720.829929809918	33.0	0.004549274465085985
90	944.636	3382.93395030806	15.0	0.021350244212621997
91	965.95	5.29128817470273	87.0	3.3394176885710336e-05
