	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	192.4671	96114730.0070518	30.0	0.15850867038722216
1	195.4272	46977180.503635	36.0	0.0774729369746489
2	197.0332	7827364.62376948	51.0	0.012908584969844383
3	198.57548	60046050.8787157	33.0	0.09902560914534547
4	199.95465	383838572.432777	18.0	0.6330116284484707
5	200.92785	10391906.2266746	48.0	0.017137927127902585
6	202.40564	141254640.116258	25.0	0.23295165256366945
7	205.27516	95436360.7301009	31.0	0.15738993018878286
8	205.40871	10735539.8179579	46.0	0.017704634266867716
9	207.99753	18533058.6655692	43.0	0.030563998744752532
10	215.39337	153460690.161646	24.0	0.25308139504156435
11	220.08852	27467828.3855967	38.0	0.04529887308122171
12	221.47634	55429057.3525815	34.0	0.09141144319013494
13	223.27858	240105082.458203	20.0	0.3959719532154101
14	223.53793	26529608.6834826	40.0	0.04375159767918614
15	224.56883	295224227.584691	19.0	0.4868723012290698
16	225.47778	476397955.877091	15.0	0.7856569597160385
17	228.59895	48082427.1174774	35.0	0.07929566665611691
18	252.84078	622101223.374368	13.0	1.0259451153439292
19	263.47799	936337051.135771	11.0	1.54417060734535
20	264.13711	103564786.797535	28.0	0.17079501396933644
21	264.72608	121260795.436539	26.0	0.19997858240180796
22	277.1353	202448723.877275	22.0	0.33387055283849154
23	355.2446	638258.668983728	64.0	0.0010525913455336786
24	357.6275	886725.372476313	63.0	0.0014623529585894115
25	384.2796	563124.735139592	65.0	0.0009286833872662856
26	389.1779	7079173913.4942	6.0	11.6746979821464
27	413.06491	9798113537.45751	4.0	16.158667344864664
28	416.60013	1078836184.01063	10.0	1.7791746289107102
29	421.6129	5289962.63752588	53.0	0.008724000410871364
30	426.7923	75897696.4700133	32.0	0.1251675258519908
31	428.7794	1288057.63954583	60.0	0.002124214507095154
32	430.9265	120635055.45332	27.0	0.19894663638540766
33	432.5726	8562711.7909783	50.0	0.01412129088639566
34	432.9617	950309.580581408	62.0	0.0015672135588701759
35	440.5225	2037298.26071362	58.0	0.003359832966957545
36	450.9625	2369657.95197357	56.0	0.003907947628966762
37	452.4926	1452384564.53371	9.0	2.3952160735224712
38	455.4033	60636891201.1263	1.0	100.0
39	470.8904	10720675.8058438	47.0	0.017680121116836988
40	484.3475	17172563.6754773	44.0	0.0283203233795705
41	484.7187	2319633.53580526	57.0	0.003825449309581646
42	485.0916	1904437.49001803	59.0	0.003140724157017232
43	489.9927	2103893871.62519	8.0	3.4696598554942266
44	493.4077	29628673904.6836	2.0	48.862455376230216
45	495.7095	160982021.240411	23.0	0.26548528140476446
46	499.7795	4113796.41460231	55.0	0.006784312871445326
47	501.2952	208817577.837721	21.0	0.3443738188112162
48	536.134	14076630.938667	45.0	0.0232146316538166
49	539.159	19353440.4736725	42.0	0.03191694048014292
50	542.105	974511.443734335	61.0	0.0016071263292538882
51	578.4151	26725398.4892326	39.0	0.044074486603521965
52	585.3675	2549964642.90894	7.0	4.205302403203638
53	598.1262	41909708.7705461	37.0	0.06911585990042915
54	599.9907	4634345.13116736	54.0	0.0076427815466259905
55	613.5597	5947790.66283416	52.0	0.009808864776899517
56	614.1713	16688579424.5189	3.0	27.522155397387717
57	637.8918	10166687.7308128	49.0	0.01676650555367515
58	649.6898	7319511047.11073	5.0	12.071052625096938
59	676.948	424366336.914381	16.0	0.6998484396352078
60	687.4078	930292285.031788	12.0	1.534201814446761
61	871.0768	539678690.785838	14.0	0.8900170838174728
62	873.7751	384610879.834996	17.0	0.6342852877455103
63	889.7462	25543153.8206381	41.0	0.04212477472816689
64	960.3115	98753327.4564908	29.0	0.1628601425639323
