	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	229.681	22559.0067283074	41.0	1.9916081862273623e-05
1	229.691	44846.9744461474	32.0	3.959287858290292e-05
2	230.2957	18873.3425795833	43.0	1.6662215688692154e-05
3	230.2985	26959.1231581433	40.0	2.380069788617788e-05
4	238.195	34110.8318362671	37.0	3.01145403883798e-05
5	238.198	48672.1512454529	31.0	4.296991265138622e-05
6	241.3337	41917.7713300305	33.0	3.7006849430360154e-05
7	241.3449	83933.8743870447	24.0	7.410051042772999e-05
8	245.3839	80797.1691580043	25.0	7.133128929704072e-05
9	245.3865	40400.31199668	35.0	3.566716968870926e-05
10	245.4846	6070.65043984231	55.0	5.359436812678242e-06
11	245.4963	12181.8346180637	47.0	1.0754658589715253e-05
12	250.7413	66748.3855469124	26.0	5.8928406145594995e-05
13	250.7446	100182.709146692	21.0	8.844569535263264e-05
14	261.7994	93283.5898683271	23.0	8.235484986549115e-05
15	261.8126	186557.759962373	17.0	0.0001647013835405592
16	269.7448	14473.5113115743	46.0	1.2777851418172117e-05
17	269.7588	28866.9671639873	39.0	2.5485026361205913e-05
18	272.885	162953.270009822	18.0	0.0001438623031735003
19	272.8887	233461.08570378	16.0	0.00020610969935557185
20	272.8889	11689.9567687853	48.0	1.0320407222602748e-05
21	304.6522	273770.087608575	14.0	0.00024169625648510527
22	304.669	494517.810359046	10.0	0.00043658204069350984
23	304.6701	54868.5441594899	29.0	4.8440360442508106e-05
24	313.04219	113270305295.542	1.0	100.0
25	313.10667	56634545666.9105	2.0	49.9994641306396
26	319.7103	572952.251210595	9.0	0.0005058274096778168
27	319.715	818804.104381878	7.0	0.0007228762227182801
28	319.7157	40912.4658279806	34.0	3.611932158321003e-05
29	323.3528	10817.5926712324	49.0	9.550245885722133e-06
30	323.3538	19493.7036891529	42.0	1.7209897720581243e-05
31	324.1632	49125.295439842	30.0	4.336996824689889e-05
32	324.1835	97891.0512800058	22.0	8.642251914532317e-05
33	327.4587	285633.206656967	13.0	0.0002521695389729021
34	327.4674	142827.157158599	19.0	0.00012609408687116894
35	436.0665	1274173.92495096	6.0	0.0011248966987653277
36	436.0986	2291594.05240344	5.0	0.002023119869258117
37	436.1032	255093.676808427	15.0	0.00022520790081993958
38	467.3332	4048422.52247245	4.0	0.0035741251971639068
39	467.342	5762771.19146731	3.0	0.005087627491098602
40	467.3448	287489.548984937	12.0	0.000253808399504907
41	470.234	4781.65602953741	56.0	4.221455938572104e-06
42	470.252	8612.71822523041	50.0	7.6036858934548865e-06
43	482.812	108130.148386802	20.0	9.546204374100657e-05
44	482.818	60184.3977910854	28.0	5.313342948450064e-05
45	521.8119	8334.09683495877	51.0	7.357706693924463e-06
46	521.834	15036.2028093327	45.0	1.3274620184081452e-05
47	527.027	306302.250585466	11.0	0.00027041707867412376
48	527.0806	612352.829608282	8.0	0.0005406119706400954
49	541.636	3527.8290168855	58.0	3.1145223875584852e-06
50	627.9418	16290.7507122159	44.0	1.4382190168650545e-05
51	627.9737	32770.626632814	38.0	2.8931348377061145e-05
52	675.675	3833.88845496258	57.0	3.3847251006866235e-06
53	675.712	7690.87663955707	52.0	6.789843657161716e-06
54	740.1196	6393.91487443706	54.0	5.644828852322962e-06
55	904.814	1297.68969368588	60.0	1.1456574521450975e-06
56	904.849	2332.59838310404	59.0	2.0593202931852996e-06
57	947.641	34259.346051972	36.0	3.0245655260293846e-05
58	947.7035	61605.0932563465	27.0	5.438768183382931e-05
59	947.714	6851.34312376185	53.0	6.048666599675439e-06
