	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	210.3235	409624131.830798	12.0	0.295848955797124
1	211.2757	722777646.13834	10.0	0.5220224963988654
2	211.3146	79551852.7295722	16.0	0.057455922961814634
3	213.1505	39826152.6641148	18.0	0.028764237171364164
4	213.2304	22333000.8481208	21.0	0.01612989681833988
5	219.7787	95477523.3313792	15.0	0.06895815794210079
6	220.8611	190019333.093261	13.0	0.13724050149498646
7	315.8869	7388071972.16074	4.0	5.3359975852707215
8	317.9331	12756299955.5149	3.0	9.213173073584615
9	318.1275	1372549224.05534	9.0	0.9913167295638188
10	370.6024	1595260955.74963	8.0	1.1521691504674327
11	373.6902	3056290486.77737	6.0	2.207390333876286
12	393.3663	138457183574.342	1.0	100.0
13	396.8469	67184980474.2017	2.0	48.524012073471056
14	409.7098	5586009.06225302	27.0	0.004034466770193774
15	410.9815	10121490.2904617	25.0	0.007310195129765264
16	411.0282	1068623.9258982	32.0	0.0007718082213657208
17	420.6176	1278101.95939209	31.0	0.0009231026707298556
18	422.0071	2518161.72416105	30.0	0.0018187295589534866
19	500.1479	15975310.3078922	22.0	0.01153808700674209
20	501.9971	27440142.90781	19.0	0.019818504319840162
21	502.1138	3102988.782118	29.0	0.002241117941310649
22	528.5266	3367484.88381858	28.0	0.0024321489119489936
23	530.7224	6449138.94476353	26.0	0.004657857958883575
24	820.172	65334568.0029358	17.0	0.047187561032436875
25	824.88	116423326.369198	14.0	0.08408615816360779
26	825.472	12728449.3763402	24.0	0.009193058133748542
27	849.802	483953956.300792	11.0	0.34953329528109456
28	854.209	4294078639.37153	5.0	3.101376561705016
29	866.214	2330511805.58536	7.0	1.6832003551004164
30	985.476	13051162.0563151	23.0	0.009426135733367364
31	993.137	25900959.0627461	20.0	0.018706836578716815
