	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	192.2237	82357527.4611977	8.0	0.08330039419656293
1	194.3549	207096.160315405	32.0	0.0002094670921124439
2	196.5551	2450713.916433	22.0	0.0024787708130025333
3	199.5439	76874861.5755171	9.0	0.07775496023801655
4	200.7496	67146917.9568022	11.0	0.06791564666048501
5	203.2468	599355.510119973	31.0	0.000606217206804787
6	209.5999	25235758.4311154	14.0	0.025524668964249382
7	214.4393	98868112516.8023	1.0	100.0
8	215.5053	8387488.04162054	19.0	0.008483511850390707
9	219.4551	695291972.666521	4.0	0.7032519939615095
10	220.9668	54482194.5091629	12.0	0.055105931652031724
11	225.1538	29064881.5744262	13.0	0.0293976296649607
12	226.3667	654726.992002589	30.0	0.0006622226067998622
13	226.5019	53541030321.1941	2.0	54.153992584914555
14	231.2753	998255955.495482	3.0	1.0096844473751148
15	232.1051	121972864.136958	7.0	0.12336926541024956
16	237.6828	72832449.6917128	10.0	0.07366626896951751
17	246.9737	762234.174503374	28.0	0.0007709605808180418
18	254.081	50608.8255819448	35.0	5.118821862139221e-05
19	257.2928	193193987.062069	6.0	0.19540576040554666
20	274.8547	347098299.371351	5.0	0.35107203984739044
21	277.1918	150221.17659098	33.0	0.0001519409774971181
22	325.0293	14412546.4022817	17.0	0.014577547841658588
23	338.5482	133488.364295483	34.0	0.000135016600294455
24	349.5432	2112878.11730378	24.0	0.002137067314746909
25	441.565	14699956.1543297	16.0	0.014868247992325627
26	488.172	737638.264904647	29.0	0.000746083085968985
27	502.548	2131670.63369829	23.0	0.002156074976485487
28	527.78	38830.4567957317	36.0	3.9275005668923426e-05
29	533.748	12755198.0284766	18.0	0.012901225383774669
30	537.813	17831012.9478193	15.0	0.018035150559579032
31	538.188	889910.242190154	27.0	0.0009000983426672748
32	806.687	8233667.86032542	20.0	0.008327930665133447
33	853.026	3080971.26230169	21.0	0.003116243633940204
34	965.874	1040263.80422491	26.0	0.001052173221217428
35	967.085	1380593.51749304	25.0	0.001396399185084486
