	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	342.27048	167561466.985402	139.0	11.885616032974283
1	342.62049	123626607.232334	172.0	8.769190264673776
2	348.5053	175935184.868845	134.0	12.47958788892446
3	350.79409	60318350.238152	253.0	4.27855379623524
4	352.05202	67358847.9102197	247.0	4.777956514036322
5	353.40448	281652906.476364	73.0	19.978449467984927
6	353.90789	253903504.014027	88.0	18.010104664459526
7	355.2724	88161224.6286027	220.0	6.253528832041417
8	355.50012	139349357.52474	160.0	9.884450093320135
9	356.08019	645949730.928141	13.0	45.819069363267175
10	357.74556	565710223.75745	20.0	40.12745069900108
11	364.69621	117695588.281469	177.0	8.348486058614176
12	365.31042	149988974.144931	150.0	10.639148653560472
13	365.36641	263970154.296679	82.0	18.724161077013243
14	365.49341	71605836.9868855	241.0	5.079207645156362
15	365.58444	433121361.887367	37.0	30.722541976316272
16	365.92251	117778574.971996	176.0	8.354372542882883
17	365.99705	102660020.232267	204.0	7.2819700398326015
18	366.06381	186345073.787048	127.0	13.217991203562748
19	366.7978	316362649.828225	63.0	22.44051123854249
20	369.49082	60703093.8385337	252.0	4.305844764663437
21	370.49758	49470825.3419973	261.0	3.5091077049387467
22	370.92873	335278444.016489	54.0	23.78226284006111
23	370.9929	319335298.49409	59.0	22.651369744851
24	371.6366	341728888.980525	52.0	24.23981142485026
25	371.97913	96475261.2601142	211.0	6.84326732540778
26	372.56026	8647782.64851219	282.0	0.6134120567575831
27	372.56728	158696803.674445	145.0	11.256820008021789
28	372.80185	238980153.404968	97.0	16.95154855095772
29	372.84173	486776329.795962	30.0	34.52844292894206
30	374.80547	145900249.018249	155.0	10.349123638893166
31	376.41152	255032514.8427	87.0	18.090188644673464
32	377.16	111450571.37918	190.0	7.905509076164457
33	377.6606	73269920.1788057	238.0	5.197245844641766
34	378.1616	216359649.004755	110.0	15.347011215434392
35	378.66324	242548295.151425	95.0	17.204647091526773
36	378.87463	207905180.140258	114.0	14.74731146050863
37	379.23239	132068909.04397	165.0	9.368026975600463
38	380.15258	1152076376.18284	2.0	81.72008573524023
39	380.30963	253153209.058572	90.0	17.95688408867648
40	380.81134	360514560.924288	49.0	25.572333081899465
41	380.92177	225428750.616663	104.0	15.990308636150804
42	381.57931	156456540.572411	146.0	11.09791171291874
43	381.90221	137691197.12021	162.0	9.766832014152554
44	382.39003	161273111.533811	141.0	11.439564922768959
45	383.455	160272963.76199	142.0	11.368621569228527
46	383.61066	99812604.9640623	208.0	7.079994698047979
47	383.85377	352826111.921737	51.0	25.02696931553076
48	384.37673	114761305.490056	185.0	8.140348953954325
49	384.81002	115141493.892188	184.0	8.167316809089685
50	384.85919	339880110.501416	53.0	24.108672258262335
51	385.31557	209450159.395452	112.0	14.856901275735934
52	385.41854	306856402.390065	65.0	21.766205809035487
53	385.43195	376895218.976963	48.0	26.734260197269645
54	385.52984	208132527.64127	113.0	14.763437871620322
55	385.70246	183647384.359617	129.0	13.026636345626034
56	385.76414	116099831.65411	181.0	8.235294458563816
57	386.81335	66102573.2563677	250.0	4.688845345243897
58	387.83668	253835419.557579	89.0	18.005275238448206
59	388.24448	317564096.686621	60.0	22.52573331435639
60	388.99819	455633565.513784	34.0	32.31939722695116
61	389.07445	86269028.4056545	224.0	6.119309920201944
62	389.09783	80422341.3853697	231.0	5.704587620151099
63	389.6802	206875348.916933	117.0	14.674262574512209
64	389.82633	192172101.687199	123.0	13.631319025768176
65	390.33328	70632193.5829771	243.0	5.010144322543524
66	390.43367	104183228.468597	201.0	7.390015574172901
67	390.8404	333279648.899249	56.0	23.64048256253365
68	390.85363	139854498.497541	159.0	9.92028119311445
69	390.93105	98905745.8818482	209.0	7.015668579154836
70	391.21879	106803380.980241	195.0	7.575870516013121
71	391.24198	284386407.853967	71.0	20.172344570387118
72	391.61398	86954027.5188616	222.0	6.167898874386839
73	391.7639	98201552.4774032	210.0	6.9657181187729424
74	391.98026	241731453.222525	96.0	17.14670614781693
75	392.31071	235890697.178442	99.0	16.732404548939833
76	393.10834	191586523.384599	125.0	13.589782275182491
77	393.13663	143335987.13165	158.0	10.167233179586308
78	394.03297	266367208.85254	79.0	18.89419104018811
79	394.09697	120957284.24701	173.0	8.57984751993451
80	394.21506	406633061.111623	43.0	28.843650736877215
81	394.27455	1409783611.72476	1.0	100.0
82	394.38838	470388470.607275	32.0	33.36600501631534
83	394.79661	80460071.8331145	230.0	5.707263949158687
