	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	201.116902	19995987.8021607	52.0	0.23042184348376937
1	202.56187	52548627.8208122	48.0	0.6055390618764855
2	203.991765	60575959.424398	47.0	0.6980412460473466
3	205.559868	4364646600.53025	2.0	50.295585584457775
4	206.157673	3239879234.14084	3.0	37.3344369471383
5	206.550391	2198918785.45314	6.0	25.33902927068467
6	265.358063	636785656.432575	29.0	7.337938305971614
7	265.858838	714621681.754309	26.0	8.234874262401098
8	266.60136	1435295273.18012	10.0	16.539487124210325
9	266.87088	866885960.22646	23.0	9.989477040188742
10	267.180686	1226010984.74602	15.0	14.127819742218657
11	267.282784	993457747.596417	20.0	11.448014866245513
12	274.009522	295233173.060833	37.0	3.402091092838582
13	274.497631	181199734.55456	42.0	2.0880377247639528
14	278.761747	314873174.363667	36.0	3.628410760113716
15	282.236775	1424239147.10844	11.0	16.41208291810503
16	283.563154	8677991417.75775	1.0	100.0
17	284.001456	1308403849.7203	13.0	15.077266002394481
18	284.32456	2391549982.04968	5.0	27.55879634953151
19	284.983458	2825866986.80102	4.0	32.563606608534506
20	285.135255	907332561.104074	21.0	10.45555955779585
21	285.676181	394883410.988611	33.0	4.550401031517064
22	285.739861	336083159.927091	35.0	3.8728219901135756
23	286.093129	1098595879.85206	17.0	12.659564027731191
24	286.256914	1926496376.91743	7.0	22.19979583034901
25	286.673983	1906730487.99097	8.0	21.972025509142963
26	286.709401	681591522.318242	27.0	7.854254394899528
27	286.764712	882550533.63254	22.0	10.16998624620185
28	287.043231	1188148180.56876	16.0	13.69151135754128
29	287.381444	274762702.129252	38.0	3.166201588618835
30	287.844733	225038683.87436	39.0	2.5932116435822232
31	288.08638	487167032.898915	32.0	5.613822478575243
32	289.853245	549655837.47513	31.0	6.333906211872608
33	292.181149	354834482.538348	34.0	4.088901053903455
34	293.08452	203746858.599805	40.0	2.347857341537333
35	293.513436	598286332.092189	30.0	6.894295042374867
36	295.335249	170850012.01256	44.0	1.9687736918355336
37	296.604134	177615688.660734	43.0	2.0467373163942004
38	297.190113	1283613017.16278	14.0	14.791591226238438
39	297.973606	1010127213.25079	19.0	11.640103851494592
40	298.532036	1045206108.90054	18.0	12.044332133836152
41	298.91897	846065988.140232	24.0	9.749560093006425
42	311.864901	1390075882.7675	12.0	16.018405825142803
43	312.036919	1819446531.26545	9.0	20.96621722328881
44	312.260128	187079100.163088	41.0	2.1557880292468203
45	312.870006	660202599.244223	28.0	7.6077811956952655
46	313.668596	772259109.627066	25.0	8.899053622555957
47	455.498911	12800500.685827	57.0	0.1475053393073583
48	455.864413	66208289.1571371	46.0	0.7629448563599092
49	458.72641	605717.568533861	63.0	0.006979928181242295
50	458.819838	68615053.7818051	45.0	0.7906789771812669
51	459.205249	18281990.9286873	54.0	0.21067076525654213
52	461.662412	15392698.2030216	56.0	0.17737627824249244
53	461.88068	23462772.0418703	50.0	0.27037099845315005
54	463.407286	17233234.8476637	55.0	0.19858552536015858
55	469.76057	793578.198265435	62.0	0.009144722091353285
56	481.234398	5829009.06394828	60.0	0.06717002568152343
57	482.41308	21489357.1284616	51.0	0.24763054137721302
58	484.824974	26665888.8717689	49.0	0.30728180736849503
59	487.648919	12418563.5758773	58.0	0.14310412373150344
60	523.73219	19794005.899608	53.0	0.2280943244435986
61	530.84212	4349342.21142181	61.0	0.0501192269275787
62	531.35809	6268368.19488706	59.0	0.07223293839701334
